keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,keithley2_smua_curr,keithley2_smua_temperature,keithley2_smua_volt,keithley2_smub_curr,keithley2_smub_volt,time
0.0,-2.21741e-12,-1.43528e-13,0.0,1.57356e-12,-154.342742329349,0.005,3.0272e-08,0.001,0.096887500025332
0.01,5.78761e-13,-7.22289e-13,0.0,1.87159e-12,-153.025584572987,0.005,3.00227e-08,0.001,0.620778299984522
0.02,1.90759e-12,-8.35538e-13,0.0,2.15769e-12,-151.932125853609,0.005,3.00018e-08,0.001,1.18715669994708
0.03,2.72739e-12,-8.64506e-13,0.0,2.00272e-12,-152.506541808284,0.005,2.97886e-08,0.001,1.90989579993766
0.04,3.54695e-12,-8.95619e-13,0.0,1.78814e-12,-153.373669162629,0.005,2.95576e-08,0.001,2.64675029995851
0.05,4.12607e-12,-9.55343e-13,0.0,2.01464e-12,-152.460927640802,0.005,2.95447e-08,0.001,3.17025760002434
0.06,4.53448e-12,-9.74774e-13,0.0,2.15769e-12,-151.932125853609,0.005,2.95728e-08,0.001,3.69450590002816
0.07,4.81176e-12,-1.01113e-12,0.0,2.08616e-12,-152.19236199569,0.005,2.93479e-08,0.001,4.21525290003046
0.08,5.02634e-12,-9.95994e-13,0.0,1.56164e-12,-154.400086130947,0.005,2.90188e-08,0.001,4.74449369998183
0.09,5.21648e-12,-1.04237e-12,0.0,1.54972e-12,-154.457835465711,0.005,2.90228e-08,0.001,5.26616260001902
0.1,5.36764e-12,-1.03927e-12,0.0,1.4782e-12,-154.813194971146,0.005,2.91985e-08,0.001,5.78808800003026
0.11,5.49638e-12,-1.04272e-12,0.0,1.49012e-12,-154.752880938785,0.005,2.85028e-08,0.001,6.31079529994167
0.12,5.60033e-12,-1.05774e-12,0.0,1.41859e-12,-155.121723334928,0.005,2.85653e-08,0.001,6.83538619999308
0.13,5.72991e-12,-1.06323e-12,0.0,1.45435e-12,-154.935233920366,0.005,2.89381e-08,0.001,7.35677800001577
0.14,5.81062e-12,-1.05965e-12,0.0,1.54972e-12,-154.457835465711,0.005,2.8665e-08,0.001,7.87783969996963
0.15,5.86915e-12,-1.03807e-12,0.0,1.44243e-12,-154.996922007097,0.005,2.86585e-08,0.001,8.39972710004076
