keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,keithley2_smua_curr,keithley2_smua_temperature,keithley2_smua_volt,keithley2_smub_curr,keithley2_smub_volt,time
0.0,-8.18968e-14,-2.55942e-13,0.0,1.87159e-12,-153.025584572987,0.005,2.93015e-08,0.001,0.158931499929167
0.01,2.38621e-12,-8.39472e-13,0.0,2.08616e-12,-152.19236199569,0.005,2.91454e-08,0.001,0.684061300009489
0.02,3.68416e-12,-9.24349e-13,0.0,2.16961e-12,-151.889534949547,0.005,2.92017e-08,0.001,1.2064142000163
0.03,4.48227e-12,-9.94921e-13,0.0,1.64509e-12,-154.0068285342,0.005,2.92581e-08,0.001,1.73208490002435
0.04,5.04088e-12,-1.02556e-12,0.0,1.50204e-12,-154.69301074012,0.005,2.9091e-08,0.001,2.26012270001229
0.05,5.42796e-12,-1.05953e-12,0.0,1.74046e-12,-153.579342333409,0.005,2.90737e-08,0.001,2.78456900001038
0.06,5.75209e-12,-1.01912e-12,0.0,1.88351e-12,-152.977038109462,0.005,2.90289e-08,0.001,3.30703030002769
0.07,6.01804e-12,-1.08576e-12,0.0,2.00272e-12,-152.506541808284,0.005,2.86933e-08,0.001,3.83053879998624
0.08,6.16002e-12,-1.08027e-12,0.0,1.85966e-12,-153.074458325821,0.005,2.87062e-08,0.001,4.36992570001166
0.09,6.37579e-12,-1.13022e-12,0.0,2.16961e-12,-151.889534949547,0.005,2.85263e-08,0.001,4.89483330002986
0.1,6.56235e-12,-1.08194e-12,0.0,2.16961e-12,-151.889534949547,0.005,2.84862e-08,0.001,5.41784030001145
0.11,6.74009e-12,-1.09911e-12,0.0,1.85966e-12,-153.074458325821,0.005,2.83298e-08,0.001,5.9420206999639
0.12,6.86538e-12,-1.13654e-12,0.0,1.87159e-12,-153.025584572987,0.005,2.8204e-08,0.001,6.47700039995834
0.13,6.9896e-12,-1.12784e-12,0.0,2.08616e-12,-152.19236199569,0.005,2.82453e-08,0.001,7.00273569999263
0.14,7.11381e-12,-1.14667e-12,0.0,1.77622e-12,-153.424608536253,0.005,2.82194e-08,0.001,7.5290687000379
0.15,7.32112e-12,-1.13881e-12,0.0,1.81198e-12,-153.272723837448,0.005,2.8045e-08,0.001,8.05000409996137
0.16,6.91617e-12,-1.0649e-12,0.0,2.09808e-12,-152.148429196149,0.005,2.78638e-08,0.001,8.58837479993235
0.17,6.78146e-12,-1.08087e-12,0.0,2.16961e-12,-151.889534949547,0.005,2.78958e-08,0.001,9.3086102999514
0.18,7.19857e-12,-1.11198e-12,0.0,2.07424e-12,-152.236527040758,0.005,2.75465e-08,0.001,10.0309001000132
0.19,7.52175e-12,-1.11294e-12,0.0,2.06232e-12,-152.280926906848,0.005,2.74228e-08,0.001,10.5533944999333
