keithley1_smub_volt,keithley1_smua_curr,keithley1_smua_volt,keithley1_smub_curr,keithley2_smua_curr,keithley2_smua_temperature,keithley2_smua_volt,keithley2_smub_curr,keithley2_smub_volt,time
0.0,-2.15888e-13,0.0,-3.05414e-13,4.65586e-07,23.1094859509388,0.005,2.94264e-08,0.001,0.151387499994598
0.01,-4.49419e-13,0.0,3.01468e-12,4.65487e-07,23.1038729506204,0.005,2.94589e-08,0.001,0.67603950004559
0.02,-5.55396e-13,0.0,3.25704e-12,4.65649e-07,23.1130573283349,0.005,2.94291e-08,0.001,1.19943340006284
0.03,-6.05106e-13,0.0,3.34239e-12,4.65585e-07,23.1094292590738,0.005,2.97011e-08,0.001,1.72371130005922
0.04,-6.40273e-13,0.0,3.41701e-12,4.65796e-07,23.1213889340992,0.005,2.97593e-08,0.001,2.25888330000453
0.05,-6.50525e-13,0.0,3.4982e-12,4.65523e-07,23.1059141598647,0.005,2.97185e-08,0.001,2.78283400007058
0.06,-6.86169e-13,0.0,3.54922e-12,4.65673e-07,23.1144177442659,0.005,2.96967e-08,0.001,3.30649079999421
0.07,-6.78778e-13,0.0,3.62051e-12,4.65562e-07,23.108125317409,0.005,2.98155e-08,0.001,3.82875720004085
0.08,-6.79374e-13,0.0,3.66878e-12,4.65656e-07,23.1134541225145,0.005,2.97057e-08,0.001,4.36087099998258
0.09,-6.88672e-13,0.0,3.69048e-12,4.65561e-07,23.1080686230423,0.005,2.98326e-08,0.001,4.88448810006958
0.1,-6.82116e-13,0.0,3.70169e-12,4.65352e-07,23.0962172122723,0.005,2.96998e-08,0.001,5.40604799997527
0.11,-6.94871e-13,0.0,3.73125e-12,4.65432e-07,23.1007541755579,0.005,2.99718e-08,0.001,5.9290161000099
0.12,-6.7687e-13,0.0,3.74913e-12,4.65365e-07,23.0969545142343,0.005,2.97314e-08,0.001,6.46496670006309
0.13,-6.88076e-13,0.0,3.79407e-12,4.64984e-07,23.0753385780879,0.005,2.9622e-08,0.001,6.98864410002716
0.14,-7.04885e-13,0.0,3.85249e-12,4.64853e-07,23.0679028244126,0.005,2.95735e-08,0.001,7.51186760002747
0.15,-6.93321e-13,0.0,3.8681e-12,4.65006e-07,23.0765871547481,0.005,2.97709e-08,0.001,8.03605200001039
0.16,-7.12156e-13,0.0,3.87514e-12,4.64599e-07,23.0534802968054,0.005,3.01748e-08,0.001,8.57402130006813
0.17,-7.21931e-13,0.0,3.90005e-12,4.64834e-07,23.0668242073822,0.005,3.01671e-08,0.001,9.09637060004752
0.18,-7.51376e-13,0.0,3.94154e-12,4.64704e-07,23.059443183472,0.005,3.02066e-08,0.001,9.62091569998302
0.19,-7.39336e-13,0.0,3.98088e-12,4.6474e-07,23.061487336264,0.005,2.99129e-08,0.001,10.1465762000298
0.2,-7.13468e-13,0.0,3.97789e-12,4.64994e-07,23.075906119202,0.005,3.01401e-08,0.001,10.6784414000576
0.21,-7.30753e-13,0.0,4.01282e-12,4.64739e-07,23.0614305560723,0.005,3.00199e-08,0.001,11.2018451000331
0.22,-8.19206e-13,0.0,4.03357e-12,4.646e-07,23.0535370916429,0.005,3.00577e-08,0.001,11.7219747999916
0.23,-7.46965e-13,0.0,3.93832e-12,4.64741e-07,23.0615441163511,0.005,3.00667e-08,0.001,12.2449473000597
0.24,-7.50899e-13,0.0,3.95215e-12,4.64752e-07,23.0621686904072,0.005,2.98998e-08,0.001,12.9776293999748
0.25,-7.83086e-13,0.0,4.05741e-12,4.64998e-07,23.0761331327223,0.005,2.99888e-08,0.001,13.7062049000524
0.26,-7.65085e-13,0.0,4.05943e-12,4.64872e-07,23.0689814037057,0.005,2.98572e-08,0.001,14.2425567000173
0.27,-7.25746e-13,0.0,4.01223e-12,4.6505e-07,23.0790841563816,0.005,2.9716e-08,0.001,14.9686313000275
0.28,-7.40766e-13,0.0,4.07469e-12,4.6533e-07,23.0949694303248,0.005,2.95316e-08,0.001,15.5060748000396
0.29,-7.55191e-13,0.0,4.17054e-12,4.64972e-07,23.0746575149597,0.005,2.94204e-08,0.001,16.031408400042
0.3,-7.6735e-13,0.0,4.18842e-12,4.64714e-07,23.0600110172888,0.005,2.9411e-08,0.001,16.5605987000745
0.29,-2.69532e-13,0.0,-2.56753e-12,4.64671e-07,23.057569257662,0.005,2.95637e-08,0.001,17.0940903000301
0.28,-1.14918e-13,0.0,-2.99132e-12,4.64548e-07,23.0505836213317,0.005,2.96582e-08,0.001,17.6321673999773
0.27,1.50204e-14,0.0,-3.16465e-12,4.64659e-07,23.0568878018503,0.005,2.97348e-08,0.001,18.1604938000673
0.26,9.54866e-14,0.0,-3.25763e-12,4.64988e-07,23.0755655957873,0.005,2.98062e-08,0.001,18.6957287000259
0.25,1.41025e-13,0.0,-3.39484e-12,4.65039e-07,23.0784599249327,0.005,2.99328e-08,0.001,19.2452008000109
0.24,1.62363e-13,0.0,-3.49665e-12,4.64818e-07,23.065915869032,0.005,2.99952e-08,0.001,19.7929521000478
0.23,2.10881e-13,0.0,-3.56007e-12,4.64973e-07,23.074714270795,0.005,2.98744e-08,0.001,20.3275499000447
0.22,2.07067e-13,0.0,-3.64006e-12,4.65105e-07,23.0822051240567,0.005,2.96471e-08,0.001,20.8615403000731
0.21,2.38895e-13,0.0,-3.70038e-12,4.65325e-07,23.0946858364761,0.005,2.98844e-08,0.001,21.3993552000029
0.2,2.14338e-13,0.0,-3.73781e-12,4.6506e-07,23.0796516285495,0.005,2.98902e-08,0.001,21.9406063000206
0.19,1.94192e-13,0.0,-3.80075e-12,4.65208e-07,23.0880489956543,0.005,2.98349e-08,0.001,22.4745440999977
0.18,1.70588e-13,0.0,-3.83759e-12,4.65196e-07,23.0873682132483,0.005,2.98043e-08,0.001,23.0077303000726
0.17,2.01941e-13,0.0,-3.84521e-12,4.64948e-07,23.0732953435648,0.005,2.99439e-08,0.001,23.5444018000271
0.16,1.89304e-13,0.0,-3.89874e-12,4.65378e-07,23.0976917985662,0.005,2.99381e-08,0.001,24.0792099999962
0.15,2.27213e-13,0.0,-3.94213e-12,4.65348e-07,23.0959903465832,0.005,2.99071e-08,0.001,24.6061670000199
0.14,2.40684e-13,0.0,-3.97849e-12,4.65477e-07,23.1033059240715,0.005,2.98446e-08,0.001,25.1322451999877
0.13,2.59042e-13,0.0,-4.00054e-12,4.6553e-07,23.1063110459714,0.005,2.98883e-08,0.001,25.6621497999877
0.12,2.53797e-13,0.0,-4.03738e-12,4.65231e-07,23.0893537865845,0.005,3.0005e-08,0.001,26.2089626999805
0.11,2.91824e-13,0.0,-4.10116e-12,4.64924e-07,23.0719331119809,0.005,2.98744e-08,0.001,26.7369121999945
0.1,2.83599e-13,0.0,-4.07636e-12,4.65217e-07,23.0885595725943,0.005,2.98583e-08,0.001,27.2708666999824
0.09,2.7287e-13,0.0,-3.98028e-12,4.64789e-07,23.0642694375526,0.005,2.97695e-08,0.001,28.0094537000405
0.08,2.88367e-13,0.0,-3.99995e-12,4.65451e-07,23.1018316062438,0.005,2.97891e-08,0.001,28.7456375000766
0.07,2.68936e-13,0.0,-4.01771e-12,4.65668e-07,23.1141343292296,0.005,2.96718e-08,0.001,29.4766115000239
0.06,2.37703e-13,0.0,-4.04847e-12,4.65169e-07,23.0858363978719,0.005,2.9773e-08,0.001,30.2000653999858
0.05,3.14236e-13,0.0,-4.14932e-12,4.65588e-07,23.1095993343564,0.005,2.95239e-08,0.001,30.732984000002
0.04,3.08394e-13,0.0,-4.1616e-12,4.65656e-07,23.1134541225145,0.005,2.96788e-08,0.001,31.2781641000183
0.03,2.80857e-13,0.0,-4.25506e-12,4.65627e-07,23.1118102276728,0.005,2.95823e-08,0.001,31.8030999000184
0.02,2.73228e-13,0.0,-4.25875e-12,4.65294e-07,23.0929274963925,0.005,2.9639e-08,0.001,32.3381040999666
0.01,3.09467e-13,0.0,-4.30334e-12,4.65585e-07,23.1094292590738,0.005,2.99423e-08,0.001,32.8706397999777
