keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,keithley2_smua_curr,keithley2_smua_temperature,keithley2_smua_volt,keithley2_smub_curr,keithley2_smub_volt,time
-0.05,-3.23236e-12,-2.23994e-13,0.05,4.59575e-07,22.766813181702,0.005,2.82652e-08,0.001,1.37042139994446
-0.04,-1.18697e-12,-1.46747e-13,0.06,4.59512e-07,22.7632014326625,0.005,2.84253e-08,0.001,2.39369149995036
-0.03,-1.1611e-13,-1.14083e-13,0.07,4.59819e-07,22.7807975442292,0.005,2.83089e-08,0.001,3.43218579993118
-0.02,6.19054e-13,-1.3566e-13,0.08,4.59707e-07,22.7743792815865,0.005,2.8091e-08,0.001,4.45510779996403
-0.01,1.16479e-12,-1.08004e-13,0.09,4.59868e-07,22.7836051132737,0.005,2.80373e-08,0.001,5.4909468999831
0.0,1.58036e-12,-9.39369e-14,0.1,4.59857e-07,22.7829748649667,0.005,2.81085e-08,0.001,6.5110462999437
0.01,1.92082e-12,-8.51154e-14,0.11,4.59745e-07,22.7765570564511,0.005,2.79396e-08,0.001,7.54069709999021
0.02,2.19858e-12,-3.03984e-14,0.12,4.59338e-07,22.7532239229353,0.005,2.78326e-08,0.001,8.56191299995407
0.03,2.24113e-12,-5.78165e-14,0.13,4.59884e-07,22.7845218150442,0.005,2.77331e-08,0.001,9.79556009999942
0.04,2.34532e-12,-2.37226e-14,0.14,4.59663e-07,22.7718574549807,0.005,2.78761e-08,0.001,11.0144277999643
0.05,2.63214e-12,-1.20401e-14,0.15,4.59767e-07,22.777817803042,0.005,2.7746e-08,0.001,12.0389324999414
0.06,2.82753e-12,-2.88486e-14,0.16,4.59853e-07,22.7827456805641,0.005,2.75497e-08,0.001,13.0654705000343
0.07,2.94852e-12,-1.94311e-14,0.17,4.5977e-07,22.7779897190299,0.005,2.76333e-08,0.001,14.0968879000284
