keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,keithley2_smua_curr,keithley2_smua_temperature,keithley2_smua_volt,keithley2_smub_curr,keithley2_smub_volt,time
-0.3,-3.09801e-11,-1.51706e-12,-0.2,1.15403e-06,48.7545934989672,0.005,2.6369e-08,0.001,1.7655734999571
-0.29,-2.46942e-11,-1.19698e-12,-0.19,1.15474e-06,48.7732008272364,0.005,2.66277e-08,0.001,2.79813849995844
-0.28,-2.03009e-11,-9.52005e-13,-0.18,1.15438e-06,48.7637673314979,0.005,2.64701e-08,0.001,3.84376820002217
-0.27,-1.65733e-11,-9.86695e-13,-0.17,1.15544e-06,48.7915366394712,0.005,2.65822e-08,0.001,4.87276000005659
-0.26,-1.36136e-11,-8.98123e-13,-0.16,1.15532e-06,48.7883940226601,0.005,2.65379e-08,0.001,5.91321719996631
-0.25,-1.08988e-11,-8.55207e-13,-0.15,1.1547e-06,48.7721527835052,0.005,2.6572e-08,0.001,6.94117879995611
-0.24,-8.82602e-12,-7.03812e-13,-0.14,1.15434e-06,48.7627190121977,0.005,2.6564e-08,0.001,7.97516519995406
-0.23,-6.77943e-12,-6.78301e-13,-0.13,1.15552e-06,48.79363156447,0.005,2.64788e-08,0.001,8.99921679997351
-0.22,-5.16284e-12,-5.00798e-13,-0.12,1.15512e-06,48.7831557163422,0.005,2.64795e-08,0.001,10.0361414999934
-0.21,-3.62158e-12,-5.23925e-13,-0.11,1.15529e-06,48.7876083254557,0.005,2.65571e-08,0.001,11.0635426000226
-0.2,-2.4004e-12,-4.10676e-13,-0.1,1.15608e-06,48.8082926164519,0.005,2.6215e-08,0.001,12.0970429000445
-0.19,-1.18184e-12,-2.78592e-13,-0.09,1.15617e-06,48.8106482984456,0.005,2.61583e-08,0.001,13.1273617000552
-0.18,-1.8692e-13,-2.12669e-13,-0.08,1.15626e-06,48.8130038258382,0.005,2.61391e-08,0.001,14.3564326000633
-0.17,4.90904e-13,-2.17915e-13,-0.07,1.15702e-06,48.8328887841947,0.005,2.6444e-08,0.001,15.3845025000628
-0.16,1.56116e-12,-9.16719e-14,-0.06,1.15601e-06,48.8064603124467,0.005,2.63732e-08,0.001,16.6144523000112
-0.15,1.82199e-12,-2.31385e-13,-0.05,1.1554e-06,48.7904891311112,0.005,2.6224e-08,0.001,17.8437263000524
-0.14,2.73216e-12,-4.52995e-14,-0.04,1.15542e-06,48.7910128891132,0.005,2.63011e-08,0.001,18.879913700046
-0.13,3.51822e-12,-8.46386e-15,-0.03,1.15464e-06,48.7705806605124,0.005,2.64423e-08,0.001,19.9073767999653
-0.12,4.19962e-12,-3.06368e-14,-0.02,1.15538e-06,48.7899653654652,0.005,2.65019e-08,0.001,20.9400484999642
-0.11,4.78828e-12,-3.69549e-14,-0.01,1.15627e-06,48.8132655415617,0.005,2.63152e-08,0.001,21.9643578999676
-0.1,5.37777e-12,1.06215e-13,1.38778e-17,1.15661e-06,48.8221627408963,0.005,2.62347e-08,0.001,22.9970153999748
-0.09,5.8229e-12,1.45197e-13,0.01,1.1563e-06,48.8140506772824,0.005,2.61815e-08,0.001,24.0274396999739
-0.08,6.31702e-12,1.89781e-13,0.02,1.15606e-06,48.807769110567,0.005,2.6086e-08,0.001,25.0727525999537
-0.07,6.69146e-12,2.23637e-13,0.03,1.15679e-06,48.8268721302021,0.005,2.59785e-08,0.001,26.1016989999916
-0.06,7.11322e-12,2.06947e-13,0.04,1.15557e-06,48.7949408304971,0.005,2.60247e-08,0.001,27.1427858000388
-0.05,7.38609e-12,2.65956e-13,0.05,1.15554e-06,48.7941552766126,0.005,2.58827e-08,0.001,28.1740656000329
-0.04,7.73871e-12,3.74556e-13,0.06,1.15585e-06,48.8022718377062,0.005,2.62751e-08,0.001,29.2059925000649
-0.03,7.93612e-12,3.62277e-13,0.07,1.15602e-06,48.8067220758889,0.005,2.60166e-08,0.001,30.4220978000667
-0.02,7.97117e-12,3.03507e-13,0.08,1.1566e-06,48.8219010900394,0.005,2.58407e-08,0.001,31.4501764000161
-0.01,8.29399e-12,3.48449e-13,0.09,1.15726e-06,48.8391659568351,0.005,2.57735e-08,0.001,32.6863753000507
-1.38778e-17,7.92491e-12,4.1163e-13,0.1,1.15673e-06,48.8253024024187,0.005,2.55872e-08,0.001,33.9240486000199
0.01,8.1954e-12,4.81963e-13,0.11,1.15692e-06,48.8302729715912,0.005,2.53217e-08,0.001,34.9543661000207
0.02,8.54599e-12,4.68612e-13,0.12,1.15714e-06,48.8360275077238,0.005,2.51469e-08,0.001,35.9921145000262
0.03,8.88884e-12,4.79817e-13,0.13,1.15604e-06,48.8072455970461,0.005,2.50762e-08,0.001,37.0199184999801
0.04,9.08494e-12,4.14968e-13,0.14,1.15613e-06,48.8096013477585,0.005,2.50594e-08,0.001,38.0566624000203
0.05,9.41062e-12,5.67555e-13,0.15,1.15561e-06,48.7959882089294,0.005,2.49877e-08,0.001,39.0886626000283
0.06,9.534e-12,5.93305e-13,0.16,1.15603e-06,48.806983837422,0.005,2.49586e-08,0.001,40.1186698999954
0.07,9.79936e-12,4.63724e-13,0.17,1.15651e-06,48.8195461464931,0.005,2.48365e-08,0.001,41.1478054999607
0.08,9.93669e-12,7.15494e-13,0.18,1.15569e-06,48.7980828740982,0.005,2.47238e-08,0.001,42.1886644000188
0.09,1.02272e-11,5.76615e-13,0.19,1.15696e-06,48.8313193195071,0.005,2.46408e-08,0.001,43.218947699992
0.1,1.03332e-11,7.14779e-13,0.2,1.15657e-06,48.8211161260244,0.005,2.45145e-08,0.001,44.2636297000572
0.11,1.05909e-11,6.33597e-13,0.21,1.15678e-06,48.8266105136719,0.005,2.44544e-08,0.001,45.2986069000326
0.12,1.06354e-11,6.4528e-13,0.22,1.15764e-06,48.8491025692285,0.005,2.42236e-08,0.001,46.5374247999862
0.13,1.06297e-11,7.57933e-13,0.23,1.15795e-06,48.8572067164621,0.005,2.39199e-08,0.001,47.5624531999929
0.14,1.08362e-11,7.88689e-13,0.24,1.15787e-06,48.8551154987584,0.005,2.38172e-08,0.001,48.7951341000153
0.15,1.06143e-11,6.212e-13,0.25,1.15747e-06,48.8446575826218,0.005,2.36521e-08,0.001,50.0191616000375
0.16,1.08967e-11,9.12785e-13,0.26,1.15614e-06,48.8098630882933,0.005,2.37695e-08,0.001,51.0618793000467
0.17,1.12716e-11,7.87139e-13,0.27,1.15591e-06,48.8038425730163,0.005,2.33238e-08,0.001,52.0922736000502
0.18,1.14685e-11,8.77261e-13,0.28,1.15742e-06,48.8433501288699,0.005,2.32476e-08,0.001,53.1315644000424
0.19,1.17849e-11,7.83563e-13,0.29,1.15828e-06,48.8658317021491,0.005,2.30536e-08,0.001,54.1621047999943
0.2,1.19257e-11,7.86066e-13,0.3,1.15784e-06,48.8543312607136,0.005,2.29663e-08,0.001,55.2039124000585
0.21,1.22229e-11,8.34346e-13,0.31,1.15726e-06,48.8391659568351,0.005,2.27793e-08,0.001,56.2345694999676
0.22,1.23532e-11,9.32813e-13,0.32,1.15682e-06,48.8276569683522,0.005,2.25708e-08,0.001,57.3197109999601
0.23,1.26628e-11,8.35419e-13,0.33,1.15688e-06,48.8292265931735,0.005,2.24302e-08,0.001,58.3475005000364
0.24,1.3041e-11,9.72986e-13,0.34,1.15681e-06,48.8273953575422,0.005,2.23744e-08,0.001,59.3754393999698
0.25,1.33002e-11,9.44614e-13,0.35,1.15702e-06,48.8328887841947,0.005,2.21469e-08,0.001,60.3988345999969
0.26,1.36319e-11,9.59992e-13,0.36,1.15776e-06,48.8522398755029,0.005,2.18561e-08,0.001,61.4404912999598
0.27,1.39281e-11,1.0879e-12,0.37,1.15778e-06,48.8527627332277,0.005,2.16599e-08,0.001,62.6600518999621
0.28,1.3997e-11,9.35554e-13,0.38,1.15791e-06,48.8561611228369,0.005,2.15662e-08,0.001,63.6997497000266
0.29,1.43355e-11,1.1462e-12,0.39,1.15701e-06,48.8326272115121,0.005,2.13469e-08,0.001,64.9281859999755
0.3,1.41542e-11,9.16243e-13,0.4,1.15592e-06,48.8041043555514,0.005,2.11247e-08,0.001,66.1703193000285
0.31,1.46472e-11,1.14596e-12,0.41,1.15671e-06,48.8247791445691,0.005,2.0941e-08,0.001,67.1957322000526
0.32,1.5168e-11,1.14548e-12,0.42,1.15667e-06,48.8237326059856,0.005,2.08403e-08,0.001,68.2392442000564
0.33,1.55332e-11,1.11961e-12,0.43,1.15684e-06,48.8281801842523,0.005,2.04953e-08,0.001,69.2696715999627
0.34,1.60211e-11,1.22714e-12,0.44,1.15791e-06,48.8561611228369,0.005,2.03529e-08,0.001,70.2990253999596
0.35,1.63754e-11,1.19412e-12,0.45,1.1577e-06,48.850671256637,0.005,2.02189e-08,0.001,71.3308712999569
0.36,1.68457e-11,1.19734e-12,0.46,1.15798e-06,48.8579908916974,0.005,2.01409e-08,0.001,72.3624383000424
0.37,1.72307e-11,1.18601e-12,0.47,1.15926e-06,48.8914330901081,0.005,1.99703e-08,0.001,73.3934464000631
0.38,1.76193e-11,1.28114e-12,0.48,1.15964e-06,48.9013552498076,0.005,1.99803e-08,0.001,74.4188567000674
0.39,1.8005e-11,1.21331e-12,0.49,1.16033e-06,48.9193647974992,0.005,1.98017e-08,0.001,75.4468065999681
0.4,1.83936e-11,1.24419e-12,0.5,1.15876e-06,48.8783734383182,0.005,1.98428e-08,0.001,76.478672600002
0.41,1.86816e-11,1.38879e-12,0.51,1.1595e-06,48.8977000362459,0.005,1.97824e-08,0.001,77.5069885000121
0.42,1.90893e-11,1.22178e-12,0.52,1.15908e-06,48.8867321626314,0.005,1.9392e-08,0.001,78.7340177999577
