keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,keithley2_smua_curr,keithley2_smua_temperature,keithley2_smua_volt,keithley2_smub_curr,keithley2_smub_volt,time
-0.3,-8.54301e-12,-2.71251e-11,-0.2,8.65268e-07,40.2347760665764,0.005,2.19358e-09,0.001,1.61809959998936
-0.29,-8.0266e-12,-2.44211e-11,-0.19,8.64672e-07,40.2148403231874,0.005,2.19382e-09,0.001,2.65140619999147
-0.28,-7.62475e-12,-2.23149e-11,-0.18,8.66055e-07,40.2610827926637,0.005,2.19826e-09,0.001,3.68955719999212
-0.27,-7.28345e-12,-2.03745e-11,-0.17,8.66411e-07,40.2729760045084,0.005,2.1978e-09,0.001,4.71753249999892
-0.26,-6.96862e-12,-1.95221e-11,-0.16,8.67313e-07,40.3030914003227,0.005,2.2005e-09,0.001,5.75939049999579
-0.25,-6.6731e-12,-1.82748e-11,-0.15,8.67762e-07,40.3180724305823,0.005,2.17634e-09,0.001,6.78845199999341
-0.24,-6.41024e-12,-1.68889e-11,-0.14,8.68289e-07,40.3356475788657,0.005,2.18308e-09,0.001,7.82648439999321
-0.23,-6.15156e-12,-1.56617e-11,-0.13,8.68515e-07,40.343181780186,0.005,2.19276e-09,0.001,8.85513569999603
-0.22,-5.93019e-12,-1.47438e-11,-0.12,8.68208e-07,40.3329468632439,0.005,2.19216e-09,0.001,9.8980836999981
-0.21,-5.73361e-12,-1.38571e-11,-0.11,8.68477e-07,40.3419150837688,0.005,2.19837e-09,0.001,10.9299275999947
-0.2,-5.5753e-12,-1.30991e-11,-0.1,8.68142e-07,40.3307461222731,0.005,2.18823e-09,0.001,11.9738734999992
-0.19,-5.35321e-12,-1.20593e-11,-0.09,8.68509e-07,40.3429817786109,0.005,2.19769e-09,0.001,13.0079403999989
-0.18,-5.16069e-12,-1.11443e-11,-0.08,8.68956e-07,40.3578786913743,0.005,2.17165e-09,0.001,14.0537840999896
-0.17,-4.99761e-12,-1.04693e-11,-0.07,8.68818e-07,40.3532803375381,0.005,2.18017e-09,0.001,15.2794350999902
-0.16,-4.84264e-12,-9.69338e-12,-0.06,8.68211e-07,40.3330468935559,0.005,2.18796e-09,0.001,16.5254994999996
-0.15,-4.68886e-12,-9.32002e-12,-0.05,8.6824e-07,40.3340138381382,0.005,2.1957e-09,0.001,17.7536065999884
-0.14,-4.53973e-12,-8.05759e-12,-0.04,8.68812e-07,40.3530803950709,0.005,2.20704e-09,0.001,18.787729299991
-0.13,-4.35984e-12,-7.2931e-12,-0.03,8.67692e-07,40.3157372902128,0.005,2.20155e-09,0.001,19.8352051999973
-0.12,-4.20249e-12,-6.55413e-12,-0.02,8.68381e-07,40.3387147993957,0.005,2.19231e-09,0.001,20.8785210999922
-0.11,-4.04513e-12,-6.11699e-12,-0.01,8.6935e-07,40.3710039200967,0.005,2.20817e-09,0.001,21.9107898999937
-0.1,-3.82543e-12,-5.32007e-12,1.38778e-17,8.69356e-07,40.3712037577077,0.005,2.17543e-09,0.001,22.9714198000001
-0.09,-3.68524e-12,-4.59135e-12,0.01,8.69102e-07,40.362742942822,0.005,2.17526e-09,0.001,24.0021659999911
-0.08,-3.50106e-12,-4.2311e-12,0.02,8.68504e-07,40.3428151097372,0.005,2.18142e-09,0.001,25.0436201999983
-0.07,-3.40664e-12,-3.80969e-12,0.03,8.68249e-07,40.3343139188231,0.005,2.18867e-09,0.001,26.0759108999919
-0.06,-3.25561e-12,-2.77555e-12,0.04,8.68528e-07,40.3436151129155,0.005,2.18849e-09,0.001,27.1120222999889
-0.05,-3.1482e-12,-2.05588e-12,0.05,8.68996e-07,40.3592114318782,0.005,2.18121e-09,0.001,28.143691099991
-0.04,-2.99549e-12,-1.47736e-12,0.06,8.68975e-07,40.3585117495956,0.005,2.16545e-09,0.001,29.1867648999905
-0.03,-2.89643e-12,-1.46687e-12,0.07,8.68785e-07,40.3521806394888,0.005,2.18298e-09,0.001,30.4120390999888
-0.02,-2.7926e-12,-5.17607e-13,0.08,8.68822e-07,40.3534136318661,0.005,2.19544e-09,0.001,31.4549754999898
-0.01,-2.67255e-12,2.95043e-13,0.09,8.69267e-07,40.3682393798964,0.005,2.19084e-09,0.001,32.6876550999878
-1.38778e-17,-2.58601e-12,8.39233e-14,0.1,8.69569e-07,40.3782972358262,0.005,2.18729e-09,0.001,33.927787099994
0.01,-2.43509e-12,9.14812e-13,0.11,8.70191e-07,40.3990030998407,0.005,2.20155e-09,0.001,34.9597395999881
0.02,-2.28286e-12,1.69182e-12,0.12,8.69754e-07,40.3844570432936,0.005,2.19673e-09,0.001,35.9977250999946
0.03,-2.08747e-12,2.30443e-12,0.13,8.69852e-07,40.3877196266111,0.005,2.21884e-09,0.001,37.0279023999901
0.04,-2.00975e-12,2.94077e-12,0.14,8.69866e-07,40.3881856845156,0.005,2.18379e-09,0.001,38.0685105000011
0.05,-1.87922e-12,3.15487e-12,0.15,8.69881e-07,40.3886850252172,0.005,2.18399e-09,0.001,39.0976484999992
0.06,-1.85597e-12,3.9829e-12,0.16,8.69961e-07,40.3913480524054,0.005,2.16817e-09,0.001,40.1529682999972
0.07,-1.81878e-12,4.55546e-12,0.17,8.69823e-07,40.3867542007314,0.005,2.19463e-09,0.001,41.1841916999983
0.08,-1.77848e-12,4.87959e-12,0.18,8.69631e-07,40.3803617274424,0.005,2.20004e-09,0.001,42.2337259999913
0.09,-1.69623e-12,5.63169e-12,0.19,8.69592e-07,40.379063110172,0.005,2.19264e-09,0.001,43.2656920000009
0.1,-1.62029e-12,6.17099e-12,0.2,8.70031e-07,40.3936780309769,0.005,2.21376e-09,0.001,44.3124899999966
0.11,-1.4863e-12,6.31845e-12,0.21,8.7062e-07,40.4132768472879,0.005,2.20318e-09,0.001,45.3432421999896
0.12,-1.48571e-12,6.75809e-12,0.22,8.71449e-07,40.440842572519,0.005,2.21552e-09,0.001,46.583121299991
0.13,-1.40917e-12,7.36439e-12,0.23,8.71718e-07,40.4497825263812,0.005,2.18446e-09,0.001,47.6144799999893
0.14,-1.34611e-12,7.97903e-12,0.24,8.70602e-07,40.4126780685926,0.005,2.20479e-09,0.001,48.8652610999998
0.15,-1.26374e-12,8.14986e-12,0.25,8.71636e-07,40.4470575836949,0.005,2.21872e-09,0.001,49.8959593999898
0.16,-1.17803e-12,8.66461e-12,0.26,8.7181e-07,40.4528395206194,0.005,2.22446e-09,0.001,50.9295514999976
0.17,-1.09565e-12,9.14335e-12,0.27,8.72129e-07,40.4634371991711,0.005,2.19646e-09,0.001,51.9609610999905
0.18,-1.07682e-12,9.82249e-12,0.28,8.71391e-07,40.4389146923874,0.005,2.2072e-09,0.001,53.0037618999922
0.19,-9.91225e-13,1.01594e-11,0.29,8.71346e-07,40.4374188484116,0.005,2.17853e-09,0.001,54.0353686999879
0.2,-9.74059e-13,1.0699e-11,0.3,8.70809e-07,40.4195633903308,0.005,2.16002e-09,0.001,55.0839019999985
0.21,-8.96811e-13,1.1348e-11,0.31,8.71401e-07,40.4392470932707,0.005,2.21126e-09,0.001,56.1186210000014
0.22,-8.37207e-13,1.20882e-11,0.32,8.71557e-07,40.4444321285827,0.005,2.19545e-09,0.001,57.1623405999999
0.23,-8.11458e-13,1.22664e-11,0.33,8.71543e-07,40.4439668370225,0.005,2.21635e-09,0.001,58.2001043999917
0.24,-7.43508e-13,1.26377e-11,0.34,8.70613e-07,40.413043990153,0.005,2.20425e-09,0.001,59.2438460999983
0.25,-7.00355e-13,1.30936e-11,0.35,8.7016e-07,40.3979714325536,0.005,2.21086e-09,0.001,60.2796184999897
0.26,-6.4981e-13,1.34678e-11,0.36,8.70527e-07,40.4101830444405,0.005,2.19389e-09,0.001,61.3215047999984
0.27,-5.67436e-13,1.41957e-11,0.37,8.71654e-07,40.4476557604526,0.005,2.19555e-09,0.001,62.5446285999933
0.28,-5.53966e-13,1.41652e-11,0.38,8.71304e-07,40.4360226683075,0.005,2.2091e-09,0.001,63.588931899998
0.29,-4.83632e-13,1.47624e-11,0.39,8.70508e-07,40.4095509427384,0.005,2.21609e-09,0.001,64.8183636999893
0.3,-4.69804e-13,1.4977e-11,0.4,8.70421e-07,40.4066564329818,0.005,2.21921e-09,0.001,65.8586860999931
0.31,-4.06623e-13,1.59441e-11,0.41,8.70798e-07,40.4191975385617,0.005,2.22554e-09,0.001,66.8924649999972
0.32,-3.27468e-13,1.59531e-11,0.42,8.71787e-07,40.4520752976874,0.005,2.21396e-09,0.001,67.9344036999973
0.33,-3.04699e-13,1.66347e-11,0.43,8.71846e-07,40.4540356613473,0.005,2.21274e-09,0.001,68.9657148999977
0.34,-2.4271e-13,1.71139e-11,0.44,8.7218e-07,40.4651311943307,0.005,2.2122e-09,0.001,70.0091936999961
0.35,-1.58787e-13,1.77363e-11,0.45,8.71172e-07,40.4316343024027,0.005,2.19843e-09,0.001,71.0488106999983
0.36,-8.38041e-14,1.78778e-11,0.46,8.71189e-07,40.4321995023463,0.005,2.21916e-09,0.001,72.0956372999935
0.37,-7.87973e-14,1.83105e-11,0.47,8.71847e-07,40.4540688868813,0.005,2.2096e-09,0.001,73.1272064999939
0.38,1.77622e-14,1.87749e-11,0.48,8.72306e-07,40.469315999034,0.005,2.21512e-09,0.001,74.171397699989
0.39,6.75917e-14,1.9363e-11,0.49,8.71966e-07,40.4580224948747,0.005,2.22627e-09,0.001,75.2030249999953
0.4,1.48296e-13,1.96791e-11,0.5,8.72028e-07,40.4600821767132,0.005,2.21715e-09,0.001,76.2473992999876
0.41,2.01941e-13,1.99628e-11,0.51,8.71862e-07,40.4545672660151,0.005,2.21177e-09,0.001,77.2785906999925
0.42,2.76685e-13,2.05393e-11,0.52,8.71683e-07,40.4486194676577,0.005,2.21194e-09,0.001,78.5166983999952
0.43,2.38419e-13,2.05156e-11,0.53,8.72335e-07,40.4702790958612,0.005,2.22235e-09,0.001,79.5496450999926
0.44,3.00288e-13,2.12303e-11,0.54,8.72045e-07,40.4606469065089,0.005,2.22301e-09,0.001,80.7991796999995
0.45,2.88486e-13,2.11287e-11,0.55,8.71775e-07,40.4516765658973,0.005,2.18787e-09,0.001,82.0269948999921
0.46,3.21507e-13,2.16113e-11,0.56,8.72467e-07,40.4746625041887,0.005,2.22838e-09,0.001,83.0747715999896
0.47,3.82543e-13,2.20431e-11,0.57,8.72543e-07,40.4771860298356,0.005,2.215e-09,0.001,84.1086433999881
0.48,4.36544e-13,2.28148e-11,0.58,8.71942e-07,40.4572251653635,0.005,2.21246e-09,0.001,85.1463800999918
0.49,4.78744e-13,2.31549e-11,0.59,8.71697e-07,40.4490846958955,0.005,2.20827e-09,0.001,86.1784919999918
0.5,5.06163e-13,2.34373e-11,0.6,8.72384e-07,40.4719063357527,0.005,2.17739e-09,0.001,87.2220744999941
0.51,5.48005e-13,2.43015e-11,0.61,8.72848e-07,40.4873114635781,0.005,2.18426e-09,0.001,88.254523399999
0.52,6.06298e-13,2.45789e-11,0.62,8.72412e-07,40.4728361523482,0.005,2.19219e-09,0.001,89.2972838999995
0.53,6.66022e-13,2.47709e-11,0.63,8.73024e-07,40.4931529727749,0.005,2.15172e-09,0.001,90.3299319999933
0.54,7.45535e-13,2.53167e-11,0.64,8.73708e-07,40.5158457313656,0.005,2.14535e-09,0.001,91.3738183999958
0.55,8.41856e-13,2.5516e-11,0.65,8.74139e-07,40.5301370936789,0.005,2.17088e-09,0.001,92.406387199997
0.56,9.23991e-13,2.55076e-11,0.66,8.73595e-07,40.5120978197134,0.005,2.15726e-09,0.001,93.453425300002
0.57,9.58562e-13,2.62071e-11,0.67,8.73048e-07,40.4939494648972,0.005,2.17284e-09,0.001,94.6775182999991
0.58,9.67383e-13,2.62883e-11,0.68,8.73372e-07,40.5047002931292,0.005,2.1723e-09,0.001,95.7114390999923
0.59,1.08516e-12,2.70193e-11,0.69,8.73102e-07,40.495741504342,0.005,2.18291e-09,0.001,96.9466419999953
0.6,1.08099e-12,2.68693e-11,0.7,8.72589e-07,40.4787133364601,0.005,2.22129e-09,0.001,97.988222999993
0.61,1.16587e-12,2.75915e-11,0.71,8.72098e-07,40.4624074748214,0.005,2.22921e-09,0.001,99.0205677999911
0.62,1.20747e-12,2.78748e-11,0.72,8.72245e-07,40.4672900861177,0.005,2.23776e-09,0.001,100.055562699999
0.63,1.30332e-12,2.8376e-11,0.73,8.7272e-07,40.4830624663511,0.005,2.21467e-09,0.001,101.091005900002
0.64,1.34254e-12,2.88335e-11,0.74,8.72443e-07,40.4738655626556,0.005,2.21838e-09,0.001,102.135607599994
0.65,1.3721e-12,2.91562e-11,0.75,8.7227e-07,40.4681203928145,0.005,2.18623e-09,0.001,103.165838699992
0.66,1.39463e-12,2.99191e-11,0.76,8.73068e-07,40.4946131941606,0.005,2.2127e-09,0.001,104.250161299991
0.67,1.44398e-12,3.01404e-11,0.77,8.73037e-07,40.4935844083108,0.005,2.24124e-09,0.001,105.285747099988
0.68,1.46806e-12,3.00015e-11,0.78,8.73367e-07,40.504534410961,0.005,2.23606e-09,0.001,106.319895299996
0.69,1.47748e-12,3.08373e-11,0.79,8.73536e-07,40.5101407822571,0.005,2.21864e-09,0.001,107.3517402
0.7,1.52433e-12,3.08683e-11,0.8,8.73332e-07,40.5033732132517,0.005,2.22535e-09,0.001,108.4006869
0.71,1.54591e-12,3.11553e-11,0.81,8.72584e-07,40.4785473281753,0.005,2.21761e-09,0.001,109.430838399989
0.72,1.60313e-12,3.19065e-11,0.82,8.72544e-07,40.477219232879,0.005,2.22563e-09,0.001,110.660403499991
0.73,1.61409e-12,3.1813e-11,0.83,8.72407e-07,40.472670115525,0.005,2.22889e-09,0.001,111.691130799998
0.74,1.68407e-12,3.24991e-11,0.84,8.73039e-07,40.4936507825255,0.005,2.21174e-09,0.001,112.933321599994
0.75,1.65808e-12,3.25048e-11,0.85,8.73262e-07,40.5010506995346,0.005,2.21162e-09,0.001,113.978026600002
0.76,1.67811e-12,3.26318e-11,0.86,8.72491e-07,40.4754594271465,0.005,2.22692e-09,0.001,115.037615399997
0.77,1.7494e-12,3.32633e-11,0.87,8.72737e-07,40.4836268167025,0.005,2.22133e-09,0.001,116.068462399999
0.78,1.80387e-12,3.34954e-11,0.88,8.73735e-07,40.5167411892862,0.005,2.2155e-09,0.001,117.113381399991
0.79,1.84262e-12,3.4067e-11,0.89,8.72617e-07,40.4796429679605,0.005,2.22323e-09,0.001,118.147546499997
0.8,1.93572e-12,3.41601e-11,0.9,8.7386e-07,40.520886522293,0.005,2.20212e-09,0.001,119.181575499999
0.81,1.93417e-12,3.47699e-11,0.91,8.73723e-07,40.5163432108828,0.005,2.21909e-09,0.001,120.21609799999
0.82,2.02215e-12,3.48909e-11,0.92,8.73346e-07,40.5038376970671,0.005,2.19313e-09,0.001,121.254310199991
0.83,2.07484e-12,3.52863e-11,0.93,8.73747e-07,40.5171391630583,0.005,2.19282e-09,0.001,122.324476299997
0.84,2.12371e-12,3.59454e-11,0.94,8.73971e-07,40.5245671568578,0.005,2.19748e-09,0.001,123.361481699991
0.85,2.16365e-12,3.61875e-11,0.95,8.73853e-07,40.5206543969251,0.005,2.21335e-09,0.001,124.389492899994
0.86,2.23267e-12,3.63259e-11,0.96,8.73433e-07,40.5067239907931,0.005,2.21713e-09,0.001,125.430470099993
0.87,2.23315e-12,3.67163e-11,0.97,8.7368e-07,40.5149170835709,0.005,2.22375e-09,0.001,126.652673499993
0.88,2.21169e-12,3.67351e-11,0.98,8.74297e-07,40.535374659058,0.005,2.21372e-09,0.001,127.693733199994
0.89,2.34532e-12,3.73533e-11,0.99,8.73997e-07,40.5254292302219,0.005,2.21366e-09,0.001,128.924004100001
0.9,2.40099e-12,3.71479e-11,1.0,8.74533e-07,40.543196364593,0.005,2.20726e-09,0.001,129.959761099992
0.91,2.45392e-12,3.75618e-11,1.01,8.74132e-07,40.5299050310878,0.005,2.22403e-09,0.001,130.987076199992
0.92,2.51865e-12,3.81664e-11,1.02,8.73206e-07,40.4991925749809,0.005,2.20555e-09,0.001,132.0338013
0.93,2.61509e-12,3.84877e-11,1.03,8.72767e-07,40.4846227063653,0.005,2.22075e-09,0.001,133.066314700001
0.94,2.68781e-12,3.89705e-11,1.04,8.73952e-07,40.5239371664264,0.005,2.23192e-09,0.001,134.099881099988
0.95,2.74849e-12,3.88674e-11,1.05,8.73993e-07,40.5252966049649,0.005,2.20324e-09,0.001,135.133731599999
0.96,2.79117e-12,3.93889e-11,1.06,8.74403e-07,40.5388880192594,0.005,2.22292e-09,0.001,136.176796100001
0.97,2.87414e-12,3.98415e-11,1.07,8.74467e-07,40.5410091186276,0.005,2.22119e-09,0.001,137.2111248
0.98,2.95258e-12,4.00445e-11,1.08,8.74492e-07,40.5418376373433,0.005,2.20177e-09,0.001,138.257928899999
0.99,3.05426e-12,4.03956e-11,1.09,8.75485e-07,40.5747301824197,0.005,2.20553e-09,0.001,139.295754599996
1.0,3.13759e-12,4.08227e-11,1.1,8.75324e-07,40.5693992992435,0.005,2.17986e-09,0.001,140.344408799996
1.01,3.24476e-12,4.10398e-11,1.11,8.75453e-07,40.5736706941431,0.005,2.19731e-09,0.001,141.377896499995
1.02,3.29149e-12,4.1615e-11,1.12,8.75018e-07,40.5592650196543,0.005,2.20344e-09,0.001,142.609219399994
1.03,3.32272e-12,4.16437e-11,1.13,8.74665e-07,40.5475704369697,0.005,2.1827e-09,0.001,143.643027499988
1.04,3.3648e-12,4.14505e-11,1.14,8.74892e-07,40.555091208191,0.005,2.1881e-09,0.001,144.907233599995
1.05,3.43847e-12,4.21089e-11,1.15,8.74486e-07,40.5416387946818,0.005,2.18698e-09,0.001,145.938416899997
1.06,3.54385e-12,4.18613e-11,1.16,8.75157e-07,40.5638688717452,0.005,2.20084e-09,0.001,146.982641499999
1.07,3.67069e-12,4.29269e-11,1.17,8.75466e-07,40.5741011152128,0.005,2.20722e-09,0.001,148.016917000001
1.08,3.81839e-12,4.29336e-11,1.18,8.75019e-07,40.5592981431053,0.005,2.20932e-09,0.001,149.053185500001
1.09,3.94368e-12,4.33989e-11,1.19,8.74624e-07,40.5462118834661,0.005,2.21236e-09,0.001,150.085469099999
1.1,4.06003e-12,4.35936e-11,1.2,8.75563e-07,40.5773125476385,0.005,2.21418e-09,0.001,151.128354
1.11,4.26054e-12,4.40907e-11,1.21,8.75917e-07,40.5890300636971,0.005,2.21374e-09,0.001,152.159677999996
1.12,4.40431e-12,4.45364e-11,1.22,8.7551e-07,40.5755578848057,0.005,2.22809e-09,0.001,153.20114189999
1.13,4.60303e-12,4.49312e-11,1.23,8.74981e-07,40.5580394294211,0.005,2.21052e-09,0.001,154.240651899992
1.14,4.7667e-12,4.48397e-11,1.24,8.74556e-07,40.5439585538094,0.005,2.21732e-09,0.001,155.285669399993
1.15,4.90594e-12,4.56768e-11,1.25,8.74876e-07,40.5545611639434,0.005,2.20793e-09,0.001,156.325439699998
1.16,5.10859e-12,4.55791e-11,1.26,8.73942e-07,40.5236055878539,0.005,2.20677e-09,0.001,157.362885199997
1.17,5.29313e-12,4.6277e-11,1.27,8.7477e-07,40.5510494133378,0.005,2.17873e-09,0.001,158.587360899997
1.18,5.47552e-12,4.58829e-11,1.28,8.74069e-07,40.5278163969082,0.005,2.19866e-09,0.001,159.631346900002
1.19,5.67543e-12,4.65798e-11,1.29,8.73523e-07,40.5097095555566,0.005,2.20687e-09,0.001,160.863185800001
1.2,5.91671e-12,4.66045e-11,1.3,8.73716e-07,40.5161110546754,0.005,2.19852e-09,0.001,161.901723699993
1.21,6.08289e-12,4.69655e-11,1.31,8.74209e-07,40.5324576329933,0.005,2.2204e-09,0.001,162.935161000001
1.22,6.36971e-12,4.73213e-11,1.32,8.74043e-07,40.5269543837141,0.005,2.22623e-09,0.001,163.979279699997
1.23,6.5639e-12,4.78257e-11,1.33,8.75411e-07,40.5722800659833,0.005,2.22896e-09,0.001,165.013923499995
1.24,6.80482e-12,4.80717e-11,1.34,8.75411e-07,40.5722800659833,0.005,2.22385e-09,0.001,166.060763099988
1.25,6.98245e-12,4.83648e-11,1.35,8.75269e-07,40.5675779997042,0.005,2.22121e-09,0.001,167.093106
1.26,7.23028e-12,4.82761e-11,1.36,8.74952e-07,40.557078800974,0.005,2.23333e-09,0.001,168.1311135
1.27,7.4445e-12,4.89665e-11,1.37,8.76021e-07,40.5924717352498,0.005,2.21436e-09,0.001,169.160857800001
1.28,7.6884e-12,4.93596e-11,1.38,8.75006e-07,40.5588675357412,0.005,2.21636e-09,0.001,170.198117099993
1.29,7.90167e-12,4.97737e-11,1.39,8.73983e-07,40.5249650395721,0.005,2.2104e-09,0.001,171.232343999989
1.3,8.1681e-12,5.00796e-11,1.4,8.75024e-07,40.5594637598787,0.005,2.19945e-09,0.001,172.283198099991
1.31,8.38065e-12,5.03143e-11,1.41,8.75402e-07,40.5719820668801,0.005,2.19822e-09,0.001,173.323530199996
1.32,8.64589e-12,5.06558e-11,1.42,8.75515e-07,40.5757234228799,0.005,2.19343e-09,0.001,174.56342749999
