keithley1_smub_volt,keithley1_smua_curr,keithley1_smua_volt,keithley1_smub_curr,keithley2_smua_curr,keithley2_smua_temperature,keithley2_smua_volt,keithley2_smub_curr,keithley2_smub_volt,time
0.0,-2.47312e-12,0.0,-3.75903e-12,1.47867e-06,56.4024879696142,0.005,-1.66535e-10,0.001,0.168386999983341
-0.02,-1.90818e-12,0.0,-7.20489e-12,1.47978e-06,56.4261016745685,0.005,-1.67966e-10,0.001,1.19626820000121
-0.04,-1.43325e-12,0.0,-9.47881e-12,1.47994e-06,56.4295042259443,0.005,-1.5974e-10,0.001,2.23056249998626
-0.06,-1.04022e-12,0.0,-1.17878e-11,1.47911e-06,56.4118501363237,0.005,-1.67608e-10,0.001,3.26078559999587
-0.08,-6.44207e-13,0.0,-1.3899e-11,1.47946e-06,56.4192956454475,0.005,-1.65224e-10,0.001,4.3017493999796
-0.1,-2.20537e-13,0.0,-1.59726e-11,1.4786e-06,56.4009983184404,0.005,-1.57595e-10,0.001,5.32900109997718
-0.12,1.86801e-13,0.0,-1.7875e-11,1.47981e-06,56.4267396764691,0.005,-1.5986e-10,0.001,6.36184129997855
-0.14,6.55413e-13,0.0,-1.99283e-11,1.4793e-06,56.4158921675782,0.005,-1.58429e-10,0.001,7.39268930000253
-0.16,1.04976e-12,0.0,-2.19126e-11,1.48031e-06,56.4373714437327,0.005,-1.58429e-10,0.001,8.43778159999056
-0.18,1.54209e-12,0.0,-2.39425e-11,1.48059e-06,56.4433239170623,0.005,-1.54972e-10,0.001,9.47040079999715
-0.2,2.04599e-12,0.0,-2.58636e-11,1.48142e-06,56.460963199608,0.005,-1.54138e-10,0.001,10.9291886999854
-0.22,2.48218e-12,0.0,-2.78432e-11,1.48081e-06,56.4480001976793,0.005,-1.62005e-10,0.001,12.3547863999847
-0.24,2.95854e-12,0.0,-2.99365e-11,1.48198e-06,56.4728597171584,0.005,-1.52946e-10,0.001,13.7917748999898
-0.26,3.45707e-12,0.0,-3.18872e-11,1.48397e-06,56.5151043421071,0.005,-1.58191e-10,0.001,15.2073028000013
-0.28,4.02164e-12,0.0,-3.43211e-11,1.48357e-06,56.5066167794078,0.005,-1.63198e-10,0.001,16.2416969999904
