keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,keithley2_smua_curr,keithley2_smua_temperature,keithley2_smua_volt,keithley2_smub_curr,keithley2_smub_volt,time
-0.3,-1.80781e-12,-2.22719e-12,-0.2,4.78777e-07,23.848396798775,0.005,-1.55687e-10,0.001,1.63044410001021
-0.29,-1.71578e-12,-1.75464e-12,-0.19,4.79466e-07,23.8865111649597,0.005,-1.51873e-10,0.001,2.6634294000105
-0.28,-1.68216e-12,-1.53589e-12,-0.18,4.7905e-07,23.8635043274388,0.005,-1.54972e-10,0.001,3.72407110000495
-0.27,-1.63186e-12,-1.20151e-12,-0.17,4.79324e-07,23.8786597900537,0.005,-1.60098e-10,0.001,4.7524486000184
-0.26,-1.57499e-12,-1.09684e-12,-0.16,4.79306e-07,23.8776644032308,0.005,-1.55687e-10,0.001,5.79249340001843
-0.25,-1.47998e-12,-7.49707e-13,-0.15,4.79447e-07,23.8854607441812,0.005,-1.61648e-10,0.001,6.81866479999735
-0.24,-1.45137e-12,-8.76904e-13,-0.14,4.79587e-07,23.8931998512777,0.005,-1.57952e-10,0.001,7.84721169999102
-0.23,-1.41573e-12,-8.58664e-13,-0.13,4.79309e-07,23.8778303032556,0.005,-1.60098e-10,0.001,8.87860739999451
-0.22,-1.42765e-12,-5.74112e-13,-0.12,4.79053e-07,23.8636703033141,0.005,-1.56403e-10,0.001,9.91425689999596
-0.21,-1.36244e-12,-4.45485e-13,-0.11,4.79117e-07,23.8672109101502,0.005,-1.55807e-10,0.001,10.9399903000158
-0.2,-1.33526e-12,-5.07116e-13,-0.1,4.7943e-07,23.8845208638209,0.005,-1.56403e-10,0.001,11.9714393000177
-0.19,-1.27482e-12,-2.46048e-13,-0.09,4.79584e-07,23.8930340335359,0.005,-1.60217e-10,0.001,13.0007592000184
-0.18,-1.16992e-12,-2.27928e-13,-0.08,4.79449e-07,23.8855713164667,0.005,-1.56879e-10,0.001,14.0427992999903
-0.17,-1.09053e-12,3.6478e-14,-0.07,4.79393e-07,23.8824751432892,0.005,-1.54376e-10,0.001,15.2614364000037
-0.16,-1.0103e-12,4.48227e-14,-0.06,4.79507e-07,23.8887777410891,0.005,-1.56999e-10,0.001,16.4913044999994
-0.15,-9.79662e-13,3.92199e-14,-0.05,4.79207e-07,23.8721892039376,0.005,-1.57714e-10,0.001,17.9188626999967
-0.14,-9.68575e-13,1.72257e-13,-0.04,4.79122e-07,23.867487503017,0.005,-1.57475e-10,0.001,18.9675714999903
-0.13,-9.47833e-13,2.80976e-13,-0.03,4.79473e-07,23.886898153111,0.005,-1.54734e-10,0.001,20.0004504999961
-0.12,-8.64267e-13,3.98755e-13,-0.02,4.79451e-07,23.8856818883575,0.005,-1.5676e-10,0.001,21.0516047000128
-0.11,-8.51154e-13,5.0962e-13,-0.01,4.79828e-07,23.9065176448633,0.005,-1.53661e-10,0.001,22.0887067000149
-0.1,-8.42333e-13,5.25355e-13,1.38778e-17,4.79533e-07,23.8902149961344,0.005,-1.52588e-10,0.001,23.1388715000066
-0.09,-7.86185e-13,5.07474e-13,0.01,4.79584e-07,23.8930340335359,0.005,-1.54138e-10,0.001,24.1693891000177
-0.08,-7.60436e-13,6.7687e-13,0.02,4.79502e-07,23.888501338244,0.005,-1.55449e-10,0.001,25.2211262999917
-0.07,-7.4017e-13,7.84397e-13,0.03,4.79413e-07,23.8835809549457,0.005,-1.56522e-10,0.001,26.2548419999948
-0.06,-7.56621e-13,8.23379e-13,0.04,4.79221e-07,23.8729635332942,0.005,-1.49131e-10,0.001,27.3052695000079
-0.05,-6.96301e-13,1.05214e-12,0.05,4.79662e-07,23.8973450064244,0.005,-1.53661e-10,0.001,28.3370810000051
-0.04,-6.4981e-13,1.01948e-12,0.06,4.79487e-07,23.8876721149122,0.005,-1.5676e-10,0.001,29.3880072000029
-0.03,-6.10471e-13,1.10602e-12,0.07,4.79237e-07,23.8738484574308,0.005,-1.59621e-10,0.001,30.6117379000061
-0.02,-5.49078e-13,1.31536e-12,0.08,4.79616e-07,23.8948027103629,0.005,-1.55091e-10,0.001,31.6697737000068
-0.01,-4.98533e-13,1.41954e-12,0.09,4.7924e-07,23.8740143778923,0.005,-1.58906e-10,0.001,32.9068947999913
-1.38778e-17,-4.14491e-13,1.49143e-12,0.1,4.79603e-07,23.8940841975792,0.005,-1.55926e-10,0.001,34.1438323000039
0.01,-3.51071e-13,1.63066e-12,0.11,4.79817e-07,23.9059099034272,0.005,-1.46866e-10,0.001,35.177741099993
0.02,-2.43425e-13,1.54865e-12,0.12,4.79167e-07,23.8699767276906,0.005,-1.51396e-10,0.001,36.2253388999961
0.03,-1.55687e-13,1.78134e-12,0.13,4.79295e-07,23.8770560955386,0.005,-1.50681e-10,0.001,37.2595563000068
0.04,-1.57833e-13,1.79923e-12,0.14,4.79381e-07,23.8818116373486,0.005,-1.45793e-10,0.001,38.3046898000175
0.05,-1.05262e-13,2.00868e-12,0.15,4.79525e-07,23.8897727709142,0.005,-1.52707e-10,0.001,39.3369496999949
0.06,-9.75132e-14,1.85573e-12,0.16,4.7975e-07,23.9022079481416,0.005,-1.55926e-10,0.001,40.3748452000145
0.07,-1.83582e-14,2.12502e-12,0.17,4.79804e-07,23.9051916481791,0.005,-1.54972e-10,0.001,41.4090711000026
0.08,3.12328e-14,2.20704e-12,0.18,4.79548e-07,23.891044151409,0.005,-1.52826e-10,0.001,42.4588291000109
0.09,6.27041e-14,2.45023e-12,0.19,4.7947e-07,23.8867323016381,0.005,-1.52469e-10,0.001,43.4909938999917
0.1,1.27196e-13,2.3284e-12,0.2,4.79284e-07,23.8764477759015,0.005,-1.45435e-10,0.001,44.5359619999945
0.11,1.62482e-13,2.39503e-12,0.21,4.79415e-07,23.8836915339405,0.005,-1.4627e-10,0.001,45.7609789000126
0.12,2.41041e-13,2.42984e-12,0.22,4.79459e-07,23.8861241719744,0.005,-1.45078e-10,0.001,46.807157800009
0.13,2.70009e-13,2.75886e-12,0.23,4.79239e-07,23.8739590711705,0.005,-1.48892e-10,0.001,47.840239800018
0.14,3.38912e-13,2.83647e-12,0.24,4.78933e-07,23.8570305745279,0.005,-1.54972e-10,0.001,49.0829542000138
0.15,4.11153e-13,2.84493e-12,0.25,4.78836e-07,23.851662420018,0.005,-1.56283e-10,0.001,50.1162853999995
0.16,4.73261e-13,2.84767e-12,0.26,4.78896e-07,23.8549830377146,0.005,-1.56641e-10,0.001,51.1618773000082
0.17,5.32627e-13,2.91753e-12,0.27,4.79022e-07,23.8619551763828,0.005,-1.56879e-10,0.001,52.1952003999904
0.18,5.49316e-13,2.96199e-12,0.28,4.79324e-07,23.8786597900537,0.005,-1.47223e-10,0.001,53.2403915000032
0.19,6.06537e-13,3.05045e-12,0.29,4.79656e-07,23.8970134144205,0.005,-1.49608e-10,0.001,54.2746898000187
0.2,6.36578e-13,3.33285e-12,0.3,4.79941e-07,23.9127601167917,0.005,-1.54257e-10,0.001,55.3163163000136
0.21,7.12514e-13,3.38483e-12,0.31,4.79777e-07,23.9036998340758,0.005,-1.56522e-10,0.001,56.3508327000018
0.22,7.63893e-13,3.49402e-12,0.32,4.80026e-07,23.9174549528558,0.005,-1.54257e-10,0.001,57.398483500001
0.23,8.40425e-13,3.4672e-12,0.33,4.79674e-07,23.8980081797861,0.005,-1.54734e-10,0.001,58.4332275000052
0.24,8.86202e-13,3.51179e-12,0.34,4.79147e-07,23.8688704303077,0.005,-1.46866e-10,0.001,59.4815240000025
0.25,9.3174e-13,3.94666e-12,0.35,4.79198e-07,23.871691410559,0.005,-1.48892e-10,0.001,60.5143222000042
0.26,9.83e-13,3.76379e-12,0.36,4.79865e-07,23.9085617785802,0.005,-1.45793e-10,0.001,61.7545872000046
0.27,1.03211e-12,3.84796e-12,0.37,4.79267e-07,23.8755076220567,0.005,-1.50681e-10,0.001,62.7881431000133
0.28,1.14405e-12,3.82376e-12,0.38,4.79405e-07,23.8831386350197,0.005,-1.53065e-10,0.001,63.8338960999972
0.29,1.17266e-12,4.01163e-12,0.39,4.80174e-07,23.9256277938143,0.005,-1.52349e-10,0.001,65.0663915000041
0.3,1.20997e-12,4.09412e-12,0.4,4.80151e-07,23.9243578316064,0.005,-1.52707e-10,0.001,66.1161431999935
0.31,1.26243e-12,4.10068e-12,0.41,4.80171e-07,23.9254621495214,0.005,-1.53542e-10,0.001,67.1831063000136
0.32,1.27554e-12,4.17101e-12,0.42,4.805e-07,23.9436225333043,0.005,-1.57118e-10,0.001,68.2319083999901
0.33,1.34468e-12,4.49014e-12,0.43,4.80195e-07,23.9267872790737,0.005,-1.50323e-10,0.001,69.2667094999924
0.34,1.31905e-12,4.48251e-12,0.44,4.8031e-07,23.9331360720236,0.005,-1.51277e-10,0.001,70.3024757000094
0.35,1.33991e-12,4.38964e-12,0.45,4.80929e-07,23.9672868170333,0.005,-1.52946e-10,0.001,71.3373435999965
0.36,1.39141e-12,4.60637e-12,0.46,4.80417e-07,23.939042041944,0.005,-1.51157e-10,0.001,72.3842145999952
0.37,1.39475e-12,4.73952e-12,0.47,4.80127e-07,23.9230325981581,0.005,-1.56522e-10,0.001,73.4164617999922
0.38,1.42157e-12,5.00345e-12,0.48,4.79991e-07,23.9155218712114,0.005,-1.47581e-10,0.001,74.465589600004
0.39,1.48594e-12,4.91357e-12,0.49,4.80552e-07,23.9464918938407,0.005,-1.54138e-10,0.001,75.4973144000105
0.4,1.52409e-12,4.82333e-12,0.5,4.80342e-07,23.9349024613753,0.005,-1.57714e-10,0.001,76.5427767999936
0.41,1.57154e-12,5.1744e-12,0.51,4.80135e-07,23.9234743489382,0.005,-1.56641e-10,0.001,77.7678925000073
0.42,1.64509e-12,4.90653e-12,0.52,4.80637e-07,23.95118162276,0.005,-1.54018e-10,0.001,78.8102160000126
0.43,1.68836e-12,5.13792e-12,0.53,4.80427e-07,23.9395939442438,0.005,-1.57237e-10,0.001,79.8413275000057
0.44,1.71602e-12,5.25033e-12,0.54,4.80423e-07,23.9393731845033,0.005,-1.45555e-10,0.001,81.0755496000056
0.45,1.74844e-12,5.26535e-12,0.55,4.80446e-07,23.9406425315364,0.005,-1.47462e-10,0.001,82.1075364999997
0.46,1.77264e-12,5.2861e-12,0.56,4.80178e-07,23.9258486514943,0.005,-1.46151e-10,0.001,83.14538609999
0.47,1.88434e-12,5.47326e-12,0.57,4.80409e-07,23.9386005130274,0.005,-1.51873e-10,0.001,84.1784496000037
0.48,1.88375e-12,5.52106e-12,0.58,4.80108e-07,23.9219834148158,0.005,-1.52588e-10,0.001,85.2224008000048
0.49,1.95599e-12,5.57911e-12,0.59,4.80631e-07,23.9508506063487,0.005,-1.49369e-10,0.001,86.2562489999982
0.5,2.03276e-12,5.68306e-12,0.6,4.80267e-07,23.930762327774,0.005,-1.52826e-10,0.001,87.2988260000129
0.51,2.04647e-12,5.83327e-12,0.61,4.80279e-07,23.9314247863207,0.005,-1.46747e-10,0.001,88.330274900014
0.52,2.11728e-12,5.83267e-12,0.62,4.79974e-07,23.9145829023267,0.005,-1.50681e-10,0.001,89.3753234000178
0.53,2.17283e-12,6.05774e-12,0.63,4.79813e-07,23.9056889035857,0.005,-1.44124e-10,0.001,90.4093396000098
0.54,2.17056e-12,6.07717e-12,0.64,4.80339e-07,23.9347368666506,0.005,-1.48892e-10,0.001,91.4570411000168
0.55,2.25222e-12,6.22308e-12,0.65,4.80044e-07,23.9184490621741,0.005,-1.47343e-10,0.001,92.488150899997
0.56,2.21634e-12,6.11222e-12,0.66,4.80419e-07,23.9391524231903,0.005,-1.45793e-10,0.001,93.7254427000007
0.57,2.26617e-12,6.35672e-12,0.67,4.80202e-07,23.9271737645194,0.005,-1.50919e-10,0.001,94.7602507999982
0.58,2.26128e-12,6.44863e-12,0.68,4.80026e-07,23.9174549528558,0.005,-1.48773e-10,0.001,95.8101938000182
0.59,2.39193e-12,6.52456e-12,0.69,4.79841e-07,23.9072358693743,0.005,-1.55687e-10,0.001,97.0459784000122
0.6,2.41876e-12,6.46865e-12,0.7,4.79806e-07,23.9053021500703,0.005,-1.55687e-10,0.001,98.094851700007
0.61,2.47765e-12,6.65498e-12,0.71,4.79914e-07,23.9112686670478,0.005,-1.5378e-10,0.001,99.129072700016
0.62,2.49875e-12,6.74427e-12,0.72,4.80556e-07,23.9467126028789,0.005,-1.53065e-10,0.001,100.17195009999
0.63,2.54512e-12,6.75321e-12,0.73,4.79799e-07,23.9049153917272,0.005,-1.54614e-10,0.001,101.204965600016
0.64,2.58374e-12,6.91664e-12,0.74,4.80134e-07,23.923419130435,0.005,-1.53184e-10,0.001,102.254230099992
0.65,2.61843e-12,6.82688e-12,0.75,4.80363e-07,23.9360615996733,0.005,-1.50919e-10,0.001,103.28794129999
0.66,2.65718e-12,6.95705e-12,0.76,4.79737e-07,23.9014896070708,0.005,-1.57356e-10,0.001,104.332713600015
0.67,2.65408e-12,7.11608e-12,0.77,4.79884e-07,23.9096114164641,0.005,-1.49965e-10,0.001,105.366146799992
0.68,2.66647e-12,7.31933e-12,0.78,4.79976e-07,23.9146933707312,0.005,-1.55091e-10,0.001,106.409064800013
0.69,2.72131e-12,7.27308e-12,0.79,4.79964e-07,23.914030554397,0.005,-1.48416e-10,0.001,107.445933500014
0.7,2.78687e-12,7.6679e-12,0.8,4.80258e-07,23.9302654745704,0.005,-1.53422e-10,0.001,108.488424200012
0.71,2.81739e-12,7.42936e-12,0.81,4.80365e-07,23.9361719915357,0.005,-1.49488e-10,0.001,109.723762800015
0.72,2.86388e-12,7.51281e-12,0.82,4.80052e-07,23.9188908783008,0.005,-1.57237e-10,0.001,110.758419599995
0.73,2.96974e-12,7.61616e-12,0.83,4.80066e-07,23.9196640413648,0.005,-1.55687e-10,0.001,111.792783100012
0.74,3.10063e-12,7.70605e-12,0.84,4.79757e-07,23.9025947402816,0.005,-1.54734e-10,0.001,113.03888800001
0.75,3.20971e-12,7.75313e-12,0.85,4.79843e-07,23.9073463639753,0.005,-1.53303e-10,0.001,114.07218670001
0.76,3.25847e-12,7.93839e-12,0.86,4.80003e-07,23.9161846556464,0.005,-1.46985e-10,0.001,115.120054300001
0.77,3.33905e-12,8.13031e-12,0.87,4.79781e-07,23.903920848105,0.005,-1.51753e-10,0.001,116.156703200017
0.78,3.45933e-12,8.05104e-12,0.88,4.79687e-07,23.8987266015764,0.005,-1.52707e-10,0.001,117.203658300015
0.79,3.48282e-12,8.15701e-12,0.89,4.79867e-07,23.908672268453,0.005,-1.55568e-10,0.001,118.237601000001
0.8,3.50642e-12,8.26442e-12,0.9,4.79932e-07,23.9122629748535,0.005,-1.5676e-10,0.001,119.285316299996
0.81,3.56364e-12,8.4461e-12,0.91,4.80135e-07,23.9234743489382,0.005,-1.54495e-10,0.001,120.320252400008
0.82,3.61538e-12,8.38387e-12,0.92,4.79712e-07,23.9001081351232,0.005,-1.57833e-10,0.001,121.369463600015
0.83,3.7092e-12,8.39186e-12,0.93,4.79913e-07,23.9112134267897,0.005,-1.5378e-10,0.001,122.406863400014
0.84,3.77655e-12,8.71134e-12,0.94,4.80407e-07,23.9384901298154,0.005,-1.59502e-10,0.001,123.454095199995
0.85,3.80075e-12,8.81147e-12,0.95,4.80197e-07,23.9268977039786,0.005,-1.58668e-10,0.001,124.488295299991
0.86,3.89397e-12,8.75282e-12,0.96,4.80199e-07,23.9270081284901,0.005,-1.48058e-10,0.001,125.727543200017
0.87,3.98731e-12,8.80206e-12,0.97,4.7979e-07,23.9044181239066,0.005,-1.46151e-10,0.001,126.759567300003
0.88,4.06957e-12,8.98921e-12,0.98,4.80188e-07,23.9264007888077,0.005,-1.55687e-10,0.001,127.807831999991
0.89,4.11475e-12,8.98027e-12,0.99,4.8005e-07,23.9187804248597,0.005,-1.53899e-10,0.001,129.040757900017
0.9,4.16708e-12,9.04989e-12,1.0,4.80195e-07,23.9267872790737,0.005,-1.52946e-10,0.001,130.088926700002
0.91,4.24623e-12,9.17399e-12,1.01,4.79873e-07,23.9090037357073,0.005,-1.57475e-10,0.001,131.122425800015
0.92,4.30846e-12,9.17137e-12,1.02,4.80355e-07,23.9356200282911,0.005,-1.50442e-10,0.001,132.168115100008
0.93,4.38654e-12,9.23383e-12,1.03,4.79994e-07,23.9156875686493,0.005,-1.56999e-10,0.001,133.2022688
0.94,4.50373e-12,9.18889e-12,1.04,4.80068e-07,23.9197744916563,0.005,-1.46985e-10,0.001,134.245654600003
0.95,4.57966e-12,9.34088e-12,1.05,4.79861e-07,23.9083407976527,0.005,-1.48892e-10,0.001,135.279060500005
0.96,4.6767e-12,9.40716e-12,1.06,4.79756e-07,23.9025394845572,0.005,-1.56283e-10,0.001,136.319914599997
0.97,4.77064e-12,9.68695e-12,1.07,4.80515e-07,23.9444502607228,0.005,-1.51992e-10,0.001,137.358195800014
0.98,4.8548e-12,9.71246e-12,1.08,4.80644e-07,23.9515678041049,0.005,-1.46866e-10,0.001,138.414343500015
0.99,4.96292e-12,9.92668e-12,1.09,4.80798e-07,23.9600625765227,0.005,-1.54376e-10,0.001,139.487934300007
1.0,5.06258e-12,9.87887e-12,1.1,4.80589e-07,23.9485333924729,0.005,-1.47462e-10,0.001,140.5313723
1.01,5.18036e-12,9.71317e-12,1.11,4.80213e-07,23.9277810890526,0.005,-1.49608e-10,0.001,141.753307900013
1.02,5.33318e-12,1.01253e-11,1.12,4.79841e-07,23.9072358693743,0.005,-1.49846e-10,0.001,142.804540600016
1.03,5.5095e-12,1.01819e-11,1.13,4.79826e-07,23.906407147307,0.005,-1.54734e-10,0.001,143.840285600018
