keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,keithley2_smua_curr,keithley2_smua_temperature,keithley2_smua_volt,keithley2_smub_curr,keithley2_smub_volt,time
-0.4,-4.34494e-11,-8.60059e-12,-0.1,1.39167e-06,54.5036519121288,0.005,-1.26958e-10,0.001,1.57642719999421
-0.39,-3.95907e-11,-7.20954e-12,-0.09,1.39111e-06,54.4911102849372,0.005,-1.26243e-10,0.001,2.60866930001066
-0.38,-3.61245e-11,-6.65021e-12,-0.08,1.39265e-06,54.5255895600427,0.005,-1.23858e-10,0.001,3.64643860000069
-0.37,-3.3307e-11,-5.64706e-12,-0.07,1.39218e-06,54.515070062386,0.005,-1.3566e-10,0.001,4.67639169999165
-0.36,-3.07931e-11,-5.09298e-12,-0.06,1.39188e-06,54.508353929129,0.005,-1.39117e-10,0.001,5.71604420000222
-0.35,-2.85199e-11,-4.28879e-12,-0.05,1.39275e-06,54.5278273661772,0.005,-1.43766e-10,0.001,6.74675399999251
-0.34,-2.66466e-11,-3.71706e-12,-0.04,1.39358e-06,54.5463959485754,0.005,-1.38283e-10,0.001,7.78788859999622
-0.33,-2.46887e-11,-3.0911e-12,-0.03,1.39258e-06,54.5240230154157,0.005,-1.3864e-10,0.001,8.81786380000995
-0.32,-2.30505e-11,-2.25151e-12,-0.02,1.39257e-06,54.523799217925,0.005,-1.51038e-10,0.001,9.85755919999792
-0.31,-2.14995e-11,-1.71733e-12,-0.01,1.39253e-06,54.5229040144598,0.005,-1.49608e-10,0.001,10.9235162000114
-0.3,-2.00962e-11,-1.261e-12,0.0,1.39493e-06,54.5765780214654,0.005,-1.49727e-10,0.001,11.9660242999962
-0.29,-1.87968e-11,-8.57472e-13,0.01,1.39525e-06,54.5837286923007,0.005,-1.52707e-10,0.001,12.9930176000053
-0.28,-1.76344e-11,-1.71185e-13,0.02,1.39485e-06,54.5747901384115,0.005,-1.5223e-10,0.001,14.0345474999922
-0.27,-1.64713e-11,5.81622e-13,0.03,1.39681e-06,54.6185684934099,0.005,-1.57237e-10,0.001,15.2535517000069
-0.26,-1.55011e-11,1.25194e-12,0.04,1.39488e-06,54.5754606046526,0.005,-1.56879e-10,0.001,16.4894339999883
-0.25,-1.45025e-11,1.82295e-12,0.05,1.39333e-06,54.5408039801845,0.005,-1.54972e-10,0.001,17.7180971000053
-0.24,-1.36079e-11,2.18523e-12,0.06,1.394e-06,54.5557885583097,0.005,-1.57595e-10,0.001,18.7630093999906
-0.23,-1.26431e-11,2.76589e-12,0.07,1.39463e-06,54.5698730157413,0.005,-1.60575e-10,0.001,19.7961120000109
-0.22,-1.17719e-11,3.51071e-12,0.08,1.39518e-06,54.5821646008051,0.005,-1.56999e-10,0.001,20.8417581999965
-0.21,-1.0951e-11,4.12858e-12,0.09,1.3961e-06,54.6027159728984,0.005,-1.53303e-10,0.001,21.8755311999994
-0.2,-1.0139e-11,4.7878e-12,0.1,1.39579e-06,54.5957923254436,0.005,-1.5378e-10,0.001,22.922882999992
-0.19,-9.39357e-12,5.35619e-12,0.11,1.3964e-06,54.6094150471632,0.005,-1.59144e-10,0.001,23.9600090000022
-0.18,-8.71336e-12,5.89621e-12,0.12,1.3973e-06,54.6295050174344,0.005,-1.60217e-10,0.001,25.0038491000014
-0.17,-7.9782e-12,6.71375e-12,0.13,1.39704e-06,54.6237023652048,0.005,-1.57356e-10,0.001,26.0367441999842
-0.16,-7.3154e-12,6.99127e-12,0.14,1.39746e-06,54.6330754294771,0.005,-1.6284e-10,0.001,27.0781446000037
-0.15,-6.60086e-12,7.77566e-12,0.15,1.39955e-06,54.6796824211773,0.005,-1.68204e-10,0.001,28.1121272000019
-0.14,-5.88763e-12,8.30007e-12,0.16,1.40008e-06,54.6914921242929,0.005,-1.70231e-10,0.001,29.1566138000053
-0.13,-5.28669e-12,8.90088e-12,0.17,1.40042e-06,54.6990661828712,0.005,-1.69992e-10,0.001,30.3792203000048
-0.12,-4.75514e-12,9.41992e-12,0.18,1.3996e-06,54.6807967046078,0.005,-1.67251e-10,0.001,31.4113190000062
-0.11,-4.107e-12,9.87148e-12,0.19,1.39911e-06,54.6698752845905,0.005,-1.65343e-10,0.001,32.6438445000094
-0.1,-3.58307e-12,1.04346e-11,0.2,1.39798e-06,54.6446768971805,0.005,-1.7035e-10,0.001,33.6883954000077
-0.09,-2.93159e-12,1.10204e-11,0.21,1.3981e-06,54.647353644078,0.005,-1.6737e-10,0.001,34.7202833000047
-0.08,-2.37834e-12,1.17962e-11,0.22,1.39869e-06,54.6605115094784,0.005,-1.70231e-10,0.001,35.766109499993
-0.07,-1.76895e-12,1.2429e-11,0.23,1.39789e-06,54.6426692103227,0.005,-1.70469e-10,0.001,36.7991366999922
-0.06,-1.18864e-12,1.27945e-11,0.24,1.39823e-06,54.6502532354058,0.005,-1.61409e-10,0.001,37.8449599999876
-0.05,-6.84023e-13,1.33963e-11,0.25,1.39806e-06,54.6464614165598,0.005,-1.6892e-10,0.001,38.8732169999857
-0.04,-9.32217e-14,1.41637e-11,0.26,1.39714e-06,54.6259342618886,0.005,-1.69516e-10,0.001,39.917331500008
-0.03,4.29869e-13,1.45843e-11,0.27,1.3965e-06,54.6116478032108,0.005,-1.75953e-10,0.001,40.9507531000127
-0.02,1.00613e-12,1.51851e-11,0.28,1.39638e-06,54.6089684798333,0.005,-1.71661e-10,0.001,41.9985069000104
-0.01,1.48451e-12,1.57046e-11,0.29,1.39604e-06,54.6013760129137,0.005,-1.73211e-10,0.001,43.0314877000055
2.77556e-17,1.80674e-12,1.62413e-11,0.3,1.3974e-06,54.6317365652107,0.005,-1.68562e-10,0.001,44.0755799000035
0.01,2.36082e-12,1.67853e-11,0.31,1.39729e-06,54.6292818552771,0.005,-1.72734e-10,0.001,45.1101797999872
0.02,2.88391e-12,1.74489e-11,0.32,1.39711e-06,54.6252647069763,0.005,-1.76311e-10,0.001,46.3532799000095
0.03,3.23594e-12,1.79064e-11,0.33,1.39686e-06,54.6196846129091,0.005,-1.73569e-10,0.001,47.3821684999857
0.04,3.83377e-12,1.8581e-11,0.34,1.39717e-06,54.6266038047221,0.005,-1.77264e-10,0.001,48.6277330000012
0.05,4.23086e-12,1.91658e-11,0.35,1.39847e-06,54.6556057320902,0.005,-1.78456e-10,0.001,49.6596455000108
0.06,4.73762e-12,1.97512e-11,0.36,1.39975e-06,54.6841393542509,0.005,-1.66059e-10,0.001,50.7072993000038
0.07,5.36728e-12,2.04612e-11,0.37,1.40045e-06,54.6997344079851,0.005,-1.72853e-10,0.001,51.7412935000029
0.08,5.8043e-12,2.09157e-11,0.38,1.40092e-06,54.7102016983689,0.005,-1.80125e-10,0.001,52.791432900005
0.09,6.34062e-12,2.14154e-11,0.39,1.40035e-06,54.6975069441689,0.005,-1.73092e-10,0.001,53.8255284999905
0.1,6.79576e-12,2.19361e-11,0.4,1.4001e-06,54.6919376999232,0.005,-1.72973e-10,0.001,54.8754731999943
0.11,7.35271e-12,2.26402e-11,0.41,1.39998e-06,54.6892641659272,0.005,-1.77383e-10,0.001,55.9029865000048
0.12,7.77531e-12,2.3258e-11,0.42,1.40126e-06,54.7177719418632,0.005,-1.81556e-10,0.001,56.947064899985
0.13,8.27813e-12,2.36875e-11,0.43,1.40042e-06,54.6990661828712,0.005,-1.78337e-10,0.001,57.9819359999965
0.14,8.69989e-12,2.45495e-11,0.44,1.40147e-06,54.7224469096192,0.005,-1.72257e-10,0.001,59.0263012000069
0.15,9.25684e-12,2.49735e-11,0.45,1.40101e-06,54.7122057365533,0.005,-1.75714e-10,0.001,60.0579716000066
0.16,9.58228e-12,2.5551e-11,0.46,1.40184e-06,54.7306823258643,0.005,-1.76668e-10,0.001,61.1034470000013
0.17,1.00887e-11,2.61015e-11,0.47,1.40208e-06,54.7360232411276,0.005,-1.73926e-10,0.001,62.3271438000083
0.18,1.02721e-11,2.68581e-11,0.48,1.40207e-06,54.7358007183265,0.005,-1.7488e-10,0.001,63.3687492999888
0.19,1.07397e-11,2.72456e-11,0.49,1.40201e-06,54.7344655535191,0.005,-1.77145e-10,0.001,64.6008462999889
0.2,1.09698e-11,2.77832e-11,0.5,1.40037e-06,54.6979524476227,0.005,-1.76549e-10,0.001,65.6405690000101
0.21,1.14362e-11,2.82947e-11,0.51,1.40021e-06,54.6943882703105,0.005,-1.79887e-10,0.001,66.6752264999959
0.22,1.18412e-11,2.88653e-11,0.52,1.40116e-06,54.7155455598624,0.005,-1.82509e-10,0.001,67.7194163000095
0.23,1.21917e-11,2.94855e-11,0.53,1.40192e-06,54.7324627162994,0.005,-1.84894e-10,0.001,68.7593436999887
0.24,1.26693e-11,3.00267e-11,0.54,1.40256e-06,54.7467027679265,0.005,-1.85728e-10,0.001,69.8027123000065
0.25,1.29613e-11,3.07192e-11,0.55,1.40214e-06,54.7373583499354,0.005,-1.81079e-10,0.001,70.8363189999945
0.26,1.34132e-11,3.12032e-11,0.56,1.40234e-06,54.7418083660144,0.005,-1.8537e-10,0.001,71.8814254000026
0.27,1.38437e-11,3.20662e-11,0.57,1.40286e-06,54.7533759130629,0.005,-1.81437e-10,0.001,72.9151882999868
0.28,1.42756e-11,3.24931e-11,0.58,1.40245e-06,54.7442556475966,0.005,-1.77622e-10,0.001,73.9605842999881
0.29,1.46527e-11,3.29454e-11,0.59,1.40223e-06,54.7393609231564,0.005,-1.90139e-10,0.001,74.992709299986
0.3,1.50534e-11,3.363e-11,0.6,1.40321e-06,54.7611597340078,0.005,-1.88708e-10,0.001,76.0370052999933
0.31,1.54222e-11,3.41109e-11,0.61,1.40363e-06,54.7704981664606,0.005,-1.80364e-10,0.001,77.0710182999901
0.32,1.59078e-11,3.48957e-11,0.62,1.40308e-06,54.7582687909333,0.005,-1.8084e-10,0.001,78.3089020999905
0.33,1.61234e-11,3.52253e-11,0.63,1.40259e-06,54.7473701363973,0.005,-1.84536e-10,0.001,79.3434656999889
0.34,1.65786e-11,3.5889e-11,0.64,1.40417e-06,54.7825012737872,0.005,-1.79648e-10,0.001,80.5893808999972
0.35,1.68859e-11,3.65039e-11,0.65,1.40493e-06,54.799387968214,0.005,-1.83225e-10,0.001,81.6287590999855
0.36,1.73429e-11,3.71557e-11,0.66,1.40284e-06,54.7529310740201,0.005,-1.89304e-10,0.001,82.6752534999978
0.37,1.77685e-11,3.76205e-11,0.67,1.40374e-06,54.7729435584713,0.005,-1.89543e-10,0.001,83.7098003999854
0.38,1.82345e-11,3.82123e-11,0.68,1.40528e-06,54.8071621547076,0.005,-1.88231e-10,0.001,84.7602123999968
0.39,1.86771e-11,3.88422e-11,0.69,1.4055e-06,54.8120479537156,0.005,-1.88947e-10,0.001,85.7927924999967
0.4,1.91184e-11,3.92789e-11,0.7,1.40478e-06,54.7960556759365,0.005,-1.83821e-10,0.001,86.8433216999983
0.41,1.96599e-11,4.01382e-11,0.71,1.40456e-06,54.79116777319,0.005,-1.95622e-10,0.001,87.8755249000096
0.42,1.99974e-11,4.05861e-11,0.72,1.40613e-06,54.826035552238,0.005,-1.9145e-10,0.001,88.9282892000047
0.43,2.03216e-11,4.11191e-11,0.73,1.40562e-06,54.8147126642132,0.005,-1.88947e-10,0.001,89.9581699999981
0.44,2.08881e-11,4.17639e-11,0.74,1.40502e-06,54.8013872001211,0.005,-1.92761e-10,0.001,91.0039145000046
0.45,2.13286e-11,4.23604e-11,0.75,1.40399e-06,54.7785006689488,0.005,-1.9002e-10,0.001,92.0394022999972
0.46,2.17838e-11,4.28814e-11,0.76,1.4044e-06,54.7876125308405,0.005,-1.93119e-10,0.001,93.0869315000018
0.47,2.22889e-11,4.34278e-11,0.77,1.40371e-06,54.7722766493431,0.005,-1.87755e-10,0.001,94.3088062999886
0.48,2.24563e-11,4.41463e-11,0.78,1.40404e-06,54.7796119912894,0.005,-1.87516e-10,0.001,95.3563530000101
0.49,2.29268e-11,4.45309e-11,0.79,1.40445e-06,54.788723580625,0.005,-1.93477e-10,0.001,96.5874523000093
0.5,2.31405e-11,4.52131e-11,0.8,1.4037e-06,54.7720543436395,0.005,-1.99199e-10,0.001,97.6304941999842
0.51,2.38185e-11,4.55891e-11,0.81,1.40292e-06,54.7547103982255,0.005,-1.96338e-10,0.001,98.6632756000035
0.52,2.40732e-11,4.62067e-11,0.82,1.40441e-06,54.7878347434558,0.005,-1.98483e-10,0.001,99.7071840999997
