keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,keithley2_smua_curr,keithley2_smua_temperature,keithley2_smua_volt,keithley2_smub_curr,keithley2_smub_volt,time
-0.45,-3.16608e-11,-1.33646e-11,-0.05,1.17037e-06,49.1804006014119,0.005,2.03669e-08,0.001,1.70788199990056
-0.44,-2.99561e-11,-1.25968e-11,-0.04,1.17084e-06,49.1925740878393,0.005,2.05855e-08,0.001,2.75022339995485
-0.43,-2.83778e-11,-1.17087e-11,-0.03,1.16994e-06,49.1692595461781,0.005,2.03916e-08,0.001,3.7832431999268
-0.42,-2.67756e-11,-1.11127e-11,-0.02,1.16905e-06,49.1461891830308,0.005,2.06347e-08,0.001,4.81263629999012
-0.41,-2.55048e-11,-1.02532e-11,-0.01,1.16963e-06,49.1612254812619,0.005,2.06379e-08,0.001,5.849419199978
-0.4,-2.44737e-11,-9.74536e-12,0.0,1.16921e-06,49.1503377553433,0.005,2.04211e-08,0.001,6.88042499998119
-0.39,-2.32553e-11,-9.17911e-12,0.01,1.1682e-06,49.1241418639884,0.005,1.99925e-08,0.001,7.913108299952
-0.38,-2.2347e-11,-8.52823e-12,0.02,1.16867e-06,49.1363344052512,0.005,2.02476e-08,0.001,8.94531459989958
-0.37,-2.12801e-11,-7.82728e-12,0.03,1.16864e-06,49.1355562814444,0.005,2.03632e-08,0.001,9.98175679997075
-0.36,-2.02739e-11,-7.24196e-12,0.04,1.17009e-06,49.1731463527554,0.005,2.03484e-08,0.001,11.0132586999098
-0.35,-1.94144e-11,-6.634e-12,0.05,1.16967e-06,49.1622622356514,0.005,2.04455e-08,0.001,12.0559191999491
-0.34,-1.87159e-11,-6.08802e-12,0.06,1.17004e-06,49.1718507972332,0.005,2.09129e-08,0.001,13.0868215999799
-0.33,-1.80054e-11,-5.59688e-12,0.07,1.17e-06,49.1708143192138,0.005,2.06156e-08,0.001,14.1318824999034
-0.32,-1.72448e-11,-5.1403e-12,0.08,1.16868e-06,49.1365937761119,0.005,2.02984e-08,0.001,15.3551379999844
-0.31,-1.65355e-11,-4.35591e-12,0.09,1.17058e-06,49.1858403279257,0.005,2.02786e-08,0.001,16.5983092999086
-0.3,-1.57559e-11,-3.9649e-12,0.1,1.17041e-06,49.1814368032235,0.005,2.04633e-08,0.001,17.8281767999288
-0.29,-1.51217e-11,-3.55959e-12,0.11,1.17021e-06,49.1762554956218,0.005,2.00309e-08,0.001,18.8810861998936
-0.28,-1.47116e-11,-2.97427e-12,0.12,1.16923e-06,49.1508562932339,0.005,2.01494e-08,0.001,19.9192680999404
-0.27,-1.40977e-11,-2.36273e-12,0.13,1.17002e-06,49.1713325619571,0.005,2.00875e-08,0.001,20.9622012999607
-0.26,-1.34897e-11,-1.74403e-12,0.14,1.16966e-06,49.1620030498559,0.005,2.03472e-08,0.001,21.9928908000002
-0.25,-1.28949e-11,-1.31488e-12,0.15,1.16887e-06,49.1415214670446,0.005,2.02091e-08,0.001,23.0293023999548
-0.24,-1.24037e-11,-7.95126e-13,0.16,1.17054e-06,49.1848042529658,0.005,2.00704e-08,0.001,24.0681423998903
-0.23,-1.1853e-11,-8.70228e-14,0.17,1.17161e-06,49.2125089855948,0.005,2.03745e-08,0.001,25.105886299978
-0.22,-1.14739e-11,2.83718e-13,0.18,1.17103e-06,49.1974941153377,0.005,2.05989e-08,0.001,26.136883799918
-0.21,-1.08874e-11,8.79765e-13,0.19,1.17116e-06,49.2008600622547,0.005,2.03737e-08,0.001,27.1700048999628
-0.2,-1.04249e-11,1.3721e-12,0.2,1.17046e-06,49.1827320135109,0.005,2.04604e-08,0.001,28.2005415998865
-0.19,-1.00338e-11,1.78456e-12,0.21,1.17019e-06,49.175737323808,0.005,2.05162e-08,0.001,29.246194099891
-0.18,-9.62615e-12,2.44737e-12,0.22,1.17079e-06,49.191279231906,0.005,2.04133e-08,0.001,30.4707257999107
-0.17,-9.23634e-12,2.99931e-12,0.23,1.17087e-06,49.1933509790264,0.005,2.01876e-08,0.001,31.5222025999101
-0.16,-8.84891e-12,3.38674e-12,0.24,1.17089e-06,49.193868897163,0.005,2.0552e-08,0.001,32.7632576999022
-0.15,-8.25167e-12,3.94583e-12,0.25,1.17105e-06,49.1980119738253,0.005,2.06028e-08,0.001,33.8185137999244
-0.14,-8.03947e-12,4.59671e-12,0.26,1.17193e-06,49.2207903701436,0.005,2.01061e-08,0.001,34.851455799886
-0.13,-7.61867e-12,4.93407e-12,0.27,1.17005e-06,49.1721099120709,0.005,2.03785e-08,0.001,35.8983280999819
-0.12,-7.2968e-12,5.47051e-12,0.28,1.16899e-06,49.1446333450199,0.005,2.02239e-08,0.001,36.9279758998891
-0.11,-6.80327e-12,5.85437e-12,0.29,1.16958e-06,49.1599294962453,0.005,2.02378e-08,0.001,37.9762035999447
-0.1,-6.43492e-12,6.48379e-12,0.3,1.1687e-06,49.1371125122207,0.005,1.99331e-08,0.001,39.0036810999736
-0.09,-6.10352e-12,7.21455e-12,0.31,1.16826e-06,49.1256985888377,0.005,2.0063e-08,0.001,40.0390322998865
-0.08,-5.80788e-12,7.58052e-12,0.32,1.16849e-06,49.1316654098192,0.005,1.98852e-08,0.001,41.0701629999094
-0.07,-5.41925e-12,8.01086e-12,0.33,1.16888e-06,49.1417808004948,0.005,2.03141e-08,0.001,42.1083676998969
-0.06,-5.09381e-12,8.58665e-12,0.34,1.16911e-06,49.1477449537325,0.005,2.01479e-08,0.001,43.1356865999987
-0.05,-4.75287e-12,9.00865e-12,0.35,1.17e-06,49.1708143192138,0.005,2.0156e-08,0.001,44.1754948999733
-0.04,-4.24027e-12,9.52601e-12,0.36,1.17033e-06,49.1793643697477,0.005,2.02841e-08,0.001,45.2060246999608
-0.03,-3.97563e-12,1.00446e-11,0.37,1.17006e-06,49.1723690250421,0.005,2.0316e-08,0.001,46.431596999988
-0.02,-3.68834e-12,1.04463e-11,0.38,1.16999e-06,49.1705551950419,0.005,1.98227e-08,0.001,47.4680788998958
-0.01,-3.3462e-12,1.08778e-11,0.39,1.17014e-06,49.1744418616124,0.005,1.99177e-08,0.001,48.7097175999079
0.0,-2.98381e-12,1.14882e-11,0.4,1.17069e-06,49.1886893801959,0.005,2.00559e-08,0.001,49.7398821999086
0.01,-2.45929e-12,1.19495e-11,0.41,1.16906e-06,49.1464484828218,0.005,1.97937e-08,0.001,50.7728511999594
0.02,-2.34842e-12,1.26147e-11,0.42,1.16952e-06,49.1583742525769,0.005,1.97315e-08,0.001,51.803352399962
0.03,-1.89781e-12,1.28746e-11,0.43,1.1702e-06,49.1759964106481,0.005,1.97583e-08,0.001,52.8380968999118
0.04,-1.57833e-12,1.35076e-11,0.44,1.17048e-06,49.1832500845671,0.005,2.03059e-08,0.001,53.8717585999984
0.05,-1.1611e-12,1.40607e-11,0.45,1.17038e-06,49.1806596546634,0.005,2.02236e-08,0.001,54.9157149998937
0.06,-9.90629e-13,1.45793e-11,0.46,1.16941e-06,49.1555227978273,0.005,2.03472e-08,0.001,55.9477499999339
0.07,-5.48363e-13,1.51622e-11,0.47,1.16988e-06,49.1677047059283,0.005,2.00597e-08,0.001,56.9917230999563
0.08,-2.28882e-13,1.53744e-11,0.48,1.17029e-06,49.1783281082293,0.005,1.98158e-08,0.001,58.0244666999206
0.09,3.8147e-14,1.59609e-11,0.49,1.17029e-06,49.1783281082293,0.005,1.95758e-08,0.001,59.0713404999115
0.1,4.26769e-13,1.66464e-11,0.5,1.17073e-06,49.1897253432563,0.005,1.98092e-08,0.001,60.1012676999671
