keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,keithley2_smua_curr,keithley2_smua_temperature,keithley2_smua_volt,keithley2_smub_curr,keithley2_smub_volt,time
-0.45,-5.4965e-11,2.73824e-12,-0.05,1.11767e-06,47.7885280231756,0.005,1.70841e-08,0.001,1.57604090007953
-0.44,-5.13422e-11,3.65734e-12,-0.04,1.11778e-06,47.7914903915631,0.005,1.69827e-08,0.001,2.61152320005931
-0.43,-4.80747e-11,4.17709e-12,-0.03,1.11885e-06,47.8202933325396,0.005,1.77075e-08,0.001,3.66302670002915
-0.42,-4.49741e-11,4.32253e-12,-0.02,1.11979e-06,47.8455776826733,0.005,1.7634e-08,0.001,4.69922660000157
-0.41,-4.26793e-11,5.18799e-12,-0.01,1.12026e-06,47.8582131438378,0.005,1.76507e-08,0.001,5.73690960009117
-0.4,-4.06229e-11,5.66721e-12,0.0,1.12151e-06,47.8917963438805,0.005,1.76202e-08,0.001,6.76752790005412
-0.39,-3.83568e-11,5.70059e-12,0.01,1.12193e-06,47.9030732119833,0.005,1.74288e-08,0.001,7.80711450008675
-0.38,-3.66974e-11,6.07371e-12,0.02,1.1224e-06,47.9156883427842,0.005,1.76573e-08,0.001,8.85014960006811
-0.37,-3.52013e-11,6.95467e-12,0.03,1.12326e-06,47.9387598156964,0.005,1.78522e-08,0.001,9.8808506000787
-0.36,-3.39651e-11,7.2217e-12,0.04,1.12415e-06,47.9626204231627,0.005,1.77665e-08,0.001,10.9278059001081
-0.35,-3.24953e-11,7.52211e-12,0.05,1.12481e-06,47.9803045181604,0.005,1.82687e-08,0.001,11.9623971000547
-0.34,-3.16834e-11,8.45909e-12,0.06,1.12625e-06,48.018857636637,0.005,1.82036e-08,0.001,13.000339500024
-0.33,-3.06821e-11,8.96811e-12,0.07,1.12646e-06,48.0244764919195,0.005,1.79964e-08,0.001,14.0427877000766
-0.32,-2.97034e-11,9.42469e-12,0.08,1.12637e-06,48.0220685192871,0.005,1.75115e-08,0.001,15.2644992000423
-0.31,-2.85399e-11,9.29356e-12,0.09,1.12753e-06,48.0530921844423,0.005,1.78301e-08,0.001,16.5104476000415
-0.3,-2.74539e-11,9.39965e-12,0.1,1.12727e-06,48.0461409460202,0.005,1.768e-08,0.001,17.5419702000218
-0.29,-2.65145e-11,9.36151e-12,0.11,1.1279e-06,48.0629820006995,0.005,1.76948e-08,0.001,18.5937942001037
-0.28,-2.59447e-11,1.01113e-11,0.12,1.12958e-06,48.1078527200905,0.005,1.75939e-08,0.001,19.632446100004
-0.27,-2.46191e-11,1.00636e-11,0.13,1.13005e-06,48.1203957609916,0.005,1.75728e-08,0.001,20.6683628000319
