keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,keithley2_smua_curr,keithley2_smua_temperature,keithley2_smua_volt,keithley2_smub_curr,keithley2_smub_volt,time
-0.3,-1.48654e-12,-4.29869e-12,-0.2,5.72201e-07,28.6340813585054,0.005,-1.72138e-10,0.001,1.61029420001432
-0.29,-1.50919e-12,-3.9506e-12,-0.19,5.72193e-07,28.6337010965058,0.005,-1.78814e-10,0.001,2.6388248000294
-0.28,-1.37448e-12,-3.86e-12,-0.18,5.72122e-07,28.6303260724615,0.005,-1.74165e-10,0.001,3.67305009998381
-0.27,-1.25885e-12,-3.62515e-12,-0.17,5.72269e-07,28.6373134023631,0.005,-1.7333e-10,0.001,4.70177919999696
-0.26,-1.32561e-12,-3.28183e-12,-0.16,5.72177e-07,28.6329405588975,0.005,-1.74999e-10,0.001,5.73259720008355
-0.25,-1.17421e-12,-3.02911e-12,-0.15,5.7247e-07,28.6468650282981,0.005,-1.75238e-10,0.001,6.75968410004862
-0.24,-9.50098e-13,-2.94328e-12,-0.14,5.72811e-07,28.6630629847941,0.005,-1.69277e-10,0.001,7.79311590001453
-0.23,-1.2362e-12,-2.54512e-12,-0.13,5.72695e-07,28.6575537530911,0.005,-1.76907e-10,0.001,8.82256520004012
-0.22,-1.04427e-12,-2.50816e-12,-0.12,5.72308e-07,28.6391669267152,0.005,-1.76311e-10,0.001,9.86485460004769
-0.21,-9.29832e-13,-2.21848e-12,-0.11,5.72581e-07,28.6521385804214,0.005,-1.78576e-10,0.001,10.8913561999798
-0.2,-1.07408e-12,-1.89781e-12,-0.1,5.72172e-07,28.6327028871735,0.005,-1.77383e-10,0.001,11.9222175000468
-0.19,-8.76188e-13,-1.60694e-12,-0.09,5.7178e-07,28.6140639059518,0.005,-1.73569e-10,0.001,12.9488676000619
-0.18,-9.26256e-13,-1.67727e-12,-0.08,5.71783e-07,28.6142065926131,0.005,-1.70827e-10,0.001,13.9833112000488
-0.17,-8.41618e-13,-1.47104e-12,-0.07,5.71874e-07,28.6185344511389,0.005,-1.73807e-10,0.001,15.2011651999783
-0.16,-7.60555e-13,-1.35183e-12,-0.06,5.72273e-07,28.637503512385,0.005,-1.66893e-10,0.001,16.4310714000603
-0.15,-6.96182e-13,-1.10984e-12,-0.05,5.71908e-07,28.6201513024379,0.005,-1.72377e-10,0.001,17.6492278000806
-0.14,-5.62668e-13,-1.10507e-12,-0.04,5.7219e-07,28.6335584970864,0.005,-1.66416e-10,0.001,18.6786333000055
-0.13,-4.3273e-13,-1.12295e-12,-0.03,5.72646e-07,28.6552262915859,0.005,-1.67608e-10,0.001,19.7095142999897
-0.12,-2.45571e-13,-8.04663e-13,-0.02,5.72748e-07,28.6600710201784,0.005,-1.64509e-10,0.001,20.7475143000484
-0.11,-1.85966e-13,-5.3525e-13,-0.01,5.72661e-07,28.6559387978484,0.005,-1.63198e-10,0.001,21.776239000028
-0.1,-3.14713e-13,-4.70877e-13,1.38778e-17,5.72579e-07,28.6520435691813,0.005,-1.69277e-10,0.001,22.8067543000216
-0.09,-5.84126e-14,5.84126e-14,0.01,5.72829e-07,28.6639177802568,0.005,-1.69396e-10,0.001,23.8357360999798
-0.08,-1.78814e-14,-2.55108e-13,0.02,5.72586e-07,28.6523761072826,0.005,-1.69277e-10,0.001,24.8771232999861
-0.07,-1.38283e-13,3.45707e-14,0.03,5.72256e-07,28.6366955369612,0.005,-1.69396e-10,0.001,25.912104899995
-0.06,1.39475e-13,1.72853e-13,0.04,5.72271e-07,28.6374084575157,0.005,-1.68324e-10,0.001,26.9593616999919
-0.05,1.0252e-13,2.45571e-13,0.05,5.72494e-07,28.6480053297057,0.005,-1.72973e-10,0.001,27.9942598000634
-0.04,2.00272e-13,5.23329e-13,0.06,5.72598e-07,28.6529461645291,0.005,-1.77741e-10,0.001,29.0465434000362
-0.03,1.09673e-13,7.45058e-13,0.07,5.72146e-07,28.6314669656414,0.005,-1.71661e-10,0.001,30.2691736000124
-0.02,4.92334e-13,7.35521e-13,0.08,5.72873e-07,28.666007183799,0.005,-1.7488e-10,0.001,31.3144535999745
-0.01,5.72205e-13,8.13007e-13,0.09,5.72866e-07,28.6656747878492,0.005,-1.66774e-10,0.001,32.5467816999881
-1.38778e-17,5.45979e-13,1.1909e-12,0.1,5.72759e-07,28.6605934469321,0.005,-1.74284e-10,0.001,33.5804252000526
0.01,7.60555e-13,1.23024e-12,0.11,5.72809e-07,28.6629680061057,0.005,-1.72734e-10,0.001,34.6100641000085
0.02,8.98838e-13,1.1456e-12,0.12,5.7282e-07,28.6634903853902,0.005,-1.75357e-10,0.001,35.646245000069
0.03,7.08103e-13,1.39832e-12,0.13,5.72852e-07,28.665009985553,0.005,-1.72257e-10,0.001,36.6864039000357
0.04,7.93934e-13,1.64032e-12,0.14,5.7255e-07,28.6506658743793,0.005,-1.81794e-10,0.001,37.7214962000726
0.05,9.59635e-13,1.72496e-12,0.15,5.73006e-07,28.6723220485006,0.005,-1.82152e-10,0.001,38.7515831000637
0.06,1.12057e-12,1.88112e-12,0.16,5.73015e-07,28.6727493249933,0.005,-1.80602e-10,0.001,39.7915346000809
0.07,1.2207e-12,1.9145e-12,0.17,5.73246e-07,28.6837141292369,0.005,-1.74761e-10,0.001,40.8237711000256
0.08,1.36495e-12,2.01106e-12,0.18,5.7246e-07,28.646389890673,0.005,-1.719e-10,0.001,41.8739830000559
0.09,1.16467e-12,2.43306e-12,0.19,5.72374e-07,28.6423034147327,0.005,-1.71423e-10,0.001,42.9057402000763
0.1,1.33634e-12,2.33531e-12,0.2,5.72678e-07,28.6567462856958,0.005,-1.72138e-10,0.001,43.9359407000011
0.11,1.60813e-12,2.74539e-12,0.21,5.72492e-07,28.6479103061463,0.005,-1.68324e-10,0.001,44.9704430000857
0.12,1.57118e-12,2.81692e-12,0.22,5.72972e-07,28.6707078411833,0.005,-1.76668e-10,0.001,46.1992670000764
0.13,1.72138e-12,2.79784e-12,0.23,5.73478e-07,28.6947226063756,0.005,-1.75238e-10,0.001,47.2288878000109
0.14,1.68204e-12,2.89917e-12,0.24,5.73485e-07,28.6950546996451,0.005,-1.74522e-10,0.001,48.456288699992
0.15,1.65343e-12,2.93851e-12,0.25,5.73187e-07,28.6809139533469,0.005,-1.70708e-10,0.001,49.4827143000439
0.16,1.77145e-12,3.16143e-12,0.26,5.73207e-07,28.6818631930645,0.005,-1.69635e-10,0.001,50.522286600084
0.17,1.8847e-12,3.26872e-12,0.27,5.73263e-07,28.6845209139442,0.005,-1.65701e-10,0.001,51.5495965000009
0.18,1.70231e-12,3.45469e-12,0.28,5.73466e-07,28.6941532955813,0.005,-1.72615e-10,0.001,52.5864132000133
0.19,2.05994e-12,3.56078e-12,0.29,5.73773e-07,28.7087149681653,0.005,-1.6892e-10,0.001,53.613267900073
0.2,2.06232e-12,3.60489e-12,0.3,5.73411e-07,28.6915438243783,0.005,-1.71423e-10,0.001,54.6512254000409
0.21,2.01583e-12,3.80754e-12,0.31,5.72935e-07,28.6689511109432,0.005,-1.76907e-10,0.001,55.6781566999853
0.22,2.22921e-12,3.9959e-12,0.32,5.72565e-07,28.6513784825725,0.005,-1.72138e-10,0.001,56.7085520999972
0.23,2.10285e-12,4.07696e-12,0.33,5.72877e-07,28.6661971227858,0.005,-1.73569e-10,0.001,57.7365547000663
0.24,2.45094e-12,4.34637e-12,0.34,5.7309e-07,28.6763097397738,0.005,-1.78933e-10,0.001,58.765764300013
0.25,2.36392e-12,4.24623e-12,0.35,5.73275e-07,28.6850903967415,0.005,-1.78576e-10,0.001,59.7943723000353
0.26,2.50578e-12,4.49657e-12,0.36,5.73026e-07,28.6732715440419,0.005,-1.7786e-10,0.001,60.8324377000099
0.27,2.57254e-12,4.55379e-12,0.37,5.73044e-07,28.6741260658538,0.005,-1.76549e-10,0.001,61.8650036000181
0.28,2.6536e-12,4.82678e-12,0.38,5.73324e-07,28.6874156792769,0.005,-1.72257e-10,0.001,63.0978956000181
0.29,2.50459e-12,4.92096e-12,0.39,5.73212e-07,28.6821004985784,0.005,-1.76191e-10,0.001,64.3221981000388
0.3,2.83122e-12,4.83155e-12,0.4,5.7235e-07,28.6411629093416,0.005,-1.77145e-10,0.001,65.5499957000138
0.31,2.81692e-12,5.13792e-12,0.41,5.72927e-07,28.6685712646505,0.005,-1.78337e-10,0.001,66.5823615000118
0.32,2.84195e-12,5.07355e-12,0.42,5.7313e-07,28.6782084651018,0.005,-1.83225e-10,0.001,67.6130174000282
0.33,2.93732e-12,5.0652e-12,0.43,5.73359e-07,28.6890764915614,0.005,-1.86801e-10,0.001,68.6430946000619
0.34,2.99811e-12,5.38945e-12,0.44,5.73392e-07,28.6906423210606,0.005,-1.8537e-10,0.001,69.690080099972
0.35,3.0458e-12,5.62787e-12,0.45,5.73707e-07,28.705585006763,0.005,-1.85251e-10,0.001,70.7193171000108
0.36,3.11136e-12,5.54562e-12,0.46,5.73244e-07,28.6836192120469,0.005,-1.85013e-10,0.001,71.7496479999973
0.37,3.24965e-12,5.86867e-12,0.47,5.7356e-07,28.6986126247936,0.005,-1.8394e-10,0.001,72.7809444000013
0.38,3.14713e-12,5.83649e-12,0.48,5.73274e-07,28.6850429402302,0.005,-1.85609e-10,0.001,73.8185440000379
0.39,3.26991e-12,6.09159e-12,0.49,5.73349e-07,28.6886019825926,0.005,-1.87397e-10,0.001,74.850352199981
0.4,3.27826e-12,6.22273e-12,0.5,5.73834e-07,28.7116075381335,0.005,-1.83105e-10,0.001,75.9057653000345
0.41,3.57151e-12,6.26206e-12,0.51,5.74021e-07,28.7204732901765,0.005,-1.79529e-10,0.001,76.94555579999
0.42,3.51429e-12,6.36935e-12,0.52,5.74292e-07,28.73331714684,0.005,-1.81198e-10,0.001,78.1736031000037
0.43,3.64304e-12,6.45399e-12,0.53,5.73998e-07,28.7193829830022,0.005,-1.80721e-10,0.001,79.2061688000103
0.44,3.59654e-12,6.71506e-12,0.54,5.73915e-07,28.7154480862487,0.005,-1.78695e-10,0.001,80.4433182000648
0.45,3.89457e-12,6.76155e-12,0.55,5.73646e-07,28.7026918904471,0.005,-1.82509e-10,0.001,81.6663056000834
0.46,4.01616e-12,6.91295e-12,0.56,5.73812e-07,28.7105643464259,0.005,-1.81079e-10,0.001,82.7123277999926
0.47,4.06265e-12,6.95467e-12,0.57,5.72787e-07,28.6619232218584,0.005,-1.80602e-10,0.001,83.7432702999795
0.48,4.01258e-12,7.1311e-12,0.58,5.73193e-07,28.6811987282295,0.005,-1.78456e-10,0.001,84.7927304999903
0.49,4.20451e-12,7.20978e-12,0.59,5.73724e-07,28.706391238316,0.005,-1.83702e-10,0.001,85.8260685000569
0.5,4.31538e-12,7.27057e-12,0.6,5.73652e-07,28.7029764709042,0.005,-1.8084e-10,0.001,86.8661255000625
0.51,4.28081e-12,7.40528e-12,0.61,5.74052e-07,28.7219427756551,0.005,-1.85132e-10,0.001,87.8964341999963
0.52,4.45127e-12,7.48158e-12,0.62,5.73848e-07,28.7122713696353,0.005,-1.84536e-10,0.001,88.9405994000845
0.53,4.51446e-12,7.62939e-12,0.63,5.73674e-07,28.704019910853,0.005,-1.79291e-10,0.001,89.9720509999897
0.54,4.73499e-12,7.77006e-12,0.64,5.74019e-07,28.7203784823367,0.005,-1.84655e-10,0.001,91.0223461000714
0.55,4.6587e-12,8.06808e-12,0.65,5.74539e-07,28.7450190365493,0.005,-1.80364e-10,0.001,92.0515267000301
0.56,4.7195e-12,8.14915e-12,0.66,5.74354e-07,28.7362548668775,0.005,-1.77145e-10,0.001,93.0956050000386
0.57,4.83513e-12,8.18253e-12,0.67,5.74559e-07,28.7459663701276,0.005,-1.78695e-10,0.001,94.3159547999967
0.58,4.83274e-12,8.3077e-12,0.68,5.74707e-07,28.7529757643117,0.005,-1.85132e-10,0.001,95.3460963000543
0.59,4.94599e-12,8.36372e-12,0.69,5.74228e-07,28.7302843777981,0.005,-1.78814e-10,0.001,96.5767899000784
0.6,4.78745e-12,8.44121e-12,0.7,5.74653e-07,28.7504184611159,0.005,-1.75357e-10,0.001,97.606242800015
0.61,5.47647e-12,8.72135e-12,0.71,5.74291e-07,28.7332697620414,0.005,-1.86801e-10,0.001,98.6343951000599
0.62,5.09143e-12,8.6987e-12,0.72,5.74143e-07,28.7262560355215,0.005,-1.79052e-10,0.001,99.6818938000361
0.63,5.21421e-12,8.83102e-12,0.73,5.74386e-07,28.7377710036181,0.005,-1.81198e-10,0.001,100.710736399982
0.64,5.03063e-12,8.80003e-12,0.74,5.74396e-07,28.7382447815704,0.005,-1.84536e-10,0.001,101.738000600017
0.65,5.35488e-12,9.02772e-12,0.75,5.74155e-07,28.7268247735121,0.005,-1.84298e-10,0.001,102.766477599973
0.66,5.32627e-12,9.18984e-12,0.76,5.74638e-07,28.7497080627309,0.005,-1.8096e-10,0.001,103.80353210005
0.67,5.16653e-12,9.3627e-12,0.77,5.74082e-07,28.7233647939125,0.005,-1.86324e-10,0.001,104.828578000073
0.68,5.31197e-12,9.34362e-12,0.78,5.74125e-07,28.7254029095191,0.005,-1.83702e-10,0.001,105.857637800043
0.69,5.38707e-12,9.56297e-12,0.79,5.73984e-07,28.7187192995154,0.005,-1.75714e-10,0.001,106.885252100066
0.7,5.33104e-12,9.68814e-12,0.8,5.7447e-07,28.7417505197117,0.005,-1.77145e-10,0.001,107.926649800036
0.71,5.52058e-12,9.72867e-12,0.81,5.74042e-07,28.7214687554792,0.005,-1.82033e-10,0.001,108.954851599992
0.72,5.6839e-12,9.86934e-12,0.82,5.74164e-07,28.7272513203495,0.005,-1.77264e-10,0.001,110.1809412
0.73,5.82337e-12,1.00684e-11,0.83,5.73796e-07,28.7098056401136,0.005,-1.74403e-10,0.001,111.210984000005
0.74,5.99504e-12,1.03009e-11,0.84,5.74769e-07,28.7559116744359,0.005,-1.77622e-10,0.001,112.452449899982
0.75,6.06656e-12,1.03986e-11,0.85,5.74388e-07,28.7378657597716,0.005,-1.79529e-10,0.001,113.482530000038
0.76,5.99027e-12,1.05071e-11,0.86,5.74524e-07,28.7443085179012,0.005,-1.81437e-10,0.001,114.517541900044
0.77,6.12497e-12,1.05989e-11,0.87,5.74037e-07,28.7212317427492,0.005,-1.8394e-10,0.001,115.545679999981
0.78,6.33001e-12,1.06585e-11,0.88,5.74306e-07,28.733980526629,0.005,-1.85847e-10,0.001,116.58455889998
0.79,6.26087e-12,1.07729e-11,0.89,5.74093e-07,28.7238861847211,0.005,-1.8239e-10,0.001,117.61487280007
0.8,6.181e-12,1.07276e-11,0.9,5.74013e-07,28.7200940571262,0.005,-1.77979e-10,0.001,118.657478200039
0.81,6.54817e-12,1.1003e-11,0.91,5.74405e-07,28.7386711757105,0.005,-1.81317e-10,0.001,119.68701860006
0.82,6.49333e-12,1.09959e-11,0.92,5.74728e-07,28.7539702157451,0.005,-1.76787e-10,0.001,120.730163100059
0.83,6.44922e-12,1.13535e-11,0.93,5.74752e-07,28.7551066937086,0.005,-1.75476e-10,0.001,121.758307500044
0.84,6.54221e-12,1.14226e-11,0.94,5.74393e-07,28.7381026489236,0.005,-1.78337e-10,0.001,122.795908099972
0.85,6.79612e-12,1.16491e-11,0.95,5.74796e-07,28.7571901314873,0.005,-1.73569e-10,0.001,123.824293700047
0.86,6.8593e-12,1.17397e-11,0.96,5.74398e-07,28.7383395363163,0.005,-1.8084e-10,0.001,124.861925099976
0.87,6.77824e-12,1.17064e-11,0.97,5.74375e-07,28.7372498397423,0.005,-1.80125e-10,0.001,126.084047700046
0.88,6.82235e-12,1.19674e-11,0.98,5.74466e-07,28.7415610302035,0.005,-1.7333e-10,0.001,127.120098000043
0.89,6.96301e-12,1.18542e-11,0.99,5.74951e-07,28.7645284307807,0.005,-1.8096e-10,0.001,128.349605199997
