keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,keithley2_smua_curr,keithley2_smua_temperature,keithley2_smua_volt,keithley2_smub_curr,keithley2_smub_volt,time
0.0,1.61304e-08,-1.71161e-13,0.0,2.11e-12,-152.10472610933,0.005,-3.68357e-12,0.0,0.151302399928682
0.001,1.69483e-08,-1.76966e-13,0.0,2.6226e-12,-150.4124941183,0.005,-3.14713e-12,0.0,1.19439449999481
0.002,1.77207e-08,-3.82102e-13,0.0,2.68221e-12,-150.235981112515,0.005,-2.94447e-12,0.0,2.23382129997481
0.003,1.84326e-08,-1.43051e-13,0.0,2.22921e-12,-151.679766174111,0.005,-3.62396e-12,0.0,3.6559552999679
0.004,1.92652e-08,-6.3622e-14,0.0,2.08616e-12,-152.19236199569,0.005,-3.38554e-12,0.0,5.49498630000744
0.005,2.00362e-08,-7.82251e-14,0.0,2.74181e-12,-150.06307851502,0.005,-2.563e-12,0.0,6.5275620999746
0.006,2.08619e-08,-2.79617e-13,0.0,2.09808e-12,-152.148429196149,0.005,-3.6478e-12,0.0,7.57325179991312
0.007,2.16197e-08,-6.35743e-14,0.0,2.80142e-12,-149.89357995975,0.005,-2.36034e-12,0.0,8.60455459996592
0.008,2.24442e-08,-1.30224e-13,0.0,2.06232e-12,-152.280926906848,0.005,-3.49283e-12,0.0,9.64995220000856
0.009,2.32176e-08,-3.6248e-13,0.0,2.76566e-12,-149.994857989892,0.005,-2.99215e-12,0.0,10.6803480000235
0.01,2.39848e-08,5.13792e-14,0.0,2.28882e-12,-151.475075503831,0.005,-2.80142e-12,0.0,11.7229635999538
0.011,2.47833e-08,-2.76113e-13,0.0,2.563e-12,-150.592716587537,0.005,-3.05176e-12,0.0,12.7548845999409
0.012,2.5562e-08,2.68698e-14,0.0,2.7895e-12,-149.927206157902,0.005,-2.41995e-12,0.0,13.7954914999427
0.013,2.63178e-08,-3.46947e-13,0.0,2.09808e-12,-152.148429196149,0.005,-3.83854e-12,0.0,14.8258711999515
0.014,2.71165e-08,-1.03831e-14,0.0,2.13385e-12,-152.017962959678,0.005,-3.20673e-12,0.0,15.8635727999499
0.015,2.78773e-08,-4.43697e-14,0.0,2.44379e-12,-150.965098242293,0.005,-2.82526e-12,0.0,16.8953984999098
0.016,2.86753e-08,-2.84791e-14,0.0,2.15769e-12,-151.932125853609,0.005,-3.23057e-12,0.0,17.9429140000138
0.017,2.94387e-08,-2.89536e-13,0.0,2.51532e-12,-150.739699748082,0.005,-2.7895e-12,0.0,19.3662780999439
0.018,3.01695e-08,-1.68955e-13,0.0,2.24113e-12,-151.638434247287,0.005,-2.99215e-12,0.0,21.1980775999837
0.019,3.0961e-08,-4.91488e-13,0.0,2.39611e-12,-151.118748329672,0.005,-3.38554e-12,0.0,22.2281119999243
0.02,3.17315e-08,-3.82674e-13,0.0,2.46763e-12,-150.889307429139,0.005,-3.06368e-12,0.0,23.2648160000099
0.021,3.25103e-08,-4.69685e-15,0.0,2.20537e-12,-151.763045393881,0.005,-2.58684e-12,0.0,24.2946174999233
0.022,3.3277e-08,-3.64614e-13,0.0,2.26498e-12,-151.55634106968,0.005,-3.3021e-12,0.0,25.3327478999272
0.023,3.40822e-08,-3.71528e-13,0.0,2.22921e-12,-151.679766174111,0.005,-3.39746e-12,0.0,26.3643028999213
0.024,3.48321e-08,-2.20537e-13,0.0,2.07424e-12,-152.236527040758,0.005,-3.38554e-12,0.0,27.4054522999795
0.025,3.56205e-08,-1.71816e-13,0.0,2.40803e-12,-151.080073157838,0.005,-3.18289e-12,0.0,28.4376372999977
0.026,3.6388e-08,-3.74019e-13,0.0,2.0504e-12,-152.325564213123,0.005,-3.85046e-12,0.0,29.4831380000105
0.027,3.71444e-08,-2.83372e-13,0.0,2.64645e-12,-150.341431410322,0.005,-2.96831e-12,0.0,30.5134203999769
0.028,3.79298e-08,-1.64819e-13,0.0,2.31266e-12,-151.394587140229,0.005,-3.18289e-12,0.0,31.5448092999868
0.029,3.87243e-08,-4.42171e-13,0.0,2.11e-12,-152.10472610933,0.005,-3.82662e-12,0.0,32.5764166999143
0.03,3.94948e-08,-1.05882e-13,0.0,2.02656e-12,-152.41556184721,0.005,-3.39746e-12,0.0,33.6159756999696
0.031,4.02055e-08,-1.0215e-13,0.0,2.20537e-12,-151.763045393881,0.005,-3.52859e-12,0.0,35.038377000019
0.032,4.09995e-08,-1.41585e-13,0.0,2.30074e-12,-151.434735141744,0.005,-3.76701e-12,0.0,36.473417299916
0.033,4.1739e-08,-2.23732e-13,0.0,2.80142e-12,-149.89357995975,0.005,-2.77758e-12,0.0,37.9016257999465
0.034,4.25303e-08,-3.21925e-13,0.0,2.13385e-12,-152.017962959678,0.005,-3.68357e-12,0.0,38.9473194999155
0.035,4.33674e-08,-2.21515e-13,0.0,2.77758e-12,-149.960965135078,0.005,-2.94447e-12,0.0,39.9781267999206
0.036,4.41248e-08,-4.68254e-13,0.0,2.03848e-12,-152.370441623405,0.005,-4.08888e-12,0.0,41.0263790999306
0.037,4.48138e-08,-5.82218e-14,0.0,2.77758e-12,-149.960965135078,0.005,-2.63453e-12,0.0,42.0574548000004
0.038,4.55542e-08,-1.23274e-13,0.0,2.44379e-12,-150.965098242293,0.005,-3.05176e-12,0.0,43.0986236999743
