keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,keithley2_smua_curr,keithley2_smua_temperature,keithley2_smua_volt,keithley2_smub_curr,keithley2_smub_volt,time
-0.45,-8.64744e-12,-4.98021e-12,-0.05,1.14856e-06,48.6109138964312,0.005,2.06215e-07,0.002,1.53475440014154
-0.44,-8.26955e-12,-4.44114e-12,-0.04,1.14869e-06,48.6143352719985,0.005,2.02968e-07,0.002,2.56311969994567
-0.43,-7.91311e-12,-4.1399e-12,-0.03,1.14957e-06,48.6374867710769,0.005,2.03559e-07,0.002,3.60397169995122
-0.42,-7.68542e-12,-3.79336e-12,-0.02,1.14996e-06,48.6477423158451,0.005,2.04296e-07,0.002,4.63291010004468
-0.41,-7.41243e-12,-3.6819e-12,-0.01,1.14956e-06,48.6372237698164,0.005,2.04075e-07,0.002,5.67176140006632
-0.4,-7.08342e-12,-3.37613e-12,0.0,1.15004e-06,48.6498456548331,0.005,2.05648e-07,0.002,6.69938899995759
-0.39,-6.91652e-12,-3.21877e-12,0.01,1.14982e-06,48.6440611757124,0.005,2.05351e-07,0.002,7.73999519995414
-0.38,-6.68645e-12,-3.02911e-12,0.02,1.14963e-06,48.6390647381299,0.005,2.04422e-07,0.002,8.76867040013894
-0.37,-6.41227e-12,-2.78246e-12,0.03,1.14897e-06,48.6217032798104,0.005,2.07733e-07,0.002,9.80712629994377
-0.36,-6.08563e-12,-2.56717e-12,0.04,1.14985e-06,48.6448500232695,0.005,2.02382e-07,0.002,10.8357414000202
-0.35,-5.99384e-12,-2.35987e-12,0.05,1.15041e-06,48.6595719931467,0.005,2.05349e-07,0.002,11.874214499956
-0.34,-5.83768e-12,-2.19917e-12,0.06,1.15135e-06,48.6842702922409,0.005,2.04689e-07,0.002,12.9006215999834
-0.33,-5.63979e-12,-1.9275e-12,0.07,1.1504e-06,48.659309153822,0.005,2.06087e-07,0.002,13.944215600146
-0.32,-5.67794e-12,-1.76179e-12,0.08,1.14997e-06,48.6480052399659,0.005,2.03901e-07,0.002,15.1859106000047
-0.31,-5.50151e-12,-1.69885e-12,0.09,1.14887e-06,48.6190720222727,0.005,2.06587e-07,0.002,16.4296188999433
-0.3,-5.2774e-12,-1.53124e-12,0.1,1.14875e-06,48.6159142582943,0.005,2.02652e-07,0.002,17.4628361000214
-0.29,-5.07593e-12,-1.30904e-12,0.11,1.15008e-06,48.6508972780627,0.005,2.01252e-07,0.002,18.5061487001367
-0.28,-5.0056e-12,-1.12832e-12,0.12,1.14908e-06,48.624597440075,0.005,2.01988e-07,0.002,19.5392196001485
-0.27,-4.99368e-12,-9.76205e-13,0.13,1.14835e-06,48.6053863691291,0.005,2.02043e-07,0.002,20.5771848000586
-0.26,-4.95911e-12,-6.5589e-13,0.14,1.15036e-06,48.6582577772577,0.005,2.05335e-07,0.002,21.6134901000187
-0.25,-4.81129e-12,-5.70178e-13,0.15,1.15012e-06,48.6519488704522,0.005,2.03936e-07,0.002,22.6613727000076
-0.24,-4.55022e-12,-3.21388e-13,0.16,1.14863e-06,48.6127562161559,0.005,2.04229e-07,0.002,23.6952547000255
-0.23,-4.65274e-12,-1.31726e-13,0.17,1.14833e-06,48.6048598935049,0.005,2.04341e-07,0.002,24.7486412001308
-0.22,-4.61936e-12,-1.37687e-13,0.18,1.14996e-06,48.6477423158451,0.005,2.02523e-07,0.002,25.7813622001559
