keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,keithley2_smua_curr,keithley2_smua_temperature,keithley2_smua_volt,keithley2_smub_curr,keithley2_smub_volt,time
-0.45,-1.32499e-11,-8.98808e-12,-0.05,1.14305e-06,48.4655990946639,0.005,1.03415e-07,0.001,1.57249769999999
-0.44,-1.24161e-11,-8.28791e-12,-0.04,1.1435e-06,48.4774890347264,0.005,1.03042e-07,0.001,2.59714660000009
-0.43,-1.17611e-11,-7.83792e-12,-0.03,1.14448e-06,48.5033690348058,0.005,1.01668e-07,0.001,3.63106010000047
-0.42,-1.11602e-11,-7.34816e-12,-0.02,1.14351e-06,48.4777532107972,0.005,1.0297e-07,0.001,4.65467910000007
-0.41,-1.06199e-11,-7.07895e-12,-0.01,1.14376e-06,48.4843569794925,0.005,1.03882e-07,0.001,5.68902969999999
-0.4,-1.01318e-11,-6.71128e-12,0.0,1.14411e-06,48.4936002110245,0.005,1.0279e-07,0.001,6.71388139999999
-0.39,-9.66579e-12,-6.38329e-12,0.01,1.14358e-06,48.4796023887456,0.005,1.02741e-07,0.001,7.75176580000061
-0.38,-9.24461e-12,-6.08481e-12,0.02,1.14409e-06,48.4930720906054,0.005,1.0247e-07,0.001,8.77493159999995
-0.37,-8.85466e-12,-5.73112e-12,0.03,1.14339e-06,48.4745829693588,0.005,1.02441e-07,0.001,9.81311180000012
-0.36,-8.4989e-12,-5.5333e-12,0.04,1.14406e-06,48.4922798953793,0.005,1.03221e-07,0.001,10.8369251000004
-0.35,-8.19657e-12,-5.10559e-12,0.05,1.14405e-06,48.4920158264111,0.005,1.02489e-07,0.001,11.8784014000003
-0.34,-7.9365e-12,-4.87453e-12,0.06,1.14438e-06,48.500729074818,0.005,1.03614e-07,0.001,12.9012824000001
-0.33,-7.68701e-12,-4.53725e-12,0.07,1.14433e-06,48.499409021873,0.005,1.0373e-07,0.001,13.9407662000003
-0.32,-7.44106e-12,-4.32261e-12,0.08,1.14547e-06,48.5294941489398,0.005,1.03629e-07,0.001,15.1577563999999
-0.31,-7.2134e-12,-4.12968e-12,0.09,1.14429e-06,48.4983529444967,0.005,1.02969e-07,0.001,16.3928089000001
-0.3,-6.93412e-12,-3.76272e-12,0.1,1.14438e-06,48.500729074818,0.005,1.02563e-07,0.001,17.4145601
-0.29,-6.78746e-12,-3.5821e-12,0.11,1.14403e-06,48.4914876826352,0.005,1.03423e-07,0.001,18.4421549999997
-0.28,-6.59156e-12,-3.25787e-12,0.12,1.14512e-06,48.5202601740704,0.005,1.03571e-07,0.001,19.4676454
-0.27,-6.38666e-12,-3.14211e-12,0.13,1.14534e-06,48.5260646646201,0.005,1.03643e-07,0.001,20.5032369
-0.26,-6.18938e-12,-2.87486e-12,0.14,1.14394e-06,48.4891109392872,0.005,1.03401e-07,0.001,21.5272524000002
-0.25,-6.04869e-12,-2.59906e-12,0.15,1.14581e-06,48.5384620180063,0.005,1.03041e-07,0.001,22.5582857999998
-0.24,-5.91507e-12,-2.34703e-12,0.16,1.14494e-06,48.515510345945,0.005,1.02089e-07,0.001,23.5824692000006
-0.23,-5.80704e-12,-2.15839e-12,0.17,1.14383e-06,48.486205816599,0.005,1.02828e-07,0.001,24.6164968000003
-0.22,-5.69078e-12,-1.93032e-12,0.18,1.14422e-06,48.4965047341773,0.005,1.02422e-07,0.001,25.6397146999998
