keithley1_smub_volt,keithley1_smua_curr,keithley1_smua_volt,keithley1_smub_curr,keithley2_smua_curr,keithley2_smua_temperature,keithley2_smua_volt,keithley2_smub_curr,keithley2_smub_volt,time
0.0,7.33137e-13,0.0,-3.91722e-13,5.31211e-07,26.6233786943948,0.005,1.07284e-07,0.001,0.139241199940443
0.01,6.83069e-13,0.0,-9.38177e-14,5.31429e-07,26.6344177248697,0.005,1.0677e-07,0.001,1.16983380005695
0.02,6.6638e-13,0.0,1.18613e-13,5.31123e-07,26.6189214755939,0.005,1.06996e-07,0.001,2.20378229999915
0.03,6.24657e-13,0.0,2.29716e-13,5.3095e-07,26.6101571491385,0.005,1.07605e-07,0.001,3.23314659995958
0.04,5.65052e-13,0.0,3.12328e-13,5.30843e-07,26.6047352174842,0.005,1.07846e-07,0.001,4.27461459999904
0.05,6.58035e-13,0.0,4.62294e-13,5.30695e-07,26.5972341843007,0.005,1.07651e-07,0.001,5.30493630003184
0.06,6.60419e-13,0.0,5.19395e-13,5.30676e-07,26.5962710843967,0.005,1.07949e-07,0.001,6.34533850010484
0.07,4.41074e-13,0.0,5.89967e-13,5.30306e-07,26.5775101063426,0.005,1.08822e-07,0.001,7.37610470014624
0.08,6.18696e-13,0.0,6.99401e-13,5.30091e-07,26.5666033196444,0.005,1.08419e-07,0.001,8.42156090005301
0.09,5.78165e-13,0.0,7.07388e-13,5.30118e-07,26.5679732166023,0.005,1.07498e-07,0.001,9.44911779998802
0.1,5.68628e-13,0.0,7.77483e-13,5.30302e-07,26.5773072238692,0.005,1.08027e-07,0.001,10.4927517999895
0.11,6.42538e-13,0.0,7.94411e-13,5.3035e-07,26.579741727274,0.005,1.07366e-07,0.001,12.3159878000151
0.12,4.80413e-13,0.0,8.64267e-13,5.30343e-07,26.5793867072511,0.005,1.07722e-07,0.001,13.7399141001515
0.13,5.34058e-13,0.0,9.0909e-13,5.30139e-07,26.5690386508071,0.005,1.08405e-07,0.001,14.7701942001004
0.14,4.29153e-13,0.0,9.68933e-13,5.29764e-07,26.550007611115,0.005,1.08474e-07,0.001,16.2014470000286
0.15,5.25713e-13,0.0,1.08051e-12,5.29745e-07,26.5490430654917,0.005,1.08237e-07,0.001,17.2336470999289
0.16,5.01871e-13,0.0,1.0854e-12,5.30035e-07,26.5637618618469,0.005,1.07515e-07,0.001,18.3115451999474
0.17,4.80413e-13,0.0,1.08969e-12,5.29999e-07,26.561935074976,0.005,1.08187e-07,0.001,19.343812600011
0.18,5.03063e-13,0.0,1.18983e-12,5.29312e-07,26.5270535631599,0.005,1.07682e-07,0.001,20.3881006001029
0.19,4.01735e-13,0.0,1.29986e-12,5.29693e-07,26.5464031052854,0.005,1.07808e-07,0.001,21.4179022000171
0.2,5.04255e-13,0.0,1.25098e-12,5.2969e-07,26.546250793134,0.005,1.06849e-07,0.001,22.4596138999332
0.21,5.25713e-13,0.0,1.33824e-12,5.29661e-07,26.5447784043425,0.005,1.06841e-07,0.001,23.4893006000202
0.22,4.72069e-13,0.0,1.45602e-12,5.29378e-07,26.5304063042069,0.005,1.08715e-07,0.001,24.5321321999654
0.23,4.8399e-13,0.0,1.40882e-12,5.2903e-07,26.5127241908359,0.005,1.08453e-07,0.001,25.5634540000465
0.24,6.04391e-13,0.0,1.4751e-12,5.29015e-07,26.5119618074183,0.005,1.07552e-07,0.001,26.6035146999639
0.25,5.48363e-13,0.0,1.50442e-12,5.28968e-07,26.5095728864505,0.005,1.0925e-07,0.001,28.4236672001425
0.26,5.85318e-13,0.0,1.57583e-12,5.2929e-07,26.5259359034466,0.005,1.07346e-07,0.001,29.8591345001478
0.27,5.65052e-13,0.0,1.67084e-12,5.29425e-07,26.5327936445411,0.005,1.08256e-07,0.001,30.8888270000461
