keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,keithley2_smua_curr,keithley2_smua_temperature,keithley2_smua_volt,keithley2_smub_curr,keithley2_smub_volt,time
0.0,4.72069e-13,-5.71012e-13,0.0,5.40604e-07,27.0955487074631,0.005,1.07899e-07,0.001,0.13534320006147
0.01,4.24385e-13,-6.74367e-13,0.0,5.40614e-07,27.0960476440563,0.005,1.08395e-07,0.001,1.16506840009242
0.02,5.3525e-13,-6.53982e-13,0.0,5.4074e-07,27.1023335699225,0.005,1.07255e-07,0.001,2.19957599998452
0.03,5.73397e-13,-6.66142e-13,0.0,5.41451e-07,27.1377807255212,0.005,1.07042e-07,0.001,3.23022260004655
0.04,5.6982e-13,-6.44207e-13,0.0,5.41136e-07,27.1220811968687,0.005,1.07767e-07,0.001,4.27055269991979
0.05,4.8399e-13,-6.84381e-13,0.0,5.41212e-07,27.1258697338527,0.005,1.08171e-07,0.001,5.30014479998499
0.06,5.81741e-13,-7.37667e-13,0.0,5.41121e-07,27.1213334056147,0.005,1.0789e-07,0.001,6.33205730002373
0.07,4.94719e-13,-6.02841e-13,0.0,5.41043e-07,27.1174446057066,0.005,1.10224e-07,0.001,7.36153159989044
0.08,5.13792e-13,-6.25253e-13,0.0,5.41177e-07,27.1241250693144,0.005,1.09588e-07,0.001,8.40310800005682
0.09,5.85318e-13,-7.20143e-13,0.0,5.41179e-07,27.1242247670267,0.005,1.09422e-07,0.001,9.43115950003266
0.1,5.3525e-13,-6.55293e-13,0.0,5.41132e-07,27.1218817875985,0.005,1.0924e-07,0.001,10.4994171001017
0.11,5.80549e-13,-6.99878e-13,0.0,5.40899e-07,27.1102640247702,0.005,1.0974e-07,0.001,12.3195080000442
0.12,6.10352e-13,-6.92487e-13,0.0,5.40738e-07,27.1022338030918,0.005,1.09548e-07,0.001,13.7539297998883
0.13,5.88894e-13,-7.08938e-13,0.0,5.40887e-07,27.1096655693373,0.005,1.10088e-07,0.001,14.7840787000023
0.14,5.6982e-13,-7.21455e-13,0.0,5.40943e-07,27.1124582643552,0.005,1.09842e-07,0.001,16.2161008999683
0.15,5.90086e-13,-7.23362e-13,0.0,5.41568e-07,27.1436099924741,0.005,1.09566e-07,0.001,17.2594796998892
0.16,5.96046e-13,-7.01308e-13,0.0,5.41217e-07,27.1261189637783,0.005,1.09783e-07,0.001,18.3100505999755
0.17,6.80685e-13,-7.1466e-13,0.0,5.41508e-07,27.1406207591657,0.005,1.12028e-07,0.001,19.3433582000434
0.18,6.46114e-13,-7.05123e-13,0.0,5.4124e-07,27.1272653961104,0.005,1.12698e-07,0.001,20.3777868000325
0.19,5.49555e-13,-7.15256e-13,0.0,5.41026e-07,27.1165969832068,0.005,1.13247e-07,0.001,21.4148339999374
0.2,8.10623e-13,-6.19173e-13,0.0,5.41114e-07,27.1209844303046,0.005,1.11472e-07,0.001,22.450535699958
0.21,5.29289e-13,-6.77824e-13,0.0,5.41088e-07,27.1196882025413,0.005,1.12317e-07,0.001,23.4804632000159
0.22,5.42402e-13,-7.05123e-13,0.0,5.40681e-07,27.0993903159374,0.005,1.12356e-07,0.001,24.5229138999712
0.23,5.66244e-13,-7.12752e-13,0.0,5.40284e-07,27.079578573346,0.005,1.11463e-07,0.001,25.559525599936
0.24,5.80549e-13,-7.39574e-13,0.0,5.40232e-07,27.0769826636053,0.005,1.11446e-07,0.001,26.6122818000149
0.25,5.78165e-13,-7.87973e-13,0.0,5.40227e-07,27.076733045654,0.005,1.12841e-07,0.001,28.4380302000791
0.26,5.53131e-13,-7.29084e-13,0.0,5.40114e-07,27.071091153714,0.005,1.11978e-07,0.001,29.876541600097
0.27,6.68764e-13,-7.33376e-13,0.0,5.40753e-07,27.1029820466405,0.005,1.11903e-07,0.001,30.9105676000472
0.28,6.04391e-13,-7.80582e-13,0.0,5.40852e-07,27.1079200095576,0.005,1.13485e-07,0.001,32.3493375999387
0.29,6.28233e-13,-7.10964e-13,0.0,5.41191e-07,27.1248229466926,0.005,1.12097e-07,0.001,33.388830400072
0.3,6.11544e-13,-7.76768e-13,0.0,5.40946e-07,27.1126078660491,0.005,1.14287e-07,0.001,34.4340528999455
0.31,6.16312e-13,-7.20978e-13,0.0,5.40878e-07,27.1092167203215,0.005,1.13202e-07,0.001,35.4688331000507
0.32,5.56707e-13,-7.69854e-13,0.0,5.40673e-07,27.0989912095346,0.005,1.13314e-07,0.001,36.5148835999426
0.33,6.31809e-13,-8.03471e-13,0.0,5.40921e-07,27.111361163616,0.005,1.14636e-07,0.001,37.5559741999023
0.34,6.74725e-13,-8.322e-13,0.0,5.40684e-07,27.0995399795382,0.005,1.13522e-07,0.001,38.5927293000277
0.35,7.22408e-13,-7.53403e-13,0.0,5.40434e-07,27.0870655792246,0.005,1.11787e-07,0.001,39.6345953000709
0.36,6.92606e-13,-7.74026e-13,0.0,5.40643e-07,27.097494515607,0.005,1.12799e-07,0.001,40.6772839000914
0.37,6.19888e-13,-8.20756e-13,0.0,5.40949e-07,27.1127574670344,0.005,1.1263e-07,0.001,41.7150353000034
0.38,6.00815e-13,-7.98583e-13,0.0,5.41015e-07,27.116048509469,0.005,1.1052e-07,0.001,43.1660968000069
0.39,6.23465e-13,-7.58529e-13,0.0,5.40765e-07,27.1035806287172,0.005,1.13693e-07,0.001,44.5966078001074
