keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,time
0.0,3.88622e-13,-3.74317e-13,0.1,0.0945483999967109
0.03,5.99623e-13,-5.30481e-13,0.1,0.616836399975
0.06,4.79221e-13,-7.67708e-13,0.1,1.14498329997878
0.09,6.04391e-13,-6.68764e-13,0.1,1.67106619998231
0.12,4.52995e-13,-6.1512e-13,0.1,2.20305309997639
0.15,5.26905e-13,-7.29561e-13,0.1,2.73434329999145
0.18,6.93798e-13,-6.47306e-13,0.1,3.26655509998091
0.21,8.86917e-13,-6.35386e-13,0.1,3.79802539999946
0.24,7.58171e-13,-8.01086e-13,0.1,4.33376379997935
0.27,5.91278e-13,-7.84397e-13,0.1,4.85190709997551
0.3,8.96454e-13,-7.82013e-13,0.1,5.37473549999413
0.33,7.77245e-13,-7.39098e-13,0.1,5.89214299997548
0.36,8.23736e-13,-6.65188e-13,0.1,6.43800959998043
0.39,5.93662e-13,-7.73668e-13,0.1,6.96432109997841
0.42,9.87053e-13,-8.21352e-13,0.1,7.49481629999354
0.45,6.87838e-13,-8.7142e-13,0.1,8.03014039999107
0.48,4.94719e-13,-6.7234e-13,0.1,8.56273909998708
0.51,7.92742e-13,-7.1764e-13,0.1,9.09087279997766
0.54,8.66652e-13,-9.82285e-13,0.1,9.61361399997259
0.57,8.83341e-13,-8.23736e-13,0.1,10.1328532999905
0.6,9.60827e-13,-1.00255e-12,0.1,10.6609324999736
0.63,1.06573e-12,-7.39098e-13,0.1,11.1862382999971
0.66,1.0097e-12,-9.21488e-13,0.1,11.7066143999982
0.69,8.14199e-13,-1.10269e-12,0.1,12.2257676999725
0.72,9.95398e-13,-1.02639e-12,0.1,12.75586569999
0.75,8.86917e-13,-8.64267e-13,0.1,13.2800607999961
0.78,1.0848e-12,-8.57115e-13,0.1,14.0029669999785
0.81,1.0097e-12,-1.06096e-12,0.1,14.7232487000001
0.84,1.02997e-12,-9.4533e-13,0.1,15.2507250999915
0.87,1.00851e-12,-8.74996e-13,0.1,15.7693494999839
0.9,1.01924e-12,-9.71556e-13,0.1,16.2951674999786
0.93,1.15991e-12,-9.9659e-13,0.1,16.8163338000013
0.96,1.00732e-12,-1.05023e-12,0.1,17.363372199994
0.99,1.21951e-12,-1.11341e-12,0.1,17.8815839999879
1.02,1.05023e-12,-1.11699e-12,0.1,18.4002666999877
1.05,1.32799e-12,-1.27554e-12,0.1,18.9211646999756
1.08,1.22309e-12,-1.37448e-12,0.1,19.4548924999835
1.11,1.31726e-12,-1.27554e-12,0.1,19.9759472000005
1.14,1.53899e-12,-1.30057e-12,0.1,20.4938901999849
1.17,1.69873e-12,-1.6284e-12,0.1,21.0123459999741
1.2,1.76072e-12,-1.45793e-12,0.1,21.5357848999847
1.23,2.05636e-12,-1.57595e-12,0.1,22.0535587999912
1.26,2.07901e-12,-1.62125e-12,0.1,22.5967918999959
1.29,2.19345e-12,-1.89304e-12,0.1,23.1148335999751
1.32,2.41756e-12,-1.78337e-12,0.1,23.639640999987
1.35,2.53439e-12,-2.09212e-12,0.1,24.1569134999881
1.38,2.83122e-12,-2.05636e-12,0.1,24.6766326999932
1.41,3.57628e-12,-2.27332e-12,0.1,25.1935553999792
1.44,3.73483e-12,-2.3222e-12,0.1,25.7165778999915
1.47,6.19769e-12,-2.27094e-12,0.1,26.2314282000007
1.5,5.78642e-12,-2.6679e-12,0.1,26.7460438999988
1.53,6.72579e-12,-3.18885e-12,0.1,27.2607117999869
1.56,8.54492e-12,-3.94225e-12,0.1,27.7871840999869
1.59,1.15407e-11,-4.76837e-12,0.1,28.302193999989
1.62,1.55568e-11,-5.73993e-12,0.1,28.8184043999936
1.65,1.9927e-11,-7.16448e-12,0.1,29.5749025999976
1.68,2.6871e-11,-9.55224e-12,0.1,30.3208386999904
1.71,3.54493e-11,-1.27435e-11,0.1,30.8355931999977
1.74,4.80604e-11,-1.59919e-11,0.1,31.354420299991
1.77,6.63829e-11,-2.23458e-11,0.1,31.8758384999819
1.8,8.87704e-11,-3.10004e-11,0.1,32.3991763999802
1.83,1.24416e-10,-4.34446e-11,0.1,32.9195785999764
1.86,1.60155e-10,-5.79202e-11,0.1,33.4371441999974
1.89,2.17203e-10,-7.77531e-11,0.1,33.9607327999838
1.92,2.79768e-10,-1.05941e-10,0.1,34.5013161999814
1.95,3.67541e-10,-1.42058e-10,0.1,35.0266464999877
1.98,4.67491e-10,-1.85819e-10,0.1,35.5556354
2.01,6.00138e-10,-2.4353e-10,0.1,36.0870324999851
2.04,7.4506e-10,-3.20456e-10,0.1,36.6200894999783
2.07,8.96536e-10,-4.07854e-10,0.1,37.1469094999775
2.1,1.07136e-09,-5.09914e-10,0.1,37.6814983999939
2.13,1.23893e-09,-6.1259e-10,0.1,38.2150339999935
2.16,1.39925e-09,-7.19889e-10,0.1,38.7544623999856
2.19,1.56171e-09,-8.3009e-10,0.1,39.2709320999857
2.22,1.69775e-09,-9.20589e-10,0.1,39.7877350999916
2.25,1.82936e-09,-1.01734e-09,0.1,40.306276599993
2.28,1.9616e-09,-1.10711e-09,0.1,40.8402164999861
2.31,2.06045e-09,-1.17652e-09,0.1,41.3627691000002
2.34,2.13612e-09,-1.2541e-09,0.1,41.8950763999892
2.37,2.15527e-09,-1.31498e-09,0.1,42.4278472999868
2.4,2.16338e-09,-1.36011e-09,0.1,42.9630242999992
2.43,2.15706e-09,-1.38359e-09,0.1,43.4918306999898
2.46,2.10146e-09,-1.36679e-09,0.1,44.0194113999896
2.49,1.95589e-09,-1.29279e-09,0.1,44.5523051999917
2.52,1.82746e-09,-1.21122e-09,0.1,45.2775332999881
2.55,1.75656e-09,-1.15475e-09,0.1,45.99701739999
2.58,1.64757e-09,-1.08456e-09,0.1,46.5162746999995
2.61,1.54679e-09,-1.00257e-09,0.1,47.0398632999859
2.64,1.46641e-09,-9.15087e-10,0.1,47.5659231999889
2.67,1.3489e-09,-8.32418e-10,0.1,48.0820510999765
2.7,1.28665e-09,-7.72954e-10,0.1,48.6018757999991
2.73,1.2167e-09,-7.15139e-10,0.1,49.1210000999854
2.76,1.17043e-09,-6.58686e-10,0.1,49.6512844999961
2.79,1.16171e-09,-6.35239e-10,0.1,50.1731579999905
2.82,1.11335e-09,-6.05476e-10,0.1,50.6904593999789
2.85,1.10148e-09,-5.99074e-10,0.1,51.2085860999941
2.88,1.09748e-09,-5.95119e-10,0.1,51.7443223999871
2.91,1.08504e-09,-5.70999e-10,0.1,52.2612867999997
2.94,1.09516e-09,-5.71699e-10,0.1,52.7791073999833
2.97,1.08955e-09,-5.58513e-10,0.1,53.2984975999861
3.0,1.11484e-09,-5.74819e-10,0.1,53.8214788999758
2.97,1.02771e-09,-5.17356e-10,0.1,54.3406583999749
2.94,9.46468e-10,-4.80434e-10,0.1,54.8598659999843
2.91,8.92198e-10,-4.39305e-10,0.1,55.3809249999758
2.88,8.27165e-10,-3.9649e-10,0.1,55.9128058999777
2.85,7.90215e-10,-3.72245e-10,0.1,56.4327663999866
2.82,7.31566e-10,-3.50089e-10,0.1,56.9524213999975
2.79,7.01038e-10,-3.15704e-10,0.1,57.4706549999828
2.76,6.47875e-10,-2.85355e-10,0.1,58.0003502999898
2.73,6.23581e-10,-2.76915e-10,0.1,58.5190244999831
2.7,5.74462e-10,-2.44468e-10,0.1,59.0384425999946
2.67,5.26582e-10,-2.10769e-10,0.1,59.5574163999991
2.64,4.99696e-10,-2.04895e-10,0.1,60.0864175999886
2.61,4.57444e-10,-1.75829e-10,0.1,60.99963939999
2.58,4.11083e-10,-1.57071e-10,0.1,61.5203135999909
2.55,3.85542e-10,-1.39493e-10,0.1,62.0380461999739
2.52,3.52129e-10,-1.22646e-10,0.1,62.5675289999926
2.49,3.3342e-10,-1.12903e-10,0.1,63.0849494999857
2.46,3.00435e-10,-9.73892e-11,0.1,63.6031464999833
2.43,2.68873e-10,-8.68368e-11,0.1,64.1360994999995
2.4,2.40048e-10,-7.76529e-11,0.1,64.6687618999858
2.37,2.20661e-10,-6.84321e-11,0.1,65.1928401999758
2.34,1.93617e-10,-5.55754e-11,0.1,65.7148075999867
2.31,1.69548e-10,-4.92501e-11,0.1,66.2356397999974
2.28,1.65731e-10,-4.95434e-11,0.1,66.766320499999
2.25,1.46509e-10,-4.03762e-11,0.1,67.286498499976
2.22,1.28571e-10,-3.78633e-11,0.1,67.8063419999962
2.19,1.24602e-10,-3.38364e-11,0.1,68.3237287999946
2.16,1.13387e-10,-3.03614e-11,0.1,68.8549303999753
2.13,9.99069e-11,-2.70474e-11,0.1,69.374845399987
2.1,9.287e-11,-2.3241e-11,0.1,69.8958035999967
2.07,8.13699e-11,-1.99318e-11,0.1,70.4135945999878
2.04,7.06112e-11,-1.54591e-11,0.1,70.9470866999764
2.01,5.75173e-11,-1.351e-11,0.1,71.4669771999761
1.98,5.17023e-11,-1.27482e-11,0.1,71.9868521999742
1.95,4.11606e-11,-1.01542e-11,0.1,72.5060352
1.92,3.39651e-11,-8.87871e-12,0.1,73.0405097999901
1.89,2.75195e-11,-6.89983e-12,0.1,73.5592751999793
1.86,2.13051e-11,-5.63979e-12,0.1,74.0809927999799
1.83,1.61088e-11,-4.73499e-12,0.1,74.5996501999907
1.8,1.40905e-11,-3.83735e-12,0.1,75.1343456999748
1.77,1.18089e-11,-3.36051e-12,0.1,75.8547239999752
1.74,9.26971e-12,-2.39611e-12,0.1,76.3767334999866
1.71,7.05481e-12,-2.05636e-12,0.1,77.0969276999822
1.68,5.80907e-12,-2.03013e-12,0.1,77.6242901999794
1.65,4.47989e-12,-1.48058e-12,0.1,78.1451223999902
1.62,3.27468e-12,-1.09076e-12,0.1,78.6635124999739
1.59,2.74062e-12,-1.04427e-12,0.1,79.1831063999853
1.56,2.23517e-12,-8.69036e-13,0.1,79.7029867999954
1.53,1.70588e-12,-8.61883e-13,0.1,80.2211747999827
1.5,1.21713e-12,-5.44786e-13,0.1,80.740489799995
1.47,1.23382e-12,-3.80278e-13,0.1,81.2582421999832
1.44,1.08838e-12,-5.65052e-13,0.1,81.7870332999737
1.41,1.14679e-12,-3.74317e-13,0.1,82.3023485000012
1.38,8.11815e-13,-3.0756e-13,0.1,82.817770499998
1.35,5.03063e-13,-4.1008e-13,0.1,83.3333047999768
1.32,4.3273e-13,-2.37226e-13,0.1,83.853257699986
1.29,2.08616e-13,-1.95503e-13,0.1,84.3679205999942
1.26,1.72853e-13,-2.19345e-13,0.1,84.8853825999831
1.23,-1.44243e-13,-1.38283e-13,0.1,85.4024563999847
1.2,1.06096e-13,-2.06232e-13,0.1,85.9287759999861
1.17,3.45707e-13,-8.34465e-15,0.1,86.4437055999879
1.14,1.81198e-13,5.96046e-15,0.1,86.9607866999868
1.11,-6.19888e-14,6.91414e-14,0.1,87.4762902999937
1.08,-1.07288e-13,2.14577e-13,0.1,87.9988534000004
1.05,-4.11272e-13,2.68221e-13,0.1,88.513026599976
1.02,-4.29153e-13,2.63453e-13,0.1,89.0277961999818
0.99,-4.55379e-13,2.67029e-13,0.1,89.5447558999876
0.96,-8.36849e-13,5.57899e-13,0.1,90.0700556999946
0.93,-8.11815e-13,8.59499e-13,0.1,90.5849138999765
0.9,-1.44839e-12,1.25289e-12,0.1,91.1016492999915
0.87,-2.22445e-12,2.05636e-12,0.1,91.8180902999884
0.84,-4.06981e-12,3.38435e-12,0.1,92.5397345999954
0.81,-6.9654e-12,6.09994e-12,0.1,93.0548119999876
0.78,-1.2424e-11,1.15776e-11,0.1,93.5703234999964
0.75,-2.1162e-11,1.99151e-11,0.1,94.0860141999729
0.72,-2.32136e-11,2.07615e-11,0.1,94.6124850999913
0.69,-1.22929e-11,7.97272e-12,0.1,95.1274486999901
0.66,-1.18208e-11,2.88963e-12,0.1,95.6427030999912
0.63,-1.64175e-11,1.3113e-12,0.1,96.1575043999765
0.6,-1.33669e-11,4.75645e-13,0.1,96.6882392999833
0.57,-3.4678e-12,2.74181e-13,0.1,97.2024125999887
0.54,-1.1456e-12,1.15633e-13,0.1,97.7171502999845
0.51,-5.42402e-13,1.37091e-13,0.1,98.2331316999916
0.48,-5.99623e-13,1.54972e-13,0.1,98.7620475000003
0.45,-1.03712e-13,9.17912e-14,0.1,99.2771052999888
0.42,-1.41859e-13,2.75373e-13,0.1,99.7921060999797
0.39,-2.94447e-13,4.22001e-13,0.1,100.308373699983
0.36,5.48363e-14,1.96695e-13,0.1,100.837113199988
0.33,1.90735e-14,4.36306e-13,0.1,101.353276199981
0.3,-6.91414e-14,2.63453e-13,0.1,101.869087399973
0.27,-2.92063e-13,3.05176e-13,0.1,102.38432089999
0.24,-3.11136e-13,3.73125e-13,0.1,102.909344999993
0.21,-1.70469e-13,2.2769e-13,0.1,103.424555899983
0.18,-2.63453e-13,4.29153e-13,0.1,103.941961999983
0.15,-2.93255e-13,3.56436e-13,0.1,104.459892099985
0.12,-2.46763e-13,4.12464e-13,0.1,104.986063899996
0.09,-2.72989e-13,5.4121e-13,0.1,105.502129499975
0.06,-4.3273e-13,5.44786e-13,0.1,106.017486799974
0.03,-5.20945e-13,5.44786e-13,0.1,106.534174
0.0,-6.19888e-13,5.84126e-13,0.1,107.259903400001
