keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,time
0.0,1.3113e-13,-1.50204e-12,0.1,0.0875978999829385
0.02,-4.76837e-13,-1.63317e-12,0.1,0.605247400002554
0.04,-2.86102e-13,-1.5974e-12,0.1,1.1269733000081
0.06,-3.45707e-13,-1.75238e-12,0.1,1.64373370000976
0.08,-4.76837e-14,-1.64509e-12,0.1,2.18641269998625
0.1,-5.96046e-14,-1.74046e-12,0.1,2.71331749999081
0.12,-3.57628e-14,-1.66893e-12,0.1,3.23326559999259
0.14,2.14577e-13,-1.71661e-12,0.1,3.75096730000223
0.16,1.3113e-13,-1.68085e-12,0.1,4.28325380000751
0.18,2.26498e-13,-1.74046e-12,0.1,4.80830750000314
0.2,-9.53674e-14,-1.70469e-12,0.1,5.33148950000759
0.22,-8.34465e-14,-1.68085e-12,0.1,5.85904640000081
0.24,8.34465e-14,-1.69277e-12,0.1,6.41246520000277
0.26,1.07288e-13,-1.83582e-12,0.1,6.92938270000741
0.28,3.57628e-13,-1.80006e-12,0.1,7.45118249999359
0.3,2.74181e-13,-1.9908e-12,0.1,7.97975530000986
0.32,1.90735e-13,-1.72853e-12,0.1,8.50747129999218
0.34,2.38419e-13,-1.97887e-12,0.1,9.22718709998298
0.36,3.45707e-13,-1.90735e-12,0.1,9.94493540000985
0.38,6.19888e-13,-2.06232e-12,0.1,10.4665252999985
0.4,2.14577e-13,-1.94311e-12,0.1,11.0058492999815
0.42,4.29153e-13,-2.18153e-12,0.1,11.5233765000012
0.44,5.24521e-13,-2.11e-12,0.1,12.0392104999919
0.46,4.29153e-13,-2.13385e-12,0.1,12.5572038999817
0.48,3.93391e-13,-2.11e-12,0.1,13.0858012999815
0.5,5.84126e-13,-2.16961e-12,0.1,13.604431499989
0.52,5.24521e-13,-2.37226e-12,0.1,14.1225496999978
0.54,7.03335e-13,-2.16961e-12,0.1,14.6418431999919
0.56,4.76837e-13,-2.19345e-12,0.1,15.1650433999894
0.58,6.55651e-13,-2.07424e-12,0.1,15.6836099000066
0.6,6.19888e-13,-2.09808e-12,0.1,16.1998972999863
0.62,6.4373e-13,-2.18153e-12,0.1,16.718042499997
0.64,8.34465e-13,-2.25306e-12,0.1,17.2477199999848
0.66,6.79493e-13,-2.28882e-12,0.1,17.7646991999936
0.68,6.31809e-13,-2.28882e-12,0.1,18.2822412000096
0.7,7.7486e-13,-2.40803e-12,0.1,18.800507899985
0.72,6.55651e-13,-2.21729e-12,0.1,19.3305198999878
