keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,time
0.0,4.6134e-13,-2.67553e-13,0.1,0.106925899977796
0.03,3.46899e-13,-1.42106e-12,0.1,1.02993119999883
0.06,3.49283e-13,-1.51814e-12,0.1,1.55016479999176
0.09,4.91142e-13,-1.53267e-12,0.1,2.07757090000086
0.12,4.64916e-13,-1.55568e-12,0.1,2.6177253999922
0.15,5.84126e-13,-1.60257e-12,0.1,3.14577629999258
0.18,5.26905e-13,-1.59036e-12,0.1,3.67655069998
0.21,5.51939e-13,-1.60718e-12,0.1,4.20494619998499
0.24,6.11544e-13,-1.62767e-12,0.1,4.73767780000344
0.27,7.24792e-13,-1.61142e-12,0.1,5.26087249998818
0.3,5.59092e-13,-1.65334e-12,0.1,5.8053668999928
0.33,3.68357e-13,-1.6112e-12,0.1,6.32585429999745
0.36,6.48499e-13,-1.68182e-12,0.1,6.86533109997981
0.39,5.90086e-13,-1.64604e-12,0.1,7.39132169997902
0.42,7.35521e-13,-1.68986e-12,0.1,7.92088960000547
0.45,7.82013e-13,-1.65231e-12,0.1,8.4433259999787
0.48,8.04663e-13,-1.67921e-12,0.1,8.97649669999373
0.51,9.20296e-13,-1.71912e-12,0.1,9.50760609999998
0.54,9.08375e-13,-1.69305e-12,0.1,10.0312779999804
0.57,7.12872e-13,-1.73156e-12,0.1,10.5587517999811
0.6,8.86917e-13,-1.73633e-12,0.1,11.0989166999934
0.63,7.4625e-13,-1.79226e-12,0.1,11.6162633000058
0.66,8.03471e-13,-1.79112e-12,0.1,12.1333229999873
0.69,9.83477e-13,-1.86704e-12,0.1,12.6537175999838
0.72,1.06215e-12,-1.90392e-12,0.1,13.1896448000043
0.75,1.33753e-12,-1.95292e-12,0.1,13.7047815999831
0.78,1.54734e-12,-2.04195e-12,0.1,14.2234681999835
0.81,1.54495e-12,-2.16185e-12,0.1,14.7420793999918
0.84,1.91808e-12,-2.25854e-12,0.1,15.277054199978
0.87,2.06947e-12,-2.29397e-12,0.1,15.795143299998
0.9,2.31266e-12,-2.54706e-12,0.1,16.7129571999831
0.93,2.68102e-12,-2.7315e-12,0.1,17.2318837000057
0.96,2.98262e-12,-2.84534e-12,0.1,17.751598599978
0.99,3.0148e-12,-2.98071e-12,0.1,18.2722621999856
1.02,3.36885e-12,-3.01991e-12,0.1,18.7912882999808
1.05,4.17829e-12,-3.1082e-12,0.1,19.3094556999858
1.08,4.62651e-12,-3.15392e-12,0.1,19.8417488999839
1.11,5.38111e-12,-3.33831e-12,0.1,20.3612076999852
1.14,6.71864e-12,-3.50541e-12,0.1,20.8810889000015
1.17,7.48634e-12,-3.7607e-12,0.1,21.3984516999917
1.2,8.72493e-12,-4.26517e-12,0.1,21.9292849999911
1.23,1.14906e-11,-4.8022e-12,0.1,22.4476336999796
1.26,1.33026e-11,-5.2983e-12,0.1,22.9664673999941
1.29,1.68216e-11,-6.50165e-12,0.1,23.4861539999838
1.32,2.14112e-11,-7.49719e-12,0.1,24.0132937000017
1.35,2.64335e-11,-8.5429e-12,0.1,24.5313752999937
1.38,3.43394e-11,-1.0723e-11,0.1,25.0511754000036
1.41,4.47679e-11,-1.35923e-11,0.1,25.5705071999982
1.44,5.78701e-11,-1.56503e-11,0.1,26.0981633999909
1.47,7.55465e-11,-1.94756e-11,0.1,26.6157973999798
1.5,9.74023e-11,-2.33036e-11,0.1,27.1338404999988
1.53,1.30906e-10,-2.8519e-11,0.1,27.6575381000002
1.56,1.73931e-10,-3.70253e-11,0.1,28.1814612000016
1.59,2.20674e-10,-4.65081e-11,0.1,28.7027704000066
1.62,2.79489e-10,-5.60269e-11,0.1,29.2228775999974
1.65,3.53649e-10,-7.16243e-11,0.1,29.742717199988
1.68,4.23653e-10,-8.94106e-11,0.1,30.2787900999829
1.71,5.06179e-10,9.91e+37,0.1,30.799372199981
1.74,5.86143e-10,9.91e+37,0.1,31.5176951999892
1.77,6.69489e-10,9.91e+37,0.1,32.2908619999944
1.8,7.56707e-10,9.91e+37,0.1,32.8181683000003
1.83,8.33292e-10,9.91e+37,0.1,33.3558326000057
1.86,9.0665e-10,9.91e+37,0.1,33.88322779999
1.89,9.72188e-10,9.91e+37,0.1,34.4232720999862
1.92,1.03017e-09,9.91e+37,0.1,34.9433263999817
1.95,1.08588e-09,9.91e+37,0.1,35.4643347999954
1.98,1.10586e-09,9.91e+37,0.1,36.0010658999963
2.01,1.10296e-09,9.91e+37,0.1,36.5360779000039
2.04,1.09166e-09,9.91e+37,0.1,37.0550202000013
2.07,1.05857e-09,9.91e+37,0.1,37.5830282999959
2.1,1.00686e-09,9.91e+37,0.1,38.105507899978
2.13,9.3713e-10,9.91e+37,0.1,38.6369325999985
2.16,8.6374e-10,9.91e+37,0.1,39.1570302000036
2.19,7.88999e-10,9.91e+37,0.1,39.6763393000001
2.22,7.38641e-10,9.91e+37,0.1,40.2044134000025
2.25,6.81183e-10,9.91e+37,0.1,40.7448812999937
2.28,6.29015e-10,9.91e+37,0.1,41.2630334999994
2.31,5.98202e-10,9.91e+37,0.1,41.7814904999977
2.34,5.77552e-10,9.91e+37,0.1,42.3000504999945
2.37,5.45201e-10,9.91e+37,0.1,42.8270983999828
2.4,5.08203e-10,9.91e+37,0.1,43.3448223999876
2.43,5.02644e-10,9.91e+37,0.1,43.8638861999789
2.46,5.03334e-10,9.91e+37,0.1,44.3839877999853
2.49,4.88276e-10,9.91e+37,0.1,44.9204630999884
2.52,4.81856e-10,9.91e+37,0.1,45.4427656999906
2.55,4.80199e-10,9.91e+37,0.1,45.9625123000005
2.58,4.82224e-10,9.91e+37,0.1,46.486345399986
2.61,4.7255e-10,9.91e+37,0.1,47.0215249999892
2.64,4.76205e-10,9.91e+37,0.1,47.9398931000032
2.67,4.78301e-10,9.91e+37,0.1,48.4582633999817
2.7,5.00836e-10,9.91e+37,0.1,48.9767580000043
2.73,5.08647e-10,9.91e+37,0.1,49.5053207000019
2.76,5.13616e-10,9.91e+37,0.1,50.0260918999847
2.79,5.39916e-10,9.91e+37,0.1,50.5444526999781
2.82,5.51481e-10,9.91e+37,0.1,51.0628098000016
2.85,6.12555e-10,9.91e+37,0.1,51.5905918999924
2.88,6.56227e-10,9.91e+37,0.1,52.1067513999878
2.91,7.15986e-10,9.91e+37,0.1,52.6251898999908
2.94,8.0606e-10,9.91e+37,0.1,53.1437924999918
2.97,9.1188e-10,9.91e+37,0.1,53.6732136000064
3.0,1.07251e-09,9.91e+37,0.1,54.1960888000031
2.97,9.06463e-10,9.91e+37,0.1,54.716174000001
2.94,8.01753e-10,9.91e+37,0.1,55.2348174999934
2.91,6.8888e-10,9.91e+37,0.1,55.7594299000048
2.88,6.091e-10,9.91e+37,0.1,56.2829582999984
2.85,5.40265e-10,9.91e+37,0.1,56.8021872999961
2.82,4.99897e-10,9.91e+37,0.1,57.3229073999973
2.79,4.35463e-10,9.91e+37,0.1,57.8521349999937
2.76,4.30073e-10,9.91e+37,0.1,58.3715580999851
2.73,3.81649e-10,9.91e+37,0.1,58.8897529999958
2.7,3.45877e-10,9.91e+37,0.1,59.4079848999972
2.67,3.38666e-10,9.91e+37,0.1,59.9361276999989
2.64,3.28542e-10,9.91e+37,0.1,60.4559261999966
2.61,3.05064e-10,9.91e+37,0.1,60.9747514000046
2.58,2.91072e-10,-9.75086e-11,0.1,61.4916307999811
2.55,2.67779e-10,-9.11441e-11,0.1,62.0216599999985
2.52,2.51157e-10,-8.18588e-11,0.1,62.5432388999907
2.49,2.37398e-10,-7.46687e-11,0.1,63.461934299994
2.46,2.26704e-10,-6.64899e-11,0.1,63.9834734000033
2.43,2.03146e-10,-6.45394e-11,0.1,64.517843699985
2.4,1.90566e-10,-5.56359e-11,0.1,65.0376465999871
2.37,1.77281e-10,-5.28828e-11,0.1,65.5563512999797
2.34,1.69007e-10,-5.15333e-11,0.1,66.0733406999789
2.31,1.60332e-10,-4.84628e-11,0.1,66.6042895999853
2.28,1.54146e-10,-4.45222e-11,0.1,67.12393229999
2.25,1.37824e-10,-3.93357e-11,0.1,67.6415307999996
2.22,1.28564e-10,-3.61599e-11,0.1,68.1597509999992
2.19,1.20454e-10,-3.31063e-11,0.1,68.6911300999927
2.16,1.15659e-10,-2.93948e-11,0.1,69.2088336999877
2.13,1.0287e-10,-2.73585e-11,0.1,69.7291889000044
2.1,9.54306e-11,-2.32004e-11,0.1,70.2487340999942
2.07,8.80158e-11,-2.09002e-11,0.1,70.7853127999988
2.04,8.63814e-11,-1.97654e-11,0.1,71.3039282999816
2.01,8.50427e-11,-1.77307e-11,0.1,71.8237742999918
1.98,7.67529e-11,-1.73548e-11,0.1,72.3413555999869
1.95,7.68948e-11,-2.0299e-11,0.1,72.8722354999918
1.92,6.52206e-11,-1.55167e-11,0.1,73.3895383999916
1.89,5.47707e-11,-1.41521e-11,0.1,73.9094985999982
1.86,4.75788e-11,-1.3576e-11,0.1,74.4281701
1.83,4.15969e-11,-1.3419e-11,0.1,74.9591112000053
1.8,3.6881e-11,-1.0633e-11,0.1,75.4761923000042
1.77,3.8482e-11,-9.72166e-12,0.1,75.9951471999811
1.74,3.17216e-11,-8.35102e-12,0.1,76.5110675999895
1.71,2.71988e-11,-7.32261e-12,0.1,77.046020299982
1.68,2.35653e-11,-6.17074e-12,0.1,77.5746209999779
1.65,2.07448e-11,-6.24111e-12,0.1,78.0943235000013
1.62,1.77646e-11,-4.72534e-12,0.1,79.0120812999958
1.59,1.55616e-11,-3.9917e-12,0.1,79.5359427999938
1.56,1.23143e-11,-3.17904e-12,0.1,80.0519946999848
1.53,1.07634e-11,-2.21e-12,0.1,80.5699909999967
1.5,1.02139e-11,-1.78572e-12,0.1,81.0887965000002
1.47,9.02057e-12,-1.49379e-12,0.1,81.6202435999876
1.44,7.57098e-12,-1.088e-12,0.1,82.1379584999813
1.41,6.79255e-12,-7.27272e-13,0.1,82.6562055999821
1.38,6.29425e-12,-6.48797e-13,0.1,83.1740590999834
1.35,4.78268e-12,-3.42941e-13,0.1,83.6982594000001
1.32,4.1616e-12,5.23448e-14,0.1,84.2178642999788
1.29,3.75986e-12,1.15645e-13,0.1,84.73596369999
1.26,2.74777e-12,2.52295e-13,0.1,85.2611730999779
1.23,2.6536e-12,4.48883e-13,0.1,85.7997343000025
1.2,2.24113e-12,4.4626e-13,0.1,86.3189038999844
1.17,1.96695e-12,5.98097e-13,0.1,86.8367385999882
1.14,1.63198e-12,7.44009e-13,0.1,87.3544584999909
1.11,1.26719e-12,8.53431e-13,0.1,87.8840925999975
1.08,1.12772e-12,9.17411e-13,0.1,88.4046232999826
1.05,9.44138e-13,1.00116e-12,0.1,88.9227849000017
1.02,7.45058e-13,1.07608e-12,0.1,89.441264299996
0.99,5.6982e-13,1.11787e-12,0.1,89.9728773999959
0.96,6.42538e-13,1.19041e-12,0.1,90.4907564999885
0.93,3.55244e-13,1.17755e-12,0.1,91.0102641999838
0.9,1.66893e-13,1.23492e-12,0.1,91.5304178999795
0.87,8.22544e-14,1.27558e-12,0.1,92.0645030000014
