keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,time
0.0,3.02792e-13,-1.35899e-13,0.1,0.058173600002192
0.03,1.35899e-13,-3.08752e-13,0.1,0.775205699988874
0.06,8.82149e-14,-4.24385e-13,0.1,1.29196579998825
0.09,1.00136e-13,-3.40939e-13,0.1,1.80890350000118
0.12,1.26362e-13,-4.06504e-13,0.1,2.33790119999321
0.15,2.53916e-13,-3.15905e-13,0.1,2.85522949998267
0.18,2.86102e-13,-4.6134e-13,0.1,3.37317899998743
0.21,3.03984e-13,-4.95911e-13,0.1,3.89078240000526
0.24,3.09944e-13,-5.72205e-13,0.1,4.41981059999671
0.27,2.08616e-13,-4.81606e-13,0.1,4.93680830000085
0.3,4.27961e-13,-4.97103e-13,0.1,5.45438640000066
0.33,3.23057e-13,-5.23329e-13,0.1,5.97176290000789
0.36,4.50611e-13,-5.76973e-13,0.1,6.50156309999875
0.39,2.49147e-13,-3.75509e-13,0.1,7.01824810000835
0.42,2.96831e-13,-5.24521e-13,0.1,7.53573909998522
0.45,4.02927e-13,-5.72205e-13,0.1,8.05417039999156
0.48,4.94719e-13,-4.45843e-13,0.1,8.59592920000432
0.51,3.26633e-13,-5.60284e-13,0.1,9.11243710000417
0.54,3.27826e-13,-6.34193e-13,0.1,9.62963849998778
0.57,3.94583e-13,-7.16448e-13,0.1,10.146108099987
0.6,3.82662e-13,-6.53267e-13,0.1,10.6769963999977
0.63,5.24521e-13,-7.00951e-13,0.1,11.1923142999876
0.66,5.71012e-13,-7.82013e-13,0.1,11.7065942999907
0.69,6.71148e-13,-6.84261e-13,0.1,12.2226237999857
0.72,6.12736e-13,-8.05855e-13,0.1,12.7468711999827
0.75,6.58035e-13,-8.03471e-13,0.1,13.2628638999886
0.78,6.36578e-13,-7.9751e-13,0.1,13.7804704000009
0.81,9.25064e-13,-8.55923e-13,0.1,14.2974541999865
0.84,9.0003e-13,-1.03116e-12,0.1,15.0227176999906
0.87,1.35422e-12,-1.07646e-12,0.1,15.7389147999929
0.9,1.76311e-12,-1.21713e-12,0.1,16.2560328999825
0.93,2.01583e-12,-1.34349e-12,0.1,16.7729608000081
0.96,2.21848e-12,-1.35303e-12,0.1,17.2982935000036
0.99,2.38657e-12,-1.60933e-12,0.1,17.8155632999842
1.02,2.36869e-12,-1.69873e-12,0.1,18.3327179999906
1.05,2.52962e-12,-1.91927e-12,0.1,18.850056299998
1.08,2.67029e-12,-1.90139e-12,0.1,19.3758438999939
1.11,3.09825e-12,-2.17319e-12,0.1,19.8932372999843
1.14,3.69549e-12,-2.1255e-12,0.1,20.409983599995
1.17,4.09842e-12,-2.11e-12,0.1,20.9264552000095
1.2,4.52161e-12,-2.47478e-12,0.1,21.4539048000006
1.23,5.66959e-12,-2.60115e-12,0.1,21.9707238999836
1.26,6.45518e-12,-2.99692e-12,0.1,22.4879129999899
1.29,7.51376e-12,-3.26991e-12,0.1,23.0051880999818
1.32,8.81076e-12,-3.70622e-12,0.1,23.5315560000017
1.35,1.13392e-11,-4.08292e-12,0.1,24.049422799988
1.38,1.39821e-11,-4.82798e-12,0.1,24.5653934000002
1.41,1.92571e-11,-5.75423e-12,0.1,25.0818203999952
1.44,2.70081e-11,-7.42912e-12,0.1,25.6109426000039
1.47,3.53396e-11,-9.28521e-12,0.1,26.1276461000089
1.5,4.7487e-11,-1.19972e-11,0.1,26.6443933999981
1.53,6.67024e-11,-1.47867e-11,0.1,27.1604955999937
1.56,9.41658e-11,-2.06423e-11,0.1,27.6884849999915
1.59,1.34355e-10,-2.90906e-11,0.1,28.2051530999888
1.62,1.86267e-10,-3.86977e-11,0.1,28.7224619000044
1.65,2.65409e-10,-5.77712e-11,0.1,29.2388548000017
1.68,3.58903e-10,-8.22401e-11,0.1,29.7674813999911
1.71,4.6808e-10,-1.17518e-10,0.1,30.4853549999825
1.74,5.98923e-10,-1.6603e-10,0.1,31.0010335999832
1.77,7.225e-10,-2.28672e-10,0.1,31.718632300006
1.8,8.60733e-10,-3.05408e-10,0.1,32.2511699000024
1.83,9.89677e-10,-3.83795e-10,0.1,32.7673543999845
1.86,1.0849e-09,-4.40731e-10,0.1,33.2829380999901
1.89,1.18696e-09,-4.99055e-10,0.1,33.7989747999818
1.92,1.27591e-09,-5.665e-10,0.1,34.317455499986
1.95,1.3589e-09,-6.1269e-10,0.1,34.8330209999986
1.98,1.42246e-09,-6.46462e-10,0.1,35.3485389999987
2.01,1.46433e-09,-6.91711e-10,0.1,35.8636499999848
2.04,1.47738e-09,-7.19767e-10,0.1,36.3905551999924
2.07,1.47661e-09,-7.46634e-10,0.1,36.9074111999944
2.1,1.45925e-09,-7.58851e-10,0.1,37.4253080000053
2.13,1.4186e-09,-7.38621e-10,0.1,37.9424322999839
2.16,1.34787e-09,-7.13601e-10,0.1,38.4765545999981
2.19,1.27789e-09,-6.77385e-10,0.1,38.9916301000048
2.22,1.21331e-09,-6.42796e-10,0.1,39.507801300002
2.25,1.13026e-09,-6.03344e-10,0.1,40.0228883999807
