keithley1_smub_volt,keithley1_smua_curr,keithley1_smua_volt,keithley1_smub_curr,time
0.0,-1.52528e-13,0.0,-2.02584e-13,0.0959614000166766
-0.01,-9.91583e-14,0.0,-1.30678e-12,0.612555300001986
-0.02,-7.56979e-14,0.0,-1.40574e-12,1.12786940002115
-0.03,-8.93474e-14,0.0,-1.47756e-12,1.64330809999956
-0.04,-5.91993e-14,0.0,-1.40543e-12,2.17341909999959
-0.05,-7.66516e-14,0.0,-1.48652e-12,2.68985620001331
-0.06,-6.02722e-14,0.0,-1.45448e-12,3.20563500002027
-0.07,-6.73771e-14,0.0,-1.48715e-12,3.72212980000768
-0.08,-2.59638e-14,0.0,-1.45823e-12,4.25203860001056
-0.09,-4.34995e-14,0.0,-1.44421e-12,4.96919480001088
-0.1,-3.54528e-14,0.0,-1.53757e-12,5.68532760001835
-0.11,-5.70893e-14,0.0,-1.49189e-12,6.20115269999951
-0.12,-3.24607e-14,0.0,-1.54567e-12,6.7315127000038
-0.13,-4.52876e-14,0.0,-1.51491e-12,7.24814229999902
-0.14,-6.93798e-15,0.0,-1.57249e-12,7.765108600026
-0.15,-1.69039e-14,0.0,-1.57737e-12,8.28023550001672
-0.16,-2.40207e-14,0.0,-1.50473e-12,8.8000726000173
-0.17,-2.23398e-14,0.0,-1.61991e-12,9.3169783000194
-0.18,-4.81367e-14,0.0,-1.49741e-12,9.83398170000874
-0.19,-4.1151e-14,0.0,-1.62945e-12,10.3509450000129
-0.2,-5.86987e-14,0.0,-1.56851e-12,10.8791782000044
-0.21,-3.5274e-14,0.0,-1.62561e-12,11.3954190000077
-0.22,-5.29647e-14,0.0,-1.60869e-12,11.9541376999987
-0.23,7.82013e-15,0.0,-1.64425e-12,12.4704579000245
-0.24,-2.39491e-14,0.0,-1.59429e-12,12.9995550000167
-0.25,-3.66807e-14,0.0,-1.59461e-12,13.5166453999991
-0.26,-5.13792e-14,0.0,-1.64835e-12,14.032589200011
-0.27,-5.12958e-14,0.0,-1.62258e-12,14.5492719000031
-0.28,-7.40409e-14,0.0,-1.68625e-12,15.0756773000176
-0.29,-7.18951e-14,0.0,-1.67876e-12,15.5929949000129
-0.3,-1.0196e-13,0.0,-1.68878e-12,16.1092384000076
-0.31,-9.46522e-14,0.0,-1.6326e-12,16.6261027000146
-0.32,-8.44002e-14,0.0,-1.65583e-12,17.1547183000075
-0.33,-5.69463e-14,0.0,-1.70348e-12,17.6726715000113
-0.34,-1.10209e-13,0.0,-1.69501e-12,18.1903487000091
-0.35,-1.15132e-13,0.0,-1.70728e-12,18.7079144000018
-0.36,-1.29271e-13,0.0,-1.69709e-12,19.2358273999998
-0.37,-1.07467e-13,0.0,-1.71005e-12,19.9518160000152
-0.38,-7.71642e-14,0.0,-1.64419e-12,20.4678978000011
-0.39,-5.49793e-14,0.0,-1.70939e-12,21.1852566000016
-0.4,-3.90887e-14,0.0,-1.74934e-12,21.7147440999979
-0.41,-6.72698e-14,0.0,-1.66909e-12,22.231443800003
-0.42,-6.68645e-14,0.0,-1.73143e-12,22.7479402000026
-0.43,-7.4482e-14,0.0,-1.70665e-12,23.264462799998
-0.44,-5.36203e-14,0.0,-1.7502e-12,23.792469100008
-0.45,-8.01086e-14,0.0,-1.72998e-12,24.3075194000266
-0.46,-6.02126e-14,0.0,-1.80968e-12,24.8225336000032
-0.47,-6.5589e-14,0.0,-1.76233e-12,25.3384307000088
-0.48,-4.94719e-14,0.0,-1.76535e-12,25.8656913000159
-0.49,-5.79357e-14,0.0,-1.77903e-12,26.3806691000063
-0.5,-7.05004e-14,0.0,-1.77733e-12,26.895530800015
-0.49,-1.2033e-13,0.0,5.76341e-13,27.411276400002
-0.48,-1.44756e-13,0.0,6.70612e-13,27.9405855000077
-0.47,-1.20676e-13,0.0,7.68745e-13,28.4575481000065
-0.46,-1.20711e-13,0.0,7.72727e-13,28.9748199000023
-0.45,-1.38986e-13,0.0,8.64875e-13,29.4918542000232
-0.44,-1.39904e-13,0.0,7.96068e-13,30.0225626000029
-0.43,-1.76454e-13,0.0,8.8917e-13,30.5402283000003
-0.42,-1.53387e-13,0.0,8.65805e-13,31.0584095000231
-0.41,-1.9275e-13,0.0,8.82888e-13,31.5739734000235
-0.4,-1.94287e-13,0.0,9.47642e-13,32.1074120000121
-0.39,-1.64521e-13,0.0,8.84604e-13,32.6238692000043
-0.38,-1.70481e-13,0.0,8.9277e-13,33.1414491000178
-0.37,-2.06459e-13,0.0,9.22596e-13,33.658691300021
-0.36,-1.73998e-13,0.0,9.50658e-13,34.1915018
-0.35,-1.77872e-13,0.0,9.54497e-13,34.7084698000108
-0.34,-1.83034e-13,0.0,9.65357e-13,35.2252189000137
-0.33,-2.06149e-13,0.0,9.04179e-13,36.1368195000105
-0.32,-1.77908e-13,0.0,9.78601e-13,36.6715038000257
-0.31,-2.09475e-13,0.0,9.90605e-13,37.1896891000215
-0.3,-2.10702e-13,0.0,1.04575e-12,37.7073059000249
-0.29,-2.10404e-13,0.0,1.04871e-12,38.2246529000113
-0.28,-2.12562e-13,0.0,1.01192e-12,38.7439895000134
-0.27,-2.19762e-13,0.0,1.04982e-12,39.2606050000177
-0.26,-2.48694e-13,0.0,1.00596e-12,39.7763257000188
-0.25,-2.38812e-13,0.0,1.08125e-12,40.2920597000048
-0.24,-2.43795e-13,0.0,1.03143e-12,40.8187282000144
-0.23,-2.33483e-13,0.0,1.02358e-12,41.3354832000041
-0.22,-2.23935e-13,0.0,1.08875e-12,41.8539406000054
-0.21,-2.02644e-13,0.0,1.03977e-12,42.3715020000236
-0.2,-2.04611e-13,0.0,1.0648e-12,42.8994730000268
-0.19,-2.53642e-13,0.0,1.07554e-12,43.4162830999994
-0.18,-2.11966e-13,0.0,1.07943e-12,43.9337215000123
-0.17,-2.17736e-13,0.0,1.07672e-12,44.4513025000051
-0.16,-2.77078e-13,0.0,1.08131e-12,44.9798782000144
-0.15,-2.3905e-13,0.0,1.07046e-12,45.4948978000029
-0.14,-2.22754e-13,0.0,1.06097e-12,46.0115267000219
-0.13,-2.23219e-13,0.0,1.10323e-12,46.5265369999979
-0.12,-2.25747e-13,0.0,1.06227e-12,47.0547561999992
-0.11,-2.2639e-13,0.0,1.11738e-12,47.5713888000173
-0.1,-2.56026e-13,0.0,1.09917e-12,48.0899710000085
-0.09,-1.97971e-13,0.0,1.13457e-12,48.6074997000105
-0.08,-2.5804e-13,0.0,1.08809e-12,49.1380703000177
-0.07,-2.32732e-13,0.0,1.11543e-12,49.6529384000169
-0.06,-2.49684e-13,0.0,1.16038e-12,50.1670377000119
-0.05,-2.30801e-13,0.0,1.124e-12,50.6813643000205
-0.04,-2.37644e-13,0.0,1.15997e-12,51.4093466000049
-0.03,-2.35367e-13,0.0,1.13481e-12,52.1265652000147
-0.02,-1.97351e-13,0.0,1.15e-12,52.6422369000211
-0.01,-2.34091e-13,0.0,1.1278e-12,53.1572731000197
0.0,-2.32077e-13,0.0,1.13385e-12,53.6777749000175
0.01,-2.59411e-13,0.0,1.07986e-12,54.1923586000048
0.02,-2.44606e-13,0.0,1.13589e-12,54.7070620000013
0.03,-2.18165e-13,0.0,1.22062e-12,55.2234335000103
0.04,-2.41041e-13,0.0,1.17176e-12,55.7560820000072
0.05,-2.01547e-13,0.0,1.23248e-12,56.2741323000228
0.06,-2.4308e-13,0.0,1.13641e-12,56.7925620000169
0.07,-2.61331e-13,0.0,1.20674e-12,57.3111591000052
0.08,-2.82383e-13,0.0,1.18027e-12,57.8449736000039
0.09,-2.55549e-13,0.0,1.23142e-12,58.3617270000104
0.1,-2.17474e-13,0.0,1.24751e-12,58.8785120000248
0.11,-2.49171e-13,0.0,1.1989e-12,59.3943437999988
0.12,-2.18606e-13,0.0,1.22999e-12,59.9251427999989
0.13,-2.30765e-13,0.0,1.19897e-12,60.4412492000265
0.14,-2.21932e-13,0.0,1.26443e-12,60.9567135000252
0.15,-2.42555e-13,0.0,1.24509e-12,61.4743989999988
0.16,-2.25735e-13,0.0,1.26716e-12,62.0025957000034
0.17,-2.14601e-13,0.0,1.20496e-12,62.5210791999998
0.18,-2.06137e-13,0.0,1.22372e-12,63.0373090000066
0.19,-2.16699e-13,0.0,1.25548e-12,63.5553206000186
0.2,-2.07365e-13,0.0,1.21479e-12,64.086013400025
0.21,-2.38788e-13,0.0,1.27548e-12,64.6020072000101
0.22,-2.09916e-13,0.0,1.203e-12,65.1185643000063
0.23,-2.84219e-13,0.0,1.25116e-12,65.6351957000152
0.24,-2.65586e-13,0.0,1.17664e-12,66.1614635000005
