keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,time
0.0,-1.84536e-13,-1.39475e-12,0.001,0.135674799996195
0.002,-1.74522e-13,-1.43051e-12,0.001,0.652314800012391
0.004,-1.55449e-13,-1.26362e-12,0.001,1.16791760001797
0.006,-1.45912e-13,-1.51396e-12,0.001,1.68186060001608
0.008,-1.85251e-13,-1.45435e-12,0.001,2.20525020000059
0.01,-1.6427e-13,-1.35899e-12,0.001,2.72250750000239
0.012,-1.51157e-13,-1.34707e-12,0.001,3.24015759999747
0.014,-1.57952e-13,-1.34707e-12,0.001,3.75696830000379
0.016,-1.51515e-13,-1.13249e-12,0.001,4.27824030001648
0.018,-1.48416e-13,-1.26362e-12,0.001,4.79397810000228
0.02,-2.05636e-13,-1.32322e-12,0.001,5.31101430000854
0.022,-1.81794e-13,-1.23978e-12,0.001,5.82590920000803
0.024,-1.30892e-13,-1.39475e-12,0.001,6.34770159999607
0.026,-1.67489e-13,-1.41859e-12,0.001,6.86207840000861
0.028,-1.87039e-13,-1.60933e-12,0.001,7.37685269999201
0.03,-1.69754e-13,-1.44243e-12,0.001,7.89144510001643
0.032,-2.19464e-13,-1.56164e-12,0.001,8.41956810001284
0.034,-2.09689e-13,-1.50204e-12,0.001,8.93760500001372
0.036,-2.13265e-13,-1.32322e-12,0.001,9.45517170001403
0.038,-2.00033e-13,-1.34707e-12,0.001,9.97386040000129
0.04,-1.92165e-13,-1.49012e-12,0.001,10.506841800001
0.042,-1.72138e-13,-1.5974e-12,0.001,11.0262951000186
0.044,-1.72973e-13,-1.43051e-12,0.001,11.5475492000114
0.046,-1.54972e-13,-1.4782e-12,0.001,12.0664449000033
0.048,-1.81794e-13,-1.33514e-12,0.001,12.6052433000004
0.05,-1.58787e-13,-1.3113e-12,0.001,13.1277594999992
0.052,-1.7941e-13,-1.09673e-12,0.001,13.852292399999
0.054,-1.67251e-13,-1.12057e-12,0.001,14.3763553000172
0.056,-1.57833e-13,-1.32322e-12,0.001,15.1059334000165
0.058,-1.51634e-13,-1.26362e-12,0.001,15.6252444999991
0.06,-1.54138e-13,-1.28746e-12,0.001,16.1448508000176
