keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,time
0.0,2.88868e-12,-1.14441e-12,0.0,0.0691166000033263
0.01,4.26626e-12,-1.8239e-12,0.0,1.08589879999636
0.02,5.64969e-12,-1.32322e-12,0.0,2.11142190001556
0.03,6.98137e-12,-1.0848e-12,0.0,3.12711520001176
0.04,8.38065e-12,-1.2517e-12,0.0,4.15355720001389
0.05,9.75811e-12,-9.89437e-13,0.0,5.17016189999413
0.06,1.11848e-11,-2.15769e-12,0.0,6.19925150001654
0.07,1.25736e-11,-2.15769e-12,0.0,7.21605270000873
0.08,1.39719e-11,-1.41859e-12,0.0,8.24765850001131
0.09,1.54352e-11,-1.13249e-12,0.0,9.26389750000089
0.1,1.68397e-11,-2.00272e-12,0.0,10.2931799000071
0.11,1.82925e-11,-1.83582e-12,0.0,11.3100298000209
0.12,1.97914e-11,-1.41859e-12,0.0,12.334068199998
0.13,2.13159e-11,-1.44243e-12,0.0,13.3511106000224
0.14,2.28384e-11,-1.39475e-12,0.0,15.1770598000148
0.15,2.43549e-11,-1.46627e-12,0.0,16.193228899996
0.16,2.60329e-11,-1.75238e-12,0.0,17.2224138000165
0.17,2.76941e-11,-1.2517e-12,0.0,18.2372097000189
0.18,2.94409e-11,-1.01328e-12,0.0,19.2660667000164
0.19,3.12184e-11,-1.65701e-12,0.0,20.2833659000171
0.2,3.31008e-11,-1.75238e-12,0.0,21.3139554000227
0.21,3.50548e-11,-1.96695e-12,0.0,22.3302875000227
0.22,3.70375e-11,-1.97887e-12,0.0,23.3604900000209
0.23,3.90183e-11,-1.2517e-12,0.0,24.378613000008
0.24,4.11023e-11,-1.0252e-12,0.0,25.405537100014
0.25,4.31359e-11,-1.3113e-12,0.0,26.4216530999984
0.26,4.5312e-11,-1.15633e-12,0.0,27.4442964000045
0.27,4.75036e-11,-1.85966e-12,0.0,28.4622691000113
0.28,4.97324e-11,-1.00136e-12,0.0,29.4875211000035
0.29,5.19704e-11,-1.20401e-12,0.0,31.2977831000171
0.3,5.43499e-11,-2.01464e-12,0.0,32.3221960999945
0.31,5.67716e-11,-9.89437e-13,0.0,33.3376853000082
0.32,5.9236e-11,-1.96695e-12,0.0,34.3606660000223
0.33,6.1802e-11,-1.00136e-12,0.0,35.376439500018
0.34,6.45583e-11,-1.66893e-12,0.0,36.4070855000173
0.35,6.73692e-11,-2.01464e-12,0.0,37.4220445000101
0.36,7.02893e-11,-8.46386e-13,0.0,38.4518214999989
0.37,7.33303e-11,-1.04904e-12,0.0,39.4666465000191
0.38,7.64248e-11,-1.89543e-12,0.0,40.4996897999954
0.39,7.95525e-11,-1.90735e-12,0.0,41.515444300021
