keithley1_smua_volt,keithley1_smua_curr,keithley1_smub_curr,keithley1_smub_volt,time
0.0,3.59416e-12,-2.01464e-12,0.0,0.070887700014282
0.01,5.19991e-12,-1.00136e-12,0.0,1.08790690000751
0.02,6.70254e-12,-1.78814e-12,0.0,2.11864230001811
0.03,8.29208e-12,-1.84774e-12,0.0,3.13658360001864
0.04,9.86922e-12,-8.34465e-13,0.0,4.16531920002308
0.05,1.14144e-11,-1.37091e-12,0.0,5.18232059999718
0.06,1.30196e-11,-1.64509e-12,0.0,6.60883470001863
0.07,1.46024e-11,-1.52588e-12,0.0,7.62645160002285
0.08,1.6291e-11,-1.23978e-12,0.0,8.65072160001728
0.09,1.79098e-11,-1.0252e-12,0.0,9.66727980002179
0.1,1.96835e-11,-1.7643e-12,0.0,10.6952430000238
0.11,2.14083e-11,-1.3113e-12,0.0,11.7139702000131
0.12,2.32741e-11,-1.75238e-12,0.0,12.7448695000203
0.13,2.52309e-11,-1.15633e-12,0.0,13.7606838000065
0.14,2.71277e-11,-1.66893e-12,0.0,14.7784016000223
0.15,2.91549e-11,-1.57356e-12,0.0,16.1947584000009
0.16,3.12004e-11,-1.22786e-12,0.0,17.2270225000102
0.17,3.32979e-11,-1.19209e-12,0.0,18.2421776000119
0.18,3.54309e-11,-1.09673e-12,0.0,19.2713940000103
0.19,3.76146e-11,-1.96695e-12,0.0,20.2877946000081
0.2,3.98066e-11,-1.29938e-12,0.0,21.3041311000125
0.21,4.21233e-11,-2.03848e-12,0.0,22.7222836000146
0.22,4.45395e-11,-1.32322e-12,0.0,23.7502289999975
0.23,4.70263e-11,-1.35899e-12,0.0,24.7667417000048
0.24,4.95943e-11,-2.12193e-12,0.0,25.7977362000092
0.25,5.226e-11,-1.32322e-12,0.0,26.8175603999989
0.26,5.5061e-11,-1.70469e-12,0.0,27.8484602000099
0.27,5.79915e-11,-1.68085e-12,0.0,28.8652236000053
0.28,6.09288e-11,-1.07288e-12,0.0,29.89178060001
0.29,6.39886e-11,-1.68085e-12,0.0,30.914176899998
0.3,6.71478e-11,-9.05991e-13,0.0,32.3473464999988
0.31,7.03843e-11,-1.9908e-12,0.0,33.3674663999991
0.32,7.37559e-11,-1.95503e-12,0.0,34.4011945000093
0.33,7.71965e-11,-1.27554e-12,0.0,35.4202997000248
0.34,8.08275e-11,-1.0252e-12,0.0,36.4422359000018
0.35,8.44431e-11,-1.01328e-12,0.0,37.859546599997
0.36,8.81311e-11,-2.01464e-12,0.0,38.8941508000134
0.37,9.20676e-11,-1.71661e-12,0.0,39.9129332000157
0.38,9.61899e-11,-1.39475e-12,0.0,40.9409977000032
0.39,1.00298e-10,-1.27554e-12,0.0,41.9635659000196
0.4,1.04544e-10,-1.83582e-12,0.0,42.9914615000016
0.41,1.09099e-10,-1.0848e-12,0.0,44.014533300011
0.42,1.13726e-10,-1.97887e-12,0.0,45.0453097000136
0.43,1.18461e-10,-1.29938e-12,0.0,46.0642588000046
0.44,1.23189e-10,-1.04904e-12,0.0,47.4898430000176
0.45,1.28185e-10,-1.40667e-12,0.0,48.5095759000105
0.46,1.33342e-10,-1.84774e-12,0.0,49.5456746999989
0.47,1.38905e-10,-1.14441e-12,0.0,50.5636775000021
0.48,1.44285e-10,-1.77622e-12,0.0,51.5866005000134
0.49,1.49917e-10,-2.06232e-12,0.0,52.60806280002
0.5,1.55806e-10,-2.03848e-12,0.0,54.0348483000125
0.51,1.61769e-10,-1.19209e-12,0.0,55.0518625999975
