keithley1_smub_volt,keithley1_smua_curr,keithley1_smua_volt,keithley1_smub_curr,time
0.0,-4.05073e-14,0.01,1.10842e-12,0.0847196000395343
-0.01,1.67131e-14,0.01,-5.21421e-14,1.10247899999376
-0.02,5.10216e-15,0.01,-5.00858e-13,2.12646699999459
-0.03,7.19905e-14,0.01,-1.02758e-12,3.14227459998801
-0.04,3.29733e-14,0.01,-1.3244e-12,4.16728179994971
-0.05,-6.23465e-15,0.01,-1.6872e-12,5.18350879999343
-0.06,2.7287e-14,0.01,-2.05382e-12,6.20937840000261
-0.07,-1.89662e-14,0.01,-2.41996e-12,7.22590119997039
-0.08,6.55651e-14,0.01,-2.79717e-12,8.25433439994231
-0.09,3.0911e-14,0.01,-3.14721e-12,9.27001960005146
-0.1,3.16143e-14,0.01,-3.55548e-12,10.2959837999661
-0.11,2.17319e-14,0.01,-3.93727e-12,11.3125739999814
-0.12,-7.31587e-14,0.01,-4.4325e-12,12.3422118000453
-0.13,5.01752e-14,0.01,-4.73207e-12,13.3599934000522
-0.14,-5.22137e-14,0.01,-5.10391e-12,14.5792936000507
-0.15,9.9504e-14,0.01,-5.63362e-12,15.7969125000527
-0.16,2.71559e-14,0.01,-6.12803e-12,16.8201047000475
-0.17,8.16107e-14,0.01,-6.65852e-12,17.835131400032
-0.18,-2.22445e-14,0.01,-7.08271e-12,18.852181000053
-0.19,8.26001e-14,0.01,-7.64115e-12,19.86862199998
-0.2,6.91414e-15,0.01,-7.9507e-12,20.8889953000471
-0.21,7.29084e-14,0.01,-8.55736e-12,21.903431499959
-0.22,-1.22309e-14,0.01,-9.01279e-12,22.9325308999978
-0.23,-1.78695e-14,0.01,-9.50891e-12,23.947417999967
-0.24,3.8743e-14,0.01,-9.90841e-12,24.9788201999618
-0.25,5.74708e-14,0.01,-1.04327e-11,25.9992033999879
-0.26,5.70655e-14,0.01,-1.09461e-11,27.0404201999772
-0.27,2.24352e-14,0.01,-1.13821e-11,28.0585882000159
-0.28,2.52008e-14,0.01,-1.16468e-11,29.0783947999589
-0.29,7.56264e-14,0.01,-1.2008e-11,30.2964777000016
-0.3,1.32799e-14,0.01,-1.26967e-11,31.525191099965
-0.31,-5.56707e-15,0.01,-1.32862e-11,32.5423665000126
-0.32,5.45144e-14,0.01,-1.38475e-11,33.5646511999657
-0.33,7.34568e-14,0.01,-1.44974e-11,34.5818419000134
-0.34,1.0047e-13,0.01,-1.50274e-11,35.6204711999744
-0.35,7.42793e-14,0.01,-1.56711e-11,36.6441440000199
-0.36,8.23379e-14,0.01,-1.61982e-11,37.6765708000166
-0.37,8.2624e-14,0.01,-1.68679e-11,38.7025204000529
-0.38,4.67181e-14,0.01,-1.74858e-11,39.7365577999735
-0.39,3.57747e-14,0.01,-1.81097e-11,40.7533141999738
-0.4,7.27296e-14,0.01,-1.87515e-11,41.7836195999989
-0.41,4.94838e-14,0.01,-1.95106e-11,42.8001530000474
-0.42,8.33988e-14,0.01,-2.02688e-11,43.8317040000111
-0.43,-6.38962e-15,0.01,-2.06117e-11,45.0484575999435
-0.44,2.59876e-15,0.01,-2.12688e-11,46.2683429999743
-0.45,-8.7142e-15,0.01,-2.20769e-11,47.2962055000244
-0.46,4.05073e-14,0.01,-2.31249e-11,48.3296142000472
-0.47,-2.38657e-14,0.01,-2.41444e-11,49.3507662999909
-0.48,7.06315e-14,0.01,-2.5126e-11,50.380840400001
-0.49,6.46949e-14,0.01,-2.65189e-11,51.3990619999822
-0.5,4.00186e-14,0.01,-2.77816e-11,52.4370433000149
-0.49,-6.05702e-14,0.01,-2.08848e-11,53.464168400038
-0.48,3.97563e-14,0.01,-1.65004e-11,54.502006100025
-0.47,4.79937e-14,0.01,-1.34507e-11,55.5226078999694
-0.46,4.20094e-14,0.01,-1.10053e-11,56.5518857999705
-0.45,8.84652e-14,0.01,-9.03578e-12,57.5803116000025
-0.44,8.02875e-14,0.01,-7.3975e-12,58.6173920000438
-0.43,7.80225e-14,0.01,-5.95765e-12,59.6373875000281
-0.42,8.22067e-14,0.01,-4.95996e-12,60.8724100999534
-0.41,4.67181e-14,0.01,-3.92767e-12,62.0880312999943
-0.4,5.56707e-14,0.01,-3.04239e-12,63.1177256000228
-0.39,1.65057e-13,0.01,-2.20693e-12,64.1363755000057
-0.38,5.20229e-14,0.01,-1.53899e-12,65.1637932000449
-0.37,7.64489e-14,0.01,-9.57418e-13,66.1896639999468
-0.36,7.39098e-14,0.01,-3.80564e-13,67.2199802999385
-0.35,1.69766e-13,0.01,9.0766e-14,68.2372593999607
-0.34,7.38978e-14,0.01,5.13637e-13,69.267207799945
-0.33,1.06347e-13,0.01,9.38392e-13,70.2867627999512
-0.32,1.13559e-13,0.01,1.41268e-12,71.3157390999841
-0.31,3.43323e-14,0.01,1.78128e-12,72.3346944999648
-0.3,9.80139e-14,0.01,2.13227e-12,73.3673091999954
-0.29,1.26565e-13,0.01,2.52721e-12,74.3883990000468
-0.28,1.62613e-13,0.01,2.86754e-12,75.4158516000025
-0.27,1.53899e-13,0.01,3.1347e-12,76.4335578000173
-0.26,1.80829e-13,0.01,3.30825e-12,77.6671713000396
-0.25,7.68304e-14,0.01,3.82792e-12,78.8856586000184
-0.24,1.4286e-13,0.01,4.0929e-12,79.9154114000266
