keithley1_smub_volt,keithley1_smua_curr,keithley1_smua_volt,keithley1_smub_curr,time
0.0,-1.15769e-12,0.01,8.87382e-10,0.0799123999895528
-0.01,-1.05357e-12,0.01,7.59578e-10,1.29747200000565
-0.02,-8.24928e-13,0.01,6.32584e-10,2.324919900042
-0.03,-6.47378e-13,0.01,5.04565e-10,3.34471340000164
-0.04,-6.37138e-13,0.01,3.83079e-10,4.36799410008825
-0.05,-4.46343e-13,0.01,2.61319e-10,5.38527490000706
-0.06,-3.83639e-13,0.01,1.472e-10,6.41861679998692
-0.07,-2.78533e-13,0.01,3.42608e-11,7.43738959997427
-0.08,-1.11938e-13,0.01,-7.03454e-11,8.4695579999825
-0.09,-1.05488e-13,0.01,-1.75989e-10,9.48503239999991
-0.1,9.48429e-14,0.01,-2.87342e-10,10.5134742000373
-0.11,-1.2815e-14,0.01,-3.99518e-10,11.5313418000005
-0.12,1.67418e-13,0.01,-5.17881e-10,12.5625059000449
-0.13,2.36869e-14,0.01,-6.36625e-10,13.5814122000011
-0.14,8.99911e-14,0.01,-7.60877e-10,14.8098170000594
-0.15,1.75035e-13,0.01,-8.82709e-10,15.8364765000297
-0.16,2.17557e-13,0.01,-1.00631e-09,17.0623474000022
-0.17,1.85215e-13,0.01,-1.13428e-09,18.0812670000596
-0.18,3.12352e-13,0.01,-1.25849e-09,19.1175657000858
-0.19,2.62487e-13,0.01,-1.38805e-09,20.1341644000495
-0.2,2.78151e-13,0.01,-1.51474e-09,21.1535027000355
-0.21,3.52204e-13,0.01,-1.64593e-09,22.1798902000301
-0.22,3.00086e-13,0.01,-1.77256e-09,23.208933499991
-0.23,3.33953e-13,0.01,-1.90448e-09,24.2264731000178
-0.24,3.72493e-13,0.01,-2.03272e-09,25.2587107000872
-0.25,4.58646e-13,0.01,-2.16032e-09,26.28001029999
-0.26,2.97737e-13,0.01,-2.29397e-09,27.3099137999816
-0.27,3.89814e-13,0.01,-2.42285e-09,28.3380172000034
-0.28,3.59702e-13,0.01,-2.55566e-09,29.3759291999741
-0.29,2.97761e-13,0.01,-2.68431e-09,30.3933915999951
-0.3,4.75514e-13,0.01,-2.81606e-09,31.6184756000293
-0.31,4.09949e-13,0.01,-2.94588e-09,32.8329801000655
-0.32,4.84216e-13,0.01,-3.07533e-09,33.8628412000835
-0.33,5.86617e-13,0.01,-3.21002e-09,34.8947086000117
-0.34,5.3724e-13,0.01,-3.34001e-09,35.9308029999956
-0.35,4.8511e-13,0.01,-3.4736e-09,36.9494753000326
-0.36,6.12652e-13,0.01,-3.60469e-09,37.980711900047
-0.37,4.84776e-13,0.01,-3.73894e-09,39.0084869000129
-0.38,6.1245e-13,0.01,-3.86959e-09,40.0407833000645
-0.39,6.00362e-13,0.01,-3.99915e-09,41.0617376000155
-0.4,6.79851e-13,0.01,-4.13368e-09,42.0923250999767
-0.41,5.48601e-13,0.01,-4.26531e-09,43.112772100023
-0.42,6.17301e-13,0.01,-4.40034e-09,44.1414669000078
-0.43,6.3498e-13,0.01,-4.53142e-09,45.1607943000272
-0.44,5.97692e-13,0.01,-4.66691e-09,46.1897940000053
-0.45,6.40583e-13,0.01,-4.79641e-09,47.6086534999777
-0.46,5.69534e-13,0.01,-4.9323e-09,48.6406865000026
-0.47,5.61059e-13,0.01,-5.06272e-09,49.6626779000508
-0.48,6.74283e-13,0.01,-5.19502e-09,50.6952551000286
-0.49,5.68509e-13,0.01,-5.33088e-09,51.7137039999943
-0.5,6.24049e-13,0.01,-5.46249e-09,52.7482217000797
-0.51,6.42323e-13,0.01,-5.59952e-09,53.7653217000188
-0.52,7.44689e-13,0.01,-5.73276e-09,54.8080454000738
-0.53,7.50887e-13,0.01,-5.86962e-09,55.8269259000663
-0.54,8.57484e-13,0.01,-6.00171e-09,56.8598092000466
-0.55,8.04055e-13,0.01,-6.13449e-09,57.8776450000005
-0.56,8.55756e-13,0.01,-6.27167e-09,58.9159410999855
-0.57,7.74455e-13,0.01,-6.40409e-09,59.9391772000818
-0.58,8.057e-13,0.01,-6.54218e-09,60.9725319000427
-0.59,8.30805e-13,0.01,-6.67446e-09,61.9953503999859
-0.6,8.7471e-13,0.01,-6.81219e-09,63.4188328000018
-0.61,8.06928e-13,0.01,-6.94491e-09,64.4474958999781
-0.62,8.25298e-13,0.01,-7.08295e-09,65.4834789000452
-0.63,9.431e-13,0.01,-7.2156e-09,66.5018709000433
-0.64,8.77285e-13,0.01,-7.35037e-09,67.5221743000438
-0.65,9.34279e-13,0.01,-7.48881e-09,68.544286700082
-0.66,9.48417e-13,0.01,-7.62332e-09,69.5741325999843
-0.67,9.08744e-13,0.01,-7.7606e-09,70.5908463000087
-0.68,1.02456e-12,0.01,-7.89452e-09,71.6095688000787
-0.69,1.06467e-12,0.01,-8.03395e-09,72.6686104000546
-0.7,1.03787e-12,0.01,-8.16797e-09,73.6978020999813
-0.71,1.12628e-12,0.01,-8.30283e-09,74.7143606999889
-0.72,1.12218e-12,0.01,-8.44322e-09,75.7502492000349
-0.73,1.07838e-12,0.01,-8.57759e-09,76.7905528000556
-0.74,1.19239e-12,0.01,-8.71686e-09,78.0333259999752
-0.75,1.23005e-12,0.01,-8.85232e-09,79.2562414000276
-0.76,1.33466e-12,0.01,-8.99117e-09,80.2881930000149
-0.77,1.22832e-12,0.01,-9.12671e-09,81.3058356000111
-0.78,1.40004e-12,0.01,-9.2615e-09,82.3368700999999
-0.79,1.43427e-12,0.01,-9.40111e-09,83.3569601000054
-0.8,1.28911e-12,0.01,-9.53684e-09,84.3892103000544
-0.79,1.04748e-12,0.01,-9.39776e-09,85.4082134000491
-0.78,1.00769e-12,0.01,-9.24977e-09,86.443569199997
-0.77,8.24833e-13,0.01,-9.12188e-09,87.4627132000169
-0.76,7.85327e-13,0.01,-8.98972e-09,88.500714700087
-0.75,6.19435e-13,0.01,-8.85401e-09,89.5198510000482
-0.74,6.6793e-13,0.01,-8.72082e-09,90.5416045000311
-0.73,4.88091e-13,0.01,-8.5831e-09,91.5609834999777
-0.72,5.07641e-13,0.01,-8.44953e-09,92.5959610000718
-0.71,5.42283e-13,0.01,-8.30978e-09,93.8073346000165
-0.7,4.69518e-13,0.01,-8.17662e-09,94.8328106000554
-0.69,3.51167e-13,0.01,-8.04302e-09,96.0516711000819
-0.68,3.34871e-13,0.01,-7.90602e-09,97.0852105000522
-0.67,3.21758e-13,0.01,-7.77215e-09,98.1087052000221
-0.66,2.45237e-13,0.01,-7.62996e-09,99.1395171000622
-0.65,2.19905e-13,0.01,-7.49613e-09,100.156937699998
-0.64,2.45428e-13,0.01,-7.35767e-09,101.179304599995
-0.63,1.89793e-13,0.01,-7.22373e-09,102.195349500049
-0.62,2.2366e-13,0.01,-7.08915e-09,103.213567500003
-0.61,1.706e-13,0.01,-6.95128e-09,104.230778899975
-0.6,2.54416e-13,0.01,-6.81796e-09,105.253957199981
-0.59,2.20883e-13,0.01,-6.67985e-09,106.27142600005
-0.58,1.37508e-13,0.01,-6.54647e-09,107.302696100087
-0.57,9.69648e-14,0.01,-6.40858e-09,108.32738640008
-0.56,9.04918e-14,0.01,-6.2763e-09,109.360174300033
-0.55,8.14557e-14,0.01,-6.13946e-09,110.579508400057
-0.54,-9.27448e-15,0.01,-6.00564e-09,111.812166200019
-0.53,2.16842e-14,0.01,-5.87238e-09,112.828709700028
-0.52,-1.5502e-13,0.01,-5.73479e-09,113.855610200088
-0.51,-1.71483e-13,0.01,-5.60057e-09,114.873247900046
-0.5,-1.05882e-13,0.01,-5.46175e-09,115.906906699995
-0.49,-2.67637e-13,0.01,-5.32931e-09,116.924758200068
-0.48,-1.90735e-13,0.01,-5.19127e-09,117.957767200074
-0.47,-1.21069e-13,0.01,-5.05812e-09,118.977659700089
-0.46,-1.78289e-13,0.01,-4.92526e-09,120.008691700059
-0.45,-3.21901e-13,0.01,-4.78711e-09,121.040672900039
-0.44,-1.87564e-13,0.01,-4.65305e-09,122.060654900037
-0.43,-2.78163e-13,0.01,-4.51603e-09,123.079246600042
-0.42,-3.39329e-13,0.01,-4.38277e-09,124.110717299976
